Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,1487.8714016364486,1407.8189970037176,1473.527099609375,2000143,1604.084363106239,,1604.084363106239,,1473.527099609375,-1,0
2020-01-03,1483.7308231692266,1460.6122747602406,1465.097900390625,629443,1596.6496682020588,,1596.6496682020588,,,0,0
2020-01-06,1459.0839810363248,1437.5427990339758,1441.831298828125,378702,1560.799943448778,,1560.799943448778,,,0,0
2020-01-07,1477.7663107537785,1451.7395002786968,1457.802490234375,365266,1560.799943448778,,1560.799943448778,,,0,0
2020-01-08,1458.6895942182298,1437.3948793341629,1452.82373046875,190163,1549.495459668166,,1549.495459668166,,,0,0
2020-01-09,1477.5197446196057,1452.182995083774,1458.689697265625,254798,1549.495459668166,,1549.495459668166,,,0,0
2020-01-10,1480.7730784482685,1455.1405218306554,1464.900634765625,364434,1549.495459668166,,1549.495459668166,,,0,0
2020-01-13,1482.7447328606595,1458.5416373876712,1462.485107421875,374704,1549.495459668166,,1549.495459668166,,,0,0
2020-01-14,1480.7730443777439,1462.9288659812382,1472.196044921875,308514,1549.495459668166,,1549.495459668166,,,0,0
2020-01-15,1507.3914873645776,1466.970917723016,1490.5823974609375,932167,1549.495459668166,,1549.495459668166,,,0,0
2020-01-16,1584.2892233749744,1496.5963490368713,1569.0576171875,2305288,1424.9895987668683,1424.9895987668683,,1569.0576171875,,1,1
2020-01-17,1601.04905113446,1557.6708748721962,1595.725341796875,893254,1462.027850508039,1462.027850508039,,,,0,1
2020-01-20,1635.5543831821865,1593.655009291142,1606.5206298828125,1047368,1496.2401708782793,1496.2401708782793,,,,0,1
2020-01-21,1619.2875860523666,1598.0914319579217,1603.2178955078125,317357,1496.8719071881208,1496.8719071881208,,,,0,1
2020-01-22,1640.4837553010161,1603.513718748259,1611.351318359375,736367,1510.183461753331,1510.183461753331,,,,0,1
2020-01-23,1675.8762142292335,1608.196385198441,1663.0599365234375,764590,1519.882490440418,1519.882490440418,,,,0,1
2020-01-24,1673.5595635437096,1625.7942069435724,1645.1171875,1023849,1525.1795482208245,1525.1795482208245,,,,0,1
2020-01-27,1688.7914650034886,1638.5122094779906,1672.0810546875,791549,1536.2918494351068,1536.2918494351068,,,,0,1
2020-01-28,1680.7071964416928,1650.1452996811272,1654.0394287109375,681671,1541.8756144386734,1541.8756144386734,,,,0,1
2020-01-29,1670.9962630243663,1647.434123342636,1664.14453125,230705,1541.8756144386734,1541.8756144386734,,,,0,1
2020-01-30,1685.5869257847467,1656.5038350927448,1666.90478515625,634505,1556.2378716258406,1556.2378716258406,,,,0,1
2020-01-31,1675.2356066840298,1633.0404230649685,1636.7374267578125,377299,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-03,1693.3261652158585,1593.1620411529955,1671.883544921875,584886,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-04,1680.8055512925253,1637.5259432918199,1647.4339599609375,384789,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-05,1657.2434757984156,1626.6815794571003,1634.0262451171875,438855,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-06,1642.1595829610903,1599.274343150312,1621.801513671875,552992,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-07,1654.7786726142747,1604.9923616419655,1639.6456298828125,554048,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-10,1677.552215357342,1611.40052617678,1642.1595458984375,778081,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-11,1678.8339742901971,1645.4130382988562,1673.953857421875,606839,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-12,1692.6855494644883,1646.9413831070342,1659.806884765625,728165,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-13,1682.8759291167105,1631.610815868867,1671.5384521484375,902548,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-14,1723.0007385722845,1650.7859376187266,1680.312744140625,3179224,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-17,1712.452001289708,1676.07346320364,1690.812255859375,808709,1556.2378716258406,1556.2378716258406,,,,0,1
2020-02-18,1759.1822710609667,1680.7072296398883,1749.8165283203125,1860803,1569.5534587811617,1569.5534587811617,,,,0,1
2020-02-19,1767.266131390065,1725.958257318949,1755.337158203125,1029649,1598.7074937337616,1598.7074937337616,,,,0,1
2020-02-20,1787.821766539841,1753.119270975764,1775.251953125,799535,1626.668022086586,1626.668022086586,,,,0,1
2020-02-24,1787.9202946658434,1739.3169722018295,1772.0477294921875,708469,1626.668022086586,1626.668022086586,,,,0,1
2020-02-25,1787.6526664705852,1756.0477574501108,1768.343994140625,459592,1632.4420438295958,1632.4420438295958,,,,0,1
2020-02-26,1774.7637932305931,1741.233007310542,1745.381103515625,494854,1632.4420438295958,1632.4420438295958,,,,0,1
2020-02-27,1780.7391743507935,1733.430549876872,1773.2330322265625,919960,1632.4420438295958,1632.4420438295958,,,,0,1
2020-02-28,1777.529412576547,1704.7887071269142,1714.3690185546875,1234826,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-02,1755.948920822456,1690.0723698240402,1707.208251953125,980080,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-03,1731.5537772364698,1674.072401413206,1704.393310546875,672514,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-04,1750.1216843331613,1690.5168305397492,1733.5784912109375,1164850,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-05,1747.010540503573,1697.3809614708885,1705.874755859375,661463,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-06,1688.8871905968638,1652.3440174669902,1668.0477294921875,498503,1632.4420438295958,1632.4420438295958,,,,0,1
2020-03-09,1651.1094621191849,1586.2699965900003,1620.640380859375,486073,1780.9711667493825,,1780.9711667493825,,1620.640380859375,-1,0
2020-03-11,1622.5171520199094,1591.1097237723216,1609.1343994140625,617459,1762.849154654597,,1762.849154654597,,,0,0
2020-03-12,1570.4183584645352,1462.0233963257597,1489.38134765625,1279868,1698.4155480443496,,1698.4155480443496,,,0,0
2020-03-13,1578.7640411099483,1361.974108658504,1494.961669921875,828569,1695.4572942285483,,1695.4572942285483,,,0,0
2020-03-16,1521.8752665251368,1346.5173434927178,1454.6160888671875,1197701,1686.8408470148113,,1686.8408470148113,,,0,0
2020-03-17,1500.1961188738705,1397.9739895774746,1409.134521484375,610719,1686.8408470148113,,1686.8408470148113,,,0,0
2020-03-18,1436.0481219899964,1218.3199663000669,1266.863037109375,1731130,1620.945149865364,,1620.945149865364,,,0,0
2020-03-19,1232.8383903227543,1039.3570598498354,1165.52978515625,2412020,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-20,1383.11001104893,1135.801545970251,1346.122314453125,2002316,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-23,1283.3073858180437,1134.8137253321627,1144.3446044921875,816579,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-24,1249.3813785962168,1110.2704405149502,1141.7271728515625,1641749,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-25,1207.1099923634354,1058.81392403374,1169.134765625,2323541,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-26,1319.8011707581134,1118.0235506302406,1200.8382568359375,2809679,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-27,1243.455668288413,1116.3447200810185,1152.591552734375,2480908,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-30,1152.5914764300094,1066.813805831461,1084.6903076171875,1207547,1465.3882881883465,,1465.3882881883465,,,0,0
2020-03-31,1140.8383358531532,1034.1224660264663,1124.986572265625,1882578,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-01,1124.937213805734,1066.7150945561525,1075.4063720703125,1017298,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-03,1224.1469677660436,1074.616338313079,1174.8631591796875,2397409,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-07,1262.8630034797154,1197.5297090545419,1210.8135986328125,1473088,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-08,1321.8752220549682,1196.0481655022204,1248.3443603515625,2070258,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-09,1283.949458492707,1241.1347064317558,1264.0482177734375,1156777,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-13,1283.9495193374198,1214.6162935184666,1263.6038818359375,1027810,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-15,1397.4802044945002,1275.6531752321143,1343.751953125,2274130,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-16,1422.220833345482,1317.5790084506368,1405.8751220703125,1281806,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-17,1453.8258140737896,1343.208632568175,1357.134521484375,1718038,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-20,1446.9120996969423,1356.047995142595,1433.0355224609375,1859711,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-21,1415.3567318672451,1313.6777435243669,1334.4678955078125,1669510,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-22,1351.4555776270793,1295.2087617319985,1331.6531982421875,1272533,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-23,1399.4063083543685,1344.9866230579275,1366.9619140625,1301177,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-24,1360.4926055650055,1324.541996448695,1342.71484375,755944,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-27,1405.7762343390136,1353.1836985870552,1401.3812255859375,1179779,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-28,1440.1961300055289,1399.5542893183535,1408.838134765625,1214114,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-29,1411.159251265663,1358.0234491745155,1400.443115234375,1010961,1465.3882881883465,,1465.3882881883465,,,0,0
2020-04-30,1424.097489810861,1370.1222063179607,1377.134521484375,731401,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-04,1409.5296230109877,1338.7642303238763,1354.8135986328125,1532116,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-05,1384.4925554214417,1317.9740038705722,1330.961669921875,652241,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-06,1342.2208340999246,1246.171550717866,1289.6282958984375,1621448,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-07,1318.5172080100556,1249.875300926386,1255.45556640625,935845,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-08,1311.1097994938557,1260.4431352881547,1298.566650390625,1250585,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-11,1325.1838425118817,1266.566642064735,1288.097412109375,717988,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-12,1303.7024392765625,1265.1345272227022,1285.0357666015625,663107,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-13,1317.5295965023015,1242.4679403297566,1268.690185546875,1508002,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-14,1293.8258244154767,1250.1715967329767,1278.41845703125,907116,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-15,1360.0975453885421,1274.2211259149287,1338.5667724609375,1984090,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-18,1348.048089191469,1240.4926146523708,1250.4185791015625,860662,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-19,1285.924715595571,1251.3568468967653,1258.517333984375,960164,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-20,1282.9124760926313,1254.418696497216,1272.5421142578125,531853,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-21,1293.8258081592126,1256.4924656221847,1264.4925537109375,608962,1465.3882881883465,,1465.3882881883465,,,0,0
2020-05-22,1279.9988662719727,1237.1841134919434,1264.1964111328125,775343,1447.5557246798182,,1447.5557246798182,,,0,0
2020-05-26,1322.2701999535514,1270.2208021032081,1305.4306640625,1145344,1447.5557246798182,,1447.5557246798182,,,0,0
2020-05-27,1342.7149633967015,1301.7273422264452,1321.0853271484375,1386447,1447.5557246798182,,1447.5557246798182,,,0,0
2020-05-28,1337.2826686547771,1300.7394938097057,1320.5419921875,523206,1447.5557246798182,,1447.5557246798182,,,0,0
2020-05-29,1350.7149453542677,1298.7149628163384,1340.1964111328125,870048,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-01,1380.7395978017566,1340.7890618130905,1356.3446044921875,868868,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-02,1377.6281579265774,1333.8257589303137,1343.8504638671875,608623,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-03,1389.6282440921425,1323.504901456018,1333.134521484375,738592,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-04,1350.8629147706285,1319.5049198563772,1347.4061279296875,762916,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-05,1363.7517229161735,1335.0109154767326,1342.270263671875,548928,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-08,1390.6160612505591,1335.3568988032623,1347.208740234375,746452,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-09,1374.8133035926269,1335.9984832185278,1347.7022705078125,517243,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-10,1361.38134420806,1315.554206592508,1338.9122314453125,710311,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-11,1373.825718421651,1322.4677476395332,1330.9122314453125,677212,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-12,1392.5913920599157,1286.1222998175856,1386.2703857421875,1340007,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-15,1411.3568217378793,1354.0729199458588,1393.28271484375,1375760,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-16,1422.2209638499362,1338.5667651043066,1355.80126953125,1021337,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-17,1369.5295114795913,1330.023378356829,1335.6529541015625,481888,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-18,1351.6036280916192,1319.7023762219587,1330.8134765625,591592,1447.5557246798182,,1447.5557246798182,,,0,0
2020-06-19,1366.9122046627708,1333.480163654133,1353.7763671875,894818,1447.5557246798182,,1447.5557246798182,,,0,0
