Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,1730.277083263451,1714.4153290067716,1721.3848876953125,411266,1773.8455405338855,,1773.8455405338855,,,0,1
2020-01-03,1710.9542942146195,1679.4711210500705,1683.65283203125,1318628,1773.8455405338855,,1773.8455405338855,,,0,1
2020-01-06,1670.7715198306068,1628.4735066703383,1641.1148681640625,1871804,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-07,1673.174712884527,1644.8158194458063,1657.697509765625,1033650,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-08,1668.8485688442508,1629.4345185432057,1661.9271240234375,1006057,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-09,1706.3400462648917,1673.6552228434796,1703.98486328125,1781733,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-10,1727.7776883956813,1691.9204634524538,1723.21142578125,1256612,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-13,1738.0155688995603,1724.9416620197308,1735.0836181640625,823821,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-14,1751.185400098683,1734.987211180587,1748.7821044921875,775629,1753.1835176300835,,1753.1835176300835,,,0,1
2020-01-15,1773.6325173048626,1740.082480364204,1770.9888916015625,1252925,1663.58833223573,1663.58833223573,,1770.9888916015625,,1,1
2020-01-16,1776.516615737242,1758.0112343233125,1764.1636962890625,1031569,1679.031811809811,1679.031811809811,,,,0,1
2020-01-17,1767.76826369082,1744.7927326126269,1759.2606201171875,862204,1679.031811809811,1679.031811809811,,,,0,1
2020-01-20,1790.215225411622,1762.6734292432936,1777.2374267578125,1091453,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-21,1771.277371358348,1724.4610920544324,1740.7073974609375,2101561,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-22,1748.3498703677183,1698.5055307140926,1710.4259033203125,3415306,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-23,1719.7986138101726,1689.132533448062,1707.3975830078125,1885275,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-24,1730.2770860022333,1711.3871551605994,1717.683837890625,1195596,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-27,1735.900669381631,1711.1467210296569,1719.1737060546875,969054,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-28,1724.605161369737,1704.4174755343054,1710.281494140625,873291,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-29,1734.0741604230498,1712.1080586040773,1727.4410400390625,873805,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-30,1738.928975010818,1716.9147589432566,1735.1798095703125,1005975,1689.8064634190737,1689.8064634190737,,,,0,1
2020-01-31,1753.4445113907475,1719.5099297736965,1726.191162109375,1169614,1689.8064634190737,1689.8064634190737,,,,0,1
2020-02-03,1800.4532937794943,1696.7270127058614,1795.4063720703125,2854532,1689.8064634190737,1689.8064634190737,,,,0,1
2020-02-04,1823.3807400895728,1783.293808322354,1818.1416015625,1830049,1691.7823751828225,1691.7823751828225,,,,0,1
2020-02-05,1816.8915366668334,1793.9641193166744,1801.02978515625,1344016,1697.7453411268534,1697.7453411268534,,,,0,1
2020-02-06,1809.5856783412632,1773.632348724001,1784.9759521484375,995386,1697.7453411268534,1697.7453411268534,,,,0,1
2020-02-07,1803.9137584745513,1779.0155914693,1786.80224609375,632858,1697.7453411268534,1697.7453411268534,,,,0,1
2020-02-10,1800.3088548022115,1766.13394213692,1797.1845703125,747711,1697.7453411268534,1697.7453411268534,,,,0,1
2020-02-11,1821.217548135748,1800.3088747802703,1805.451904296875,1093021,1709.5806682666569,1709.5806682666569,,,,0,1
2020-02-12,1842.5590551666362,1805.548294259305,1820.44873046875,1616826,1721.8987528327905,1721.8987528327905,,,,0,1
2020-02-13,1828.3795280184572,1795.7909273515745,1801.558837890625,638878,1721.8987528327905,1721.8987528327905,,,,0,1
2020-02-14,1826.1686449261515,1797.6655289782773,1804.44287109375,771464,1721.8987528327905,1721.8987528327905,,,,0,1
2020-02-17,1820.2564412137763,1798.242225769546,1808.62451171875,676579,1721.8987528327905,1721.8987528327905,,,,0,1
2020-02-18,1807.1823358081567,1789.0133960646283,1791.5609130859375,683421,1721.8987528327905,1721.8987528327905,,,,0,1
2020-02-19,1819.5354619628486,1779.7368554128475,1811.9891357421875,723351,1721.8987528327905,1721.8987528327905,,,,0,1
