Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,924.3519105389881,904.4032738009525,907.4561767578125,2426760,-262010,-4.029124016192782,-1.0003231552406913,-3.0288008609520904,77.90497009654929,,907.4561767578125,-1,0
2020-01-08,914.5596862635969,894.0822486065267,912.4296264648438,2697180,2435170,-4.9562732721939255,-1.7915131786313383,-3.1647600935625873,78.51290896104955,,,0,0
2020-01-09,947.7875052912733,918.7649825097014,937.3468017578125,2141970,4577140,-3.6384956200811303,-2.160909666921297,-1.4775859531598332,81.29041620930116,,,0,0
2020-01-10,941.2974977690409,931.6649147317931,935.052001953125,1393930,3183210,-2.7476453571748607,-2.2782568049720098,-0.4693885522028509,80.26141690875863,,,0,0
2020-01-13,944.6049543183416,934.3288457166332,943.3329467773438,1507130,4690340,-1.3577853605764858,-2.094162516092905,0.7363771555164194,81.18687436380839,,,0,0
2020-01-14,955.7589248811627,938.3494310386094,953.2697143554688,1628990,6319330,0.5392862425414933,-1.5674727643660256,2.106759006907519,82.26161690167335,,,0,0
2020-01-15,959.6698981384224,947.9570657026046,956.6917724609375,1372300,7691630,2.2924348831122643,-0.7954912348703678,3.087926117982632,82.62964344853117,,,0,0
2020-01-16,961.7649043944436,954.2872869024119,959.9840698242188,1357820,9049450,3.902493181677414,0.1441056484391886,3.7583875332382255,82.99518222764777,,,0,0
2020-01-17,971.7717219691147,957.8739653552125,969.24755859375,2841290,11890740,5.8584297769069735,1.2869704741327457,4.571459302774228,84.01450344382587,,,0,0
2020-01-20,974.1711541896009,952.785853208054,955.0556030273438,1841980,10048760,6.1919741892179445,2.2679712171497854,3.924002972068159,76.45335163948823,,,0,0
2020-01-21,960.2684610975855,948.6155482743092,951.219482421875,1745070,8303690,6.076719031598373,3.0297207800395034,3.046998251558869,74.50155869022821,,,0,0
2020-01-22,957.7742046347211,947.2985492715288,952.536376953125,1395250,9698940,6.0222204629466205,3.6282207166209273,2.3939997463256932,74.7399632831419,,,0,0
2020-01-23,957.3751369799685,946.216071908879,951.20947265625,1812800,7886140,5.805042945728587,4.063585162442459,1.741457783286128,73.98930338987333,,,0,0
2020-01-24,962.7626509002571,945.8120518983748,961.1414184570312,1239780,9125920,6.361027257420915,4.523073581438151,1.8379536759827637,75.93740754198309,,,0,0
2020-01-27,962.6529658452306,951.289358370928,953.5441284179688,1131280,7994640,6.1180855354606365,4.8420759722426485,1.276009563217988,71.52450727595271,,,0,0
2020-01-28,968.7487825985452,950.7905147439893,960.8970336914062,1904690,9899330,6.444581353054218,5.1625770484049625,1.2820043046492557,73.15075030288439,,,0,0
2020-01-29,990.5979611079047,962.6628798016175,987.1309814453125,5019130,14918460,8.719676969964212,5.8739970327168125,2.8456799372473993,77.98220019746998,,,0,0
2020-01-30,992.6930590188953,958.108452909562,961.7300415039062,4128250,10790210,8.37650394549405,6.37449841527226,2.0020055302217905,65.66170166308326,,,0,0
2020-01-31,968.5492124729724,938.8183152011244,941.9510498046875,3295410,7494800,6.434366153216615,6.3864719628611315,0.0478941903554837,57.98011532954386,,,0,0
2020-02-03,921.3589226471759,886.4400679718633,906.5084228515625,5025510,2469290,2.0120900501491406,5.511595580318734,-3.4995055301695936,47.30139585134179,,,0,0
2020-02-04,960.258430121874,914.005931700229,951.279296875,4636970,7106260,2.0958797484742036,4.828452413949829,-2.732572665475625,57.859659377381014,,,0,0
2020-02-05,966.1548619315556,943.5773230097726,956.9163208007812,3245400,10351660,2.587319400802926,4.380225811320448,-1.7929064105175225,58.9741838362349,,,0,0
2020-02-06,968.6490348274094,953.7835554735524,959.7396850585938,2713430,13065090,3.1680909848654437,4.1377988460294475,-0.9697078611640038,59.55121433428295,,,0,0
2020-02-07,965.1221766275675,953.8882729370745,960.098876953125,1426260,14491350,3.615661340206202,4.033371344864799,-0.41771000465859665,59.62900997048124,,,0,0
2020-02-10,963.555751441793,950.8901779626391,960.4679565429688,1435280,15926630,3.9545600036635733,4.017609076624554,-0.06304907296098072,59.714748102470914,,,0,0
2020-02-11,978.7255976808698,962.1141755646063,970.9037475585938,1955790,17882420,5.007497442049839,4.215586749709612,0.7919106923402275,62.16170438674835,,,0,0
2020-02-12,981.8133862445227,966.2795382473244,974.91943359375,1885280,19767700,6.09572255536159,4.591613910840008,1.5041086445215823,63.090744513341775,,,0,0
2020-02-13,977.2290323391115,966.6536327631402,969.467041015625,1366300,18401400,6.443904959212773,4.962072120514561,1.481832838698212,60.90418115558278,,,0,0
2020-02-14,977.2290679581014,963.0669711974024,966.8032836914062,1392370,17009030,6.430769164751609,5.255811529361971,1.1749576353896387,59.81352455975161,,,0,0
2020-02-17,976.2562877989826,949.2490430155826,950.6757202148438,1754010,15255020,5.060663189026286,5.216781861294834,-0.1561186722685477,53.55980121919277,,,0,0
2020-02-18,954.2773644643104,939.4168789892304,950.7406005859375,2663840,17918860,3.934722603015075,4.960370009638882,-1.0256474066238068,53.580827667096194,,,0,0
2020-02-19,975.7324766714627,955.7788472916782,973.6024169921875,2211320,20130180,4.831469918712514,4.934589991453608,-0.1031200727410937,60.38684921139372,,,0,0
2020-02-20,980.4765838042705,967.127599150309,968.7188720703125,1670200,18459980,5.089419703127078,4.965555933788302,0.12386376933877585,58.416511442081685,,,0,0
2020-02-24,965.7557702750943,942.6395050967279,944.4951782226562,1993290,16466690,3.301143589642834,4.6326734649592085,-1.3315298753163747,49.74597233048324,,,0,0
2020-02-25,952.7859521099901,932.942049969369,950.291748046875,2220180,18686870,2.3248571210144746,4.171110196170262,-1.8462530751557873,51.59734995104907,,,0,0
2020-02-26,947.2886436259038,933.8299292812761,936.523681640625,1755170,16931700,0.43515892519724275,3.4239199419756585,-2.9887610167784158,47.153824970841185,,,0,0
2020-02-27,947.2685946605149,924.5314559152853,938.6187133789062,2075830,19007530,-0.8832078864228379,2.5624943762959593,-3.445702262718797,47.88923578096097,,,0,0
2020-02-28,926.5019710781927,880.4589440810637,902.9766235351562,5378520,13629010,-4.749294944185863,1.1001365121995952,-5.849431456385458,38.1599406327601,,,0,0
2020-03-02,927.8437880699464,878.7578464578395,889.3831787109375,3090310,10538700,-8.808534876340445,-0.881597765508413,-7.926937110832032,35.220966319547614,,,0,0
2020-03-03,910.061654283217,866.473468825233,894.78857421875,5507290,16045990,-11.457269257019561,-2.9967320638106427,-8.460537193208918,37.289262081776926,,,0,0
2020-03-04,905.065551659707,857.8138323794298,878.4224853515625,4402510,11643480,-14.707478276791448,-5.338881306406805,-9.368596970384644,33.7732295791418,,,0,0
2020-03-05,895.4225708764995,874.5642965095134,886.4284057617188,3198530,14842010,-16.447682823360537,-7.5606416097975515,-8.887041213562986,36.90723469554013,,,0,0
2020-03-06,860.98322686069,838.5227948556285,858.8070678710938,4086990,10755020,-19.827064532621307,-10.013926194362302,-9.813138338259005,31.388334697997507,,,0,0
2020-03-09,843.5139853730109,814.5649846915702,819.2667236328125,3705070,7049950,-25.402994306376627,-13.091739816765166,-12.31125448961146,25.508046223078082,,,0,0
2020-03-11,838.2333805985909,811.3756641578099,823.9485473632812,3723450,10773400,-29.108628625761526,-16.295117578564437,-12.813511047197089,27.246032469006366,,,0,0
2020-03-12,796.7913134171682,738.6986469701188,742.4969482421875,6191940,4581460,-38.17774457652615,-20.671642978156783,-17.50610159836937,18.958699969209164,,,0,0
2020-03-13,787.0035488230583,651.277630606308,772.8385009765625,5956730,10538190,-42.42769452408072,-25.02285328734157,-17.404841236739152,27.772025295190687,,,0,0
2020-03-16,755.3193796227563,718.7338079444556,748.2418212890625,5622460,4915730,-47.23604919283059,-29.465492468439372,-17.77055672439122,25.363931793361658,,,0,0
2020-03-17,750.8722269031758,694.45659732662,700.5159301757812,4476050,439680,-54.2721696723371,-34.42682790921892,-19.845341763118178,21.473249202044613,,,0,0
2020-03-18,718.7338440907849,624.6395952534481,629.9103393554688,6444600,-6004920,-64.79866823684904,-40.501195974744945,-24.297472262104094,17.256079428669267,,,0,0
2020-03-19,619.4936417957018,543.3078532169402,577.5325317382812,8166380,-14171300,-76.48576523278825,-47.69810982635361,-28.787655406434645,14.915822985765914,,,0,0
2020-03-20,638.0709331248901,568.9976106097895,622.2088623046875,6574680,-7596620,-81.20676625014653,-54.399841111112195,-26.806925139034334,24.341140158445086,,,0,0
2020-03-23,588.0040990579873,444.1175978548989,461.2923583984375,6879880,-14476500,-96.81676717364485,-62.88322632361873,-33.93354085002612,17.025470696777475,,,0,0
2020-03-24,507.10668793471564,415.293418804934,448.98406982421875,15587800,-30064300,-108.92535767320487,-72.09165259353597,-36.8337050796689,16.61415694363515,,,0,0
2020-03-25,491.13476856444936,439.2312118705682,482.1805419921875,7972700,-22091600,-114.52267885834192,-80.57785784649715,-33.944821011844766,22.081703614143038,,,0,0
2020-03-26,554.5030949640169,481.6714133681308,513.8197631835938,10191230,-11900370,-115.07901622905388,-87.47808952300849,-27.600926706045385,26.99498253262533,,,0,0
2020-03-27,565.0046138914199,466.677839212436,488.1999206542969,12917940,-24818310,-116.24719942805643,-93.23191150401809,-23.015287924038347,25.587954054927195,,,0,0
2020-03-30,477.1194588824915,454.69896519864005,465.2952880859375,7509110,-32327420,-117.66483844209495,-98.11849689163347,-19.546341550461477,24.365247553357378,,,0,0
2020-03-31,487.09687409700615,442.2209448883588,458.3125915527344,11561100,-43888520,-117.9916386643796,-102.0931252461827,-15.898513418196899,23.988906468417994,,,0,0
2020-04-01,465.94914506831947,445.2156813671745,449.3983154296875,7577660,-51466180,-117.61415501171894,-105.19733119928995,-12.416823812428987,23.49008741376184,,,0,0
2020-04-03,463.7829467214043,442.2209270307356,450.28173828125,7223110,-44243070,-115.90760098216822,-107.33938515586561,-8.568215826302605,23.659503558104447,,,0,0
2020-04-07,481.03258987700826,432.1437092708384,471.6590881347656,11307140,-32935930,-111.54435722731478,-108.18037957015545,-3.3639776571593245,27.8243383691116,,,0,0
2020-04-08,494.1295209438921,452.9820068903715,460.0395812988281,11130550,-44066480,-107.78161286809046,-108.10062622974246,0.31901336165199723,26.963277224307078,,,0,0
2020-04-09,483.94742093486434,465.3801551738967,481.17730712890625,8642210,-35424270,-101.9191129435855,-106.86432357251107,4.945210628925565,31.13814850304385,,,0,0
2020-04-13,483.54816278464307,446.14904970415904,448.3501892089844,8916950,-44341220,-98.78320231892633,-105.24809932179411,6.464897002867787,28.421074409453183,,,0,0
2020-04-15,465.60472303226265,447.21213780905015,459.1011962890625,9830710,-34510510,-94.34292759157836,-103.06706497575097,8.724137384172607,30.558203327779353,,,0,0
2020-04-16,475.16296274025467,450.0871406732304,469.1335754394531,7473540,-27036970,-88.98864304286616,-100.25138058917402,11.26273754630786,32.58106825667528,,,0,0
2020-04-17,512.6967641141673,484.65120092865203,499.09075927734375,13522230,-13514740,-81.38982831201645,-96.47907013374251,15.089241821726063,38.35565499920572,,,0,0
2020-04-20,508.10488401882793,471.2148856569058,487.3664245605469,9031520,-22546260,-75.44409614061641,-92.2720753351173,16.827979194500884,37.01924859144543,,,0,0
2020-04-21,474.0648772111294,456.695481388797,458.69696044921875,6709420,-29255680,-72.21301996802288,-88.26026426169841,16.047244293675533,33.90804818176352,,,0,0
2020-04-22,480.71811128634425,447.71125770951033,476.7351379394531,7921490,-21334190,-67.41966670004041,-84.09214474936681,16.6724780493264,37.468902477773014,,,0,0
2020-04-23,484.9456818812584,469.6775960370716,472.1282653808594,6918170,-28252360,-63.26337500814668,-79.92639080112278,16.663015792976097,36.921777611077346,,,0,0
2020-04-24,466.6778732339407,435.7323885916901,438.2080383300781,10218670,-38471030,-61.991958034125275,-76.33950424772328,14.347546213598008,33.090401761660374,,,0,0
2020-04-27,466.1787250149102,428.0458920679555,460.9379577636719,11338730,-27132300,-58.47615961779189,-72.766835321737,14.290675703945112,37.75186564894309,,,0,0
2020-04-28,490.13651240155605,457.3093352186344,485.3249816894531,15204120,-11928180,-53.10981809960174,-68.83543187730996,15.725613777708219,42.38934813600074,,,0,0
2020-04-29,506.10839358723325,481.3919265898276,498.9859313964844,15234930,3306750,-47.210417012144376,-64.51042890427685,17.300011892132474,44.86718593920062,,,0,0
2020-04-30,516.5899005998708,504.1967256623486,509.5373229980469,10643520,13950270,-41.2086622202836,-59.85007556747821,18.641413347194607,46.771454582025655,,,0,0
2020-05-04,493.12127286905957,471.1699536336063,475.3974914550781,8107070,5843200,-38.76022366347536,-55.632105186677634,16.871881523202276,41.747095842455,,,0,0
2020-05-05,491.1348057213931,460.1893199950452,462.10595703125,8158860,-2315660,-37.46051274065775,-51.99778669747366,14.537273956815909,39.94784565310415,,,0,0
2020-05-06,478.1376522702062,453.4012328626544,468.4646911621094,12628290,10312630,-35.50807083068179,-48.69984352411529,13.1917726934335,41.25232204383644,,,0,0
2020-05-07,478.75657662848903,463.18400485522955,466.51812744140625,6454310,3858320,-33.729010932145,-45.705677005721235,11.976666073576233,40.959003409845806,,,0,0
2020-05-08,476.99968698722745,456.9300318289097,459.2908935546875,4885760,-1027440,-32.52731586947249,-43.070004778471485,10.542688908998997,39.82672299402826,,,0,0
2020-05-11,470.94032929261556,453.2115829329932,454.9984130859375,5852300,-6879740,-31.557555320789106,-40.76751488693501,9.209959566145905,39.13475166792361,,,0,0
2020-05-12,470.7506930946023,444.7664691760415,465.99908447265625,10188930,3309190,-29.56059471965176,-38.526130853478364,8.965536133826603,41.91982716478357,,,0,0
2020-05-13,504.1119035912201,476.96971767164143,480.7929992675781,6987500,10296690,-26.47901022264557,-36.11670672731181,9.637696504666238,45.52957560915455,,,0,0
2020-05-14,492.9166396711836,471.1699468378399,478.1825866699219,7928120,2368570,-23.971146334232742,-33.687594648696,9.716448314463257,44.99813555405989,,,0,0
2020-05-15,482.5149791962153,469.27332191599686,471.4944152832031,3951110,-1582540,-22.266649593998125,-31.403405637756425,9.1367560437583,43.59412125657522,,,0,0
2020-05-18,473.07157376575753,444.31723850332423,445.75970458984375,6469410,-8051950,-22.730378076828856,-29.668800125570915,6.9384220487420585,38.60303534603531,,,0,0
2020-05-19,458.69195101550196,442.5454075804448,452.7474365234375,5741510,-2310440,-22.277236556402897,-28.190487411737312,5.9132508553344145,40.5919406784179,,,0,0
2020-05-20,473.15143353430375,451.34984509792685,469.3780822753906,5828770,3518330,-20.341678307407392,-26.62072559087133,6.279047283463939,45.14633298414148,,,0,0
2020-05-21,473.43595394799735,450.70600746225756,453.12176513671875,10925960,-7407630,-19.890201521593724,-25.274620777015812,5.384419255422088,41.77501713668837,,,0,0
2020-05-22,457.0398254105588,407.9812638040621,430.7960510253906,27250160,-34657790,-21.090780076955696,-24.437852637003793,3.3470725600480975,37.62007915326466,,,0,0
2020-05-26,439.22624002960254,404.4674652686484,409.0044860839844,15756010,-50413800,-23.529411987998685,-24.256164507202772,0.7267525192040871,34.0592529940904,,,0,0
2020-05-27,426.9428737781454,397.8291540743895,425.0561828613281,24986770,-25427030,-23.89140235215598,-24.183212076193414,0.2918097240374351,38.664571594654475,,,0,0
2020-05-28,431.7394095612844,420.4443055769209,427.8412780761719,12472560,-12954470,-23.68057350520155,-24.082684361995042,0.4021108567934917,39.45468628209153,,,0,0
2020-05-29,442.11610131141134,419.41110618840804,439.71533203125,13944250,989780,-22.298312144302827,-23.7258099184566,1.4274977741537747,42.83570252209608,,,0,0
2020-06-01,483.68291045558163,446.88771584574573,475.48236083984375,21106170,22095950,-18.108021746966642,-22.602252284158613,4.494230537191971,51.60279408568719,,,0,0
2020-06-02,522.8788099901875,473.43095123814487,517.5581665039062,26933530,49029480,-11.262196946826862,-20.334241216692263,9.072044269865401,59.47638902703044,,,0,0
2020-06-03,552.0075509757528,520.792581504507,527.6754150390625,24123590,73153070,-4.9632409160288375,-17.260041156559577,12.29680024053074,61.11454274173133,,,0,0
2020-06-04,532.6565659557931,505.9087059394947,512.776611328125,19944190,53208880,-1.1601088128170431,-14.040054687811072,12.879945874994029,57.43258706516801,,,0,0
2020-06-05,527.570616160865,508.7288084408341,522.7191772460938,15138920,68347800,2.625912866207557,-10.706861177007346,13.332774043214902,59.19917280884605,,,0,0
2020-06-08,548.5335849023586,535.0573275844662,543.1380615234375,13966100,82313900,7.191101099918569,-7.127268721622162,14.318369821540731,62.629276023937024,,,0,0
2020-06-09,551.4235749009464,524.0817284685742,530.1460571289062,11634230,70679670,9.649466446995461,-3.7719216878986375,13.421388134894098,59.21797082146182,,,0,0
2020-06-10,533.4602896421027,515.0926214068517,521.3815307617188,11622530,59057140,10.766406237243018,-0.8642561028703066,11.630662340113325,56.963838490851856,,,0,0
2020-06-11,527.570560807548,512.0978196674969,514.8928833007812,10573320,48483820,11.001194523462004,1.5088340223961558,9.492360501065848,55.285995077068556,,,0,0
2020-06-12,532.9611913822744,489.1383626811385,527.6654663085938,16552510,65036330,12.078671232394015,3.622801464395728,8.455869767998287,57.913845630752355,,,0,0
2020-06-15,527.1712559655678,506.767229892607,509.46246337890625,10234910,54801420,11.333108064289888,5.164862784374561,6.168245279915327,53.12222588780255,,,0,0
2020-06-16,526.073225403754,497.1941085956796,511.92816162109375,11691030,66492450,10.816519025245668,6.295194032548782,4.521324992696886,53.6812599224011,,,0,0
2020-06-17,512.0978640028238,499.90934442458166,502.8092346191406,10498590,55993860,9.561083076833029,6.948371841405631,2.6127112354273976,51.24720727589197,,,0,0
2020-06-18,548.9329298494293,501.27187212288277,541.8004760742188,18061720,74055580,11.57893362561191,7.874484198246888,3.704449427365022,59.66819337734695,,,0,0
2020-06-19,595.9800944858735,543.4226602108656,588.9424438476562,35955630,110011210,16.788529819537757,9.657293322505062,7.131236497032695,67.0733789225003,,,0,0
2020-06-22,633.8832640353572,594.9518509686187,617.2675170898438,25140100,135151310,22.93835000424633,12.313504658853317,10.624845345393014,70.56984152476629,,,0,0
2020-06-23,637.0777196863991,608.0089328927712,630.8536987304688,19812860,154964170,28.57897745927596,15.566599218937847,13.012378240338114,72.1002023287128,,,0,0
2020-06-24,644.364786184888,596.9882301651502,603.5416870117188,18864900,136099270,30.4938501435239,18.552049403855058,11.941800739668842,64.80479822975863,,,0,0
2020-06-25,611.4228376596494,590.9838700290112,601.0560913085938,19002920,117096350,31.448317117616625,21.131302946607374,10.317014171009252,64.16844846091112,,,0,0
2020-06-26,612.276335425972,585.967702781794,593.5842895507812,10672470,106423880,31.241692331822605,23.153380823650423,8.088311508172183,62.19148258735358,,,0,0
2020-06-29,592.6858085551881,574.118544088343,587.984130859375,10102710,96321170,30.277039828175816,24.5781126245555,5.698927203620315,60.68244390131354,,,0,0
2020-06-30,603.3021901907966,580.5572853342077,583.4871215820312,9766720,86554450,28.817484678371898,25.42598703531878,3.3914976430531176,59.435284562898005,,,0,0
2020-07-01,618.3905438457158,579.2445426752429,615.8500366210938,17242340,103796790,29.92721122020714,26.326231872296454,3.6009793479106875,65.00876724410472,,,0,0
2020-07-02,625.5978808270363,610.1900276674024,617.7916259765625,15292260,119089050,30.610488872848123,27.18308327240679,3.4274056004413325,65.31665585208462,,,0,0
2020-07-03,622.7330243111778,611.7223911032304,613.858642578125,8330750,110758300,30.483240621647724,27.84311474225498,2.6401258793927447,64.08652721348363,,,0,0
2020-07-06,630.988420377341,615.0165565646918,627.394775390625,12201780,122960080,31.115962807355118,28.49768435527501,2.6182784520801086,66.42987487247981,,,0,0
2020-07-07,661.8040441287286,626.4014484728839,657.8011474609375,20073540,143033620,33.68266698914681,29.534680882049372,4.147986107097438,71.00640269584031,,,0,0
2020-07-08,666.8252434798178,635.869768461443,639.4135131835938,14003560,129030060,33.84294967367805,30.39633464037511,3.4466150333029404,65.21631259680842,,,0,0
2020-07-09,662.6326767071085,636.3789381878266,655.7647705078125,13227850,142257910,34.887226439004394,31.294513000100967,3.592713438903427,67.73583497657827,,,0,0
2020-07-10,663.331329594548,642.9671831410623,647.2396850585938,12206400,130051510,34.627752969290896,31.961160993938954,2.666591975351942,65.08867432870574,,,0,0
2020-07-13,658.0806703026327,638.8745149455341,645.0087280273438,8107250,121944260,33.851875439594664,32.3393038830701,1.5125715565245628,64.37960731667641,,,0,0
2020-07-14,644.8639564434131,620.0077207480726,623.2470092773438,11287050,110657210,31.12224026174613,32.09589115880531,-0.97365089705918,57.76869929514392,,,0,0
2020-07-15,642.8524793420314,609.2267199070491,615.7601928710938,9813900,100843310,28.031728881887716,31.283058703421794,-3.2513298215340782,55.65142204438587,,,0,0
2020-07-16,626.8955377083461,605.433349713554,625.38818359375,8304120,109147430,26.058982999397017,30.23824356261684,-4.179260563219824,57.79374585567683,,,0,0
2020-07-17,637.1624616270195,626.8955760159535,635.0411987304688,5700380,114847810,24.986456999811708,29.18788625005582,-4.201429250244111,59.88599522453157,,,0,0
2020-07-20,662.333142840969,636.8779881424841,660.8507690429688,12218330,127066140,25.920296005124555,28.53436820106957,-2.6140721959450133,64.89658123263453,,,0,0
2020-07-21,669.8199900020259,632.7303009526104,637.312255859375,18624970,108441170,24.47883211139208,27.72326098313407,-3.2444288717419916,57.80503259341361,,,0,0
2020-07-22,658.7395687373444,625.997199862926,633.623779296875,21580510,86860660,22.776281561614155,26.73386509883009,-3.9575835372159354,56.7583814452971,,,0,0
2020-07-23,644.359859831427,630.2048033831298,637.0128173828125,9248500,96109160,21.45316628802709,25.677725336669493,-4.224559048642401,57.51947885587647,,,0,0
2020-07-24,634.3823821746943,621.4052445377612,625.9273071289062,8746470,87362690,19.287742776636946,24.399728824662986,-5.11198604802604,54.161391143528434,,,0,0
2020-07-27,630.3944265149116,612.5009619933878,616.234375,6562030,80800660,16.598157202995253,22.83941450032944,-6.241257297334187,51.33905257889439,,,0,0
2020-07-28,637.6116721138313,616.3142319707096,633.16455078125,8378220,89178880,15.652334582800336,21.40199851682362,-5.749663934023285,55.68296421645333,,,0,0
2020-07-29,641.3701325267066,628.148429377094,631.7470703125,7645410,81533470,14.619855916105735,20.045569996680047,-5.425714080574313,55.23835195591884,,,0,0
2020-07-30,640.9707442394779,614.9166694660214,616.673583984375,6100800,75432670,12.441882485356587,18.524832494415357,-6.08295000905877,50.61048467392725,,,0,0
2020-07-31,629.3912026921992,610.923736792428,619.4986572265625,7497100,82929770,10.819067178757791,16.983679431283843,-6.164612252526052,51.43176828874574,,,0,0
2020-08-03,621.205607711068,604.9342851636814,609.24169921875,5095980,77833790,8.606117599702316,15.308167064967538,-6.7020494652652225,48.291935263967254,,,0,0
2020-08-04,621.7047632457748,606.1222288246449,615.1163940429688,6165030,83998820,7.24288640437203,13.695110932848438,-6.452224528476409,50.16836226822268,,,0,0
2020-08-05,633.3841781171851,617.7517443591298,623.1072998046875,6954490,90953310,6.72973893142273,12.302036532563298,-5.572297601140567,52.68360784761988,,,0,0
2020-08-06,635.8797556926284,623.1022782818567,628.4628295898438,6261130,97214440,6.678229880703725,11.177275202191383,-4.4990453214876585,54.34678205796015,,,0,0
2020-08-07,648.8568938631129,623.9008594837624,645.5776977539062,8257710,105472150,7.927057231482081,10.527231608049522,-2.600174376567441,59.27351327240981,,,0,0
2020-08-10,655.844620216603,635.5803313513346,639.154052734375,6052400,99419750,8.302718861086646,10.082329058656947,-1.7796101975703014,56.79609897216264,,,0,0
2020-08-11,648.4576208858391,637.9760856715562,642.9024047851562,4306670,103726420,8.801436610712926,9.826150569068144,-1.0247139583552176,57.901818130361434,,,0,0
2020-08-12,638.8745536038318,630.399493102133,634.60205078125,3854220,99872200,8.429732116681521,9.54686687859082,-1.1171347619092984,54.57118945645375,,,0,0
2020-08-13,642.0688307756221,631.297767912749,633.8832397460938,3905850,95966350,7.9851042724942545,9.234514357371506,-1.2494100848772511,54.27999932441228,,,0,0
2020-08-14,638.8744681884273,617.9113997009945,623.5714111328125,4217200,91749150,6.723154769892176,8.732242439875641,-2.009087669983465,50.146133997168974,,,0,0
2020-08-17,630.7987636858062,619.009533928881,625.8075561523438,4359390,96108540,5.83621268513923,8.15303648892836,-2.316823803789129,51.0173142978209,,,0,0
2020-08-18,636.3789027960963,623.1023041468557,633.1895141601562,4571440,100679980,5.663679637193695,7.655165118581428,-1.9914854813877323,53.8823662965536,,,0,0
2020-08-19,641.3701239122961,627.1950833071915,628.7973022460938,4928450,95751530,5.113584935405811,7.146849081946305,-2.0332641465404944,51.93586938297478,,,0,0
2020-08-20,630.2896891287849,622.0092322592235,627.8389892578125,3149380,92602150,4.547877965590715,6.627054858675188,-2.0791768930844734,51.498737569650565,,,0,0
2020-08-21,635.4804148441757,624.9040770560904,627.1351318359375,3032040,89570110,3.9966844146674703,6.100980769873646,-2.1042963552061753,51.15815541474587,,,0,0
2020-08-24,644.3497464262247,628.3129981139167,638.9193115234375,5861090,95431200,4.459339876455147,5.772652591189947,-1.3133127147348,56.36162714824172,,,0,0
2020-08-25,651.0530458090581,638.9742884507041,649.116455078125,7483450,102914650,5.584447887899728,5.735011650531904,-0.15056376263217608,60.302795011616666,,,0,0
2020-08-26,668.821734369504,650.9282695571973,655.2855834960938,10013470,112928120,6.894426541172493,5.966894628660022,0.927531912512471,62.50884411657905,,,0,0
2020-08-27,659.3335095193977,647.6091680676816,651.9265747070312,4618820,108309300,7.574239012373596,6.288363505402737,1.285875506970859,60.536227833591504,,,0,0
2020-08-28,663.8305080020205,650.3542495688968,653.4038696289062,4901660,113210960,8.138386395118005,6.658368083345791,1.4800183117722137,61.11738995898472,,,0,0
2020-08-31,665.8269608112346,612.421050161458,617.9462890625,11799190,101411770,5.659112118237431,6.45851689032412,-0.7994047720866888,44.26712871897153,,,0,0
2020-09-01,638.5501077906068,613.5741473427552,634.8416748046875,8073470,109485240,4.999949514722061,6.166803415203708,-1.1668539004816463,51.17477079954371,,,0,0
2020-09-02,640.3718923377077,624.4000290837664,635.3856811523438,4439950,113925190,4.469928613607522,5.827428454884471,-1.3574998412769492,51.38371039904685,,,0,0
2020-09-03,644.3648351045762,628.892093130725,634.4373168945312,3942650,109982540,3.9280777262010815,5.4475583091477935,-1.519480582946712,50.97418330699949,,,0,0
2020-09-04,641.1654700731597,619.0094939516702,626.6160888671875,5443800,104538740,2.8348706330179994,4.925020773921835,-2.0901501409038357,47.60449600554436,,,0,0
2020-09-07,633.8084330445015,620.1075936745858,625.2634887695312,4985730,99553010,1.8381634082551273,4.307649300788494,-2.469485892533367,47.025531172994945,,,0,0
2020-09-08,631.8867865749577,620.1125466874298,622.32861328125,3917540,95635470,0.8021985817174482,3.606559156974285,-2.804360575256837,45.72604168416873,,,0,0
2020-09-09,620.9061482681979,597.1080465809961,601.6201171875,9297500,86337970,-1.6705564389369556,2.5511360377920367,-4.221692476728992,37.790670873774026,,,0,0
2020-09-10,618.1110345220854,603.2222263129269,611.8470458984375,5316080,91654050,-2.773039062919679,1.4863010176496934,-4.259340080569372,43.04721079833546,,,0,0
2020-09-11,616.3741383220887,606.9307530268343,611.7622680664062,4654850,86999200,-3.6119688197302366,0.46664705017370744,-4.078615869903944,43.01476311117418,,,0,0
2020-09-14,618.3107400416685,608.0288050039554,610.14013671875,4161420,82837780,-4.357488721662662,-0.4981801041935665,-3.859308617469096,42.35687649729343,,,0,0
