Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,459.74243782004766,452.4616597872994,453.61126708984375,1406381,476.5073623086361,,476.5073623086361,,453.61126708984375,-1,0
2020-01-03,455.814612443058,447.62375604912995,450.2103576660156,2252752,473.6478752039128,,473.6478752039128,,,0,0
2020-01-06,450.21031380752447,441.82784728238175,447.14471435546875,1501855,468.87090795978406,,468.87090795978406,,,0,0
2020-01-07,450.2582421393304,444.17496004200495,448.91705322265625,2365554,468.87090795978406,,468.87090795978406,,,0,0
2020-01-08,450.3540455799484,442.211077407796,445.228759765625,1507276,468.5903149963318,,468.5903149963318,,,0,0
2020-01-09,453.41960482420427,447.8632383739616,450.3540344238281,1700600,468.5903149963318,,468.5903149963318,,,0,0
2020-01-10,456.96425428058177,450.018780814053,453.61126708984375,1213600,468.5903149963318,,468.5903149963318,,,0,0
2020-01-13,462.18528289119655,454.5692013326403,457.5868835449219,1229969,468.5903149963318,,468.5903149963318,,,0,0
2020-01-14,464.8197454915189,459.071768569047,463.9096374511719,2160301,468.5903149963318,,468.5903149963318,,,0,0
2020-01-15,466.40046106348166,459.40707118338173,463.670166015625,1413668,468.5903149963318,,468.5903149963318,,,0,0
2020-01-16,466.9752514534734,458.8801720066656,460.0776672363281,1694372,468.5903149963318,,468.5903149963318,,,0,0
2020-01-17,462.66429324452963,456.5330939538448,460.1255798339844,2039387,468.5903149963318,,468.5903149963318,,,0,0
2020-01-20,462.8558611771863,456.62888583690244,459.98187255859375,1206931,468.5903149963318,,468.5903149963318,,,0,0
2020-01-21,459.4070823695382,452.36583343746514,453.5154113769531,1448808,468.5903149963318,,468.5903149963318,,,0,0
2020-01-22,460.125565057839,450.4977149025369,451.791015625,2380518,468.5903149963318,,468.5903149963318,,,0,0
2020-01-23,455.86247856486233,440.0555419254963,445.6119079589844,5783749,468.5903149963318,,468.5903149963318,,,0,0
2020-01-24,448.10272906024284,437.6605761756792,439.5765686035156,2713370,468.5903149963318,,468.5903149963318,,,0,0
2020-01-27,446.905225723627,435.12188419948,444.94134521484375,5849003,468.15787309186703,,468.15787309186703,,,0,0
2020-01-28,448.3422229431501,439.6723690014664,445.18084716796875,3592413,468.15787309186703,,468.15787309186703,,,0,0
2020-01-29,447.7673998445773,441.0135386032082,442.1631164550781,1737293,468.15787309186703,,468.15787309186703,,,0,0
2020-01-30,441.63626734697635,427.60162825565453,432.0563049316406,2766881,462.7318218605167,,462.7318218605167,,,0,0
2020-01-31,434.88236948827995,423.5301091200234,428.12847900390625,2184609,457.92740099097557,,457.92740099097557,,,0,0
2020-02-03,431.7209799087555,420.94352270304404,425.877197265625,1690394,455.41880104508635,,455.41880104508635,,,0,0
2020-02-04,433.4454188720626,425.54194973908295,429.6134338378906,2030860,455.41880104508635,,455.41880104508635,,,0,0
2020-02-05,439.863952019299,419.1233400121293,428.7511901855469,3637403,455.41880104508635,,455.41880104508635,,,0,0
2020-02-06,444.84556344491847,417.06367226297505,421.18304443359375,7118843,455.41880104508635,,455.41880104508635,,,0,0
2020-02-07,427.1704955128568,418.9317224271025,424.58392333984375,6386193,455.41880104508635,,455.41880104508635,,,0,0
2020-02-10,432.05629348969313,423.53013301298375,426.0688171386719,3557480,455.41880104508635,,455.41880104508635,,,0,0
2020-02-11,433.01425393022174,424.7275931921971,431.6730651855469,1889638,455.41880104508635,,455.41880104508635,,,0,0
2020-02-12,435.8403455585148,426.3082724905609,428.03265380859375,1683136,455.41880104508635,,455.41880104508635,,,0,0
