Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,kc_middle,kc_upper,kc_lower,rsi_14,buy_price,sell_price,bb_kc_rsi_signal,position
2020-01-28,2033.9643212897092,2000.2358403731255,2020.51611328125,972770,2105.766964076077,2007.2164001464844,1908.6658362168919,2007.846770979092,2102.0531344301307,1913.6404075280534,47.0981370073111,,,0,1
2020-01-29,2034.8268509925708,1925.9755991766401,1934.81494140625,2869250,2087.711620159187,1998.1923400878907,1908.6730600165943,2002.421820119272,2110.495101758965,1894.3485384795792,33.581517043287235,,,0,1
2020-01-30,1971.9690482509095,1935.5575692258683,1949.0010986328125,1385590,2077.537226415479,1992.1530639648438,1906.7689015142087,1998.5566778537718,2102.8846228432235,1894.2287328643204,36.81408274542147,,,0,1
2020-01-31,1977.8811104399465,1936.6116237130884,1944.1143798828125,1021230,2073.811759378044,1987.8414184570313,1901.8710775360184,1994.7126979017737,2096.6498513640263,1892.7755444395214,36.16119511121381,,,0,1
2020-02-03,1952.383570842609,1869.6001377732287,1905.225830078125,1486370,2076.4884547046704,1983.1606201171876,1889.8327855297046,1988.5363227429962,2097.3879939597696,1879.684651526223,31.390212804016997,,,0,1
2020-02-04,1929.8037163555168,1863.6929274459685,1869.696044921875,1500920,2082.9804119121823,1976.974755859375,1870.9690998065678,1980.5058372786802,2091.8752471037274,1869.1364274536334,27.783529840135657,,,0,1
2020-02-05,1897.2298559909736,1854.6954816986038,1867.2430419921875,1283330,2087.717797752553,1975.0336853027343,1862.3495728529153,1973.001980696267,2081.5596559223354,1864.4443054701985,27.54818919782217,1867.2430419921875,,1,1
2020-02-06,1977.8714647454342,1845.5828725330089,1953.8782958984375,3945750,2087.7450532212815,1975.3321594238282,1862.919265626375,1971.7581787892689,2096.8810677577353,1846.6352898208027,45.2025233550679,,,0,1
2020-02-07,1965.9277983266313,1884.457085828078,1891.1260986328125,2224150,2090.3942993994424,1971.9954772949218,1853.5966551904012,1966.6036747387636,2095.717269978196,1837.4900794993316,37.98297479939828,,,0,1
2020-02-10,1902.4998704817458,1800.4519046261398,1826.0596923828125,2437470,2100.9821493045542,1966.1373046875,1831.292460070446,1957.7633893338996,2094.7458520034857,1820.7809266643135,32.234182822831016,,,0,1
2020-02-11,1855.926514128005,1815.3037441680392,1821.460205078125,1295530,2108.6314448374937,1959.0444885253905,1809.457532213287,1949.318896246424,2080.4809320025256,1818.1568604903223,31.86701359897124,,,0,1
2020-02-12,1855.0690639778652,1813.4641154863834,1847.197509765625,1528370,2109.9829406340104,1952.5912719726562,1795.199603311302,1943.0815047701496,2069.2581227794417,1816.9048867608576,36.24337565892256,,,0,1
