Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,2140.7891017943616,2057.3541572310155,2069.78662109375,2285820,2311.459305760553,,2311.459305760553,,2069.78662109375,-1,0
2020-01-03,2076.024458633963,2022.7535332799407,2030.3472900390625,1572970,2242.5574488740567,,2242.5574488740567,,,0,0
2020-01-06,2021.7954786972582,1987.2524333287658,1998.841796875,1258710,2179.3710454333595,,2179.3710454333595,,,0,0
2020-01-07,2045.730968501158,1984.789558949148,1993.413330078125,1371520,2179.3710454333595,,2179.3710454333595,,,0,0
2020-01-08,1983.4675015295454,1897.2393753977367,1906.0643310546875,2892860,2140.442043568365,,2140.442043568365,,,0,0
2020-01-09,1964.303670684156,1902.9790682823093,1947.908935546875,2592870,2130.720821756088,,2130.720821756088,,,0,0
2020-01-10,1987.3003167725394,1940.3678525965222,1957.8597412109375,2169260,2130.720821756088,,2130.720821756088,,,0,0
2020-01-13,1973.895157992443,1922.4495068420629,1943.2232666015625,1320920,2130.42793280187,,2130.42793280187,,,0,0
2020-01-14,1971.9020570812886,1940.827797491618,1963.316650390625,1162260,2125.448089751674,,2125.448089751674,,,0,0
2020-01-15,1978.6765156219558,1945.1396255266684,1976.2618408203125,1079560,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-16,2069.705184572523,1978.6764843251203,2063.5966796875,2921950,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-17,2085.994463831878,2022.1354184556012,2040.2117919921875,1834850,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-20,2064.9048487263217,2012.692705954478,2047.1973876953125,1005930,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-21,2057.727800462459,2009.3676319854642,2017.632080078125,1032360,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-22,2039.042830827903,2006.8473241356594,2021.7952880859375,786810,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-23,2030.9942333583533,1991.1811055617507,2004.140625,1059580,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-24,2028.981609204251,1993.0492312372337,2005.58251953125,770750,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-27,2027.6213991847533,1990.6540874099628,2021.3355712890625,971080,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-28,2033.9644441725006,2000.235961218197,2020.5162353515625,972770,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-29,2034.8269793727816,1925.9757206892655,1934.8150634765625,2869250,2121.4073784593606,,2121.4073784593606,,,0,0
2020-01-30,1971.9690482509095,1935.5575692258683,1949.0010986328125,1385590,2110.659166150526,,2110.659166150526,,,0,0
2020-01-31,1977.881234630461,1936.6117453123052,1944.114501953125,1021230,2110.659166150526,,2110.659166150526,,,0,0
2020-02-03,1952.3836959343798,1869.6002575609564,1905.2259521484375,1486370,2074.0978570618227,,2074.0978570618227,,,0,0
2020-02-04,1929.8037163555168,1863.6929274459685,1869.696044921875,1500920,2063.3822332133627,,2063.3822332133627,,,0,0
2020-02-05,1897.2297319602844,1854.6953604485834,1867.242919921875,1283330,2038.7232172890795,,2038.7232172890795,,,0,0
2020-02-06,1977.8715883147415,1845.5829878374668,1953.87841796875,3945750,2038.7232172890795,,2038.7232172890795,,,0,0
2020-02-07,1965.9277983266313,1884.457085828078,1891.1260986328125,2224150,2038.7232172890795,,2038.7232172890795,,,0,0
2020-02-10,1902.4997433014819,1800.4517842676828,1826.0595703125,2437470,2038.7232172890795,,2038.7232172890795,,,0,0
2020-02-11,1855.926514128005,1815.3037441680392,1821.460205078125,1295530,2030.4718326972977,,2030.4718326972977,,,0,0
2020-02-12,1855.069186568362,1813.4642353274562,1847.1976318359375,1528370,2022.4060054258518,,2022.4060054258518,,,0,0
2020-02-13,1867.525780812169,1836.9400932839349,1854.618896484375,919630,2022.4060054258518,,2022.4060054258518,,,0,0
2020-02-14,1854.1109919574196,1773.143354324137,1792.1683349609375,2318720,1998.7898610428133,,1998.7898610428133,,,0,0
2020-02-17,1815.6633170057262,1767.8828388362408,1776.1041259765625,1292680,1972.9789541436844,,1972.9789541436844,,,0,0
2020-02-18,1800.6386576388743,1757.2946376570205,1797.61083984375,1806500,1955.3487075800697,,1955.3487075800697,,,0,0
2020-02-19,1824.30619595033,1792.8438400601315,1808.61572265625,1322670,1955.3487075800697,,1955.3487075800697,,,0,0
2020-02-20,1823.4486873554724,1776.928181413965,1806.07177734375,1249820,1955.3487075800697,,1955.3487075800697,,,0,0
2020-02-24,1791.828180421649,1705.6000518345784,1719.9586181640625,1928210,1927.3188199664444,,1927.3188199664444,,,0,0
2020-02-25,1746.7928664031092,1659.69274890319,1679.939453125,2568310,1889.5525645874486,,1889.5525645874486,,,0,0
2020-02-26,1686.4264741027962,1632.3267168006316,1643.9735107421875,2151130,1843.454263168969,,1843.454263168969,,,0,0
2020-02-27,1652.698228860234,1619.9374126770913,1634.0516357421875,2554810,1812.4360473988884,,1812.4360473988884,,,0,0
