Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,2064.904602473975,2012.6924659287442,2047.1971435546875,1005930,-44.00021430343644,-24.173703150255733,-30.97018603558344,6.7964828853277055,,,0,1
2020-01-21,2057.7276759662846,2009.3675104151655,2017.6319580078125,1032360,-50.5676322759393,-22.33370558764227,-29.242889945995206,6.909184358352935,2017.6319580078125,,1,1
2020-01-22,2039.0427077162321,2006.847202967863,2021.795166015625,786810,-34.01206526074641,-20.305489130981186,-27.455409782992405,7.149920652011218,,,0,1
2020-01-23,2030.994109652413,1991.1809842807902,2004.1405029296875,1059580,-43.36527064960548,-19.893378260042482,-25.943003478402424,6.049625218359942,,,0,1
2020-01-24,2028.981979687764,1993.0495951596452,2005.5828857421875,770750,-42.60111544432044,-19.228732330417643,-24.60014924880547,5.371416918387826,,,0,1
2020-01-27,2027.6212767348336,1990.6539671925332,2021.33544921875,971080,-34.25561709750195,-17.23225273693538,-23.126569946431452,5.894317209496073,,,0,1
2020-01-28,2033.9643212897092,2000.2358403731255,2020.51611328125,972770,-35.77757379321502,-15.537040506435687,-21.6086640584323,6.071623551996613,,,0,1
2020-01-29,2034.8268509925708,1925.9755991766401,1934.81494140625,2869250,-92.43906534778523,-20.868383204688826,-21.460607887683608,0.5922246829947824,,,0,1
2020-01-30,1971.9690482509095,1935.5575692258683,1949.0010986328125,1385590,-83.7649213325958,-23.675885503427253,-21.903663410832337,-1.772222092594916,,,0,1
2020-01-31,1977.880986249432,1936.6115021138717,1944.1142578125,1021230,-88.66469251619911,-25.995518361284894,-22.722034400922848,-3.2734839603620465,,,0,1
2020-02-03,1952.3834457508385,1869.6000179855007,1905.2257080078125,1486370,-83.53670826095534,-30.61886980572058,-24.301401481882397,-6.317468323838181,,,0,1
2020-02-04,1929.8037163555168,1863.6929274459685,1869.696044921875,1500920,-97.29956399191094,-36.72649582966142,-26.786420351438203,-9.940075478223214,,,0,1
2020-02-05,1897.2297319602844,1854.6953604485834,1867.242919921875,1283330,-94.57518609091942,-41.28882823212598,-29.68690192757576,-11.601926304550219,,,0,1
2020-02-06,1977.8715883147415,1845.5829878374668,1953.87841796875,3945750,-50.62254565708621,-37.48168336727349,-31.24585821551531,-6.235825151758181,,,0,1
2020-02-07,1965.9276714279436,1884.456964188244,1891.1259765625,2224150,-78.53210979415202,-39.077628632434426,-32.812212298899134,-6.265416333535292,,,0,1
2020-02-10,1902.4997433014819,1800.4517842676828,1826.0595703125,2437470,-89.2670745078283,-45.073166548073914,-35.26440314873409,-9.808763399339824,,,0,1
2020-02-11,1855.9266385081748,1815.303865825759,1821.4603271484375,1295530,-91.03635758942961,-49.62376218682721,-38.136274956352715,-11.487487230474493,,,0,1
2020-02-12,1855.0690639778652,1813.4641154863834,1847.197509765625,1528370,-80.05516279903065,-50.570422125939785,-40.62310439027013,-9.947317735669657,,,0,1
2020-02-13,1867.5256578923302,1836.9399723772344,1854.6187744140625,919630,-76.88875745048364,-50.143796441027916,-42.52724280042169,-7.616553640606227,,,0,1
2020-02-14,1854.1108656679946,1773.1432335496766,1792.168212890625,2318720,-92.72977822346859,-54.219917448268234,-44.865777729990995,-9.354139718277239,,,0,1
2020-02-17,1815.6633170057262,1767.8828388362408,1776.1041259765625,1292680,-96.92022043352407,-58.077034373601236,-47.50802905871305,-10.569005314888187,,,0,1
2020-02-18,1800.6387799147967,1757.2947569895819,1797.6109619140625,1806500,-81.72315422419764,-58.72150050101459,-49.75072334717336,-8.970777153841226,,,0,1
2020-02-19,1824.30619595033,1792.8438400601315,1808.61572265625,1322670,-76.7342839855102,-57.67936056441454,-51.3364507906216,-6.34290977379294,,,0,1
2020-02-20,1823.4486873554724,1776.928181413965,1806.07177734375,1249820,-77.88660755477791,-56.408490319193334,-52.35085869633595,-4.057631622857386,,,0,1
2020-02-24,1791.828053250551,1705.5999307833338,1719.95849609375,1928210,-94.72638267214431,-61.63939800092362,-54.208566557253484,-7.430831443670137,,,0,1
2020-02-25,1746.7928664031092,1659.69274890319,1679.939453125,2568310,-93.63669052937186,-68.2276465012003,-57.01238254604284,-11.215263955157454,,,0,1
2020-02-26,1686.4265993253775,1632.3268380061322,1643.9736328125,2151130,-96.62943951659925,-75.48092490667432,-60.70609101816914,-14.774833888505178,,,0,1
2020-02-27,1652.6981053969453,1619.937291661169,1634.051513671875,2554810,-95.92063166027329,-81.09501948734692,-64.7838767120047,-16.31114277534222,,,0,1
2020-02-28,1614.3700752672219,1563.4945253901938,1590.8319091796875,3264550,-91.9359991100056,-88.01708460847749,-69.43051829129925,-18.58656631717824,,,0,1
2020-03-02,1703.9520747519423,1594.727214861699,1630.21875,3483700,-78.05348943686306,-89.29534109539554,-73.40348285211851,-15.891858243277028,,,0,1
2020-03-03,1728.6829719461568,1667.2625751848377,1714.065673828125,2747400,-50.475088784904884,-82.59056987697204,-75.24090025708922,-7.3496696198828175,,,0,1
2020-03-04,1751.5837794536133,1616.478028412607,1653.2919921875,4186090,-70.46438433515515,-81.24438389794977,-76.44159698526133,-4.802786912688447,,,0,1
2020-03-05,1714.0226174622144,1644.4383650509967,1703.228515625,2313750,-51.91805453842196,-75.28027752737171,-76.20933309368341,0.9290555663117033,,,0,1
2020-03-06,1712.4415676014721,1611.878735445473,1700.181396484375,1707910,-47.59173513952671,-69.99272474651434,-74.9660114242496,4.97328667773526,,,0,1
2020-03-09,1724.6584991341026,1633.2608850717172,1713.8116455078125,1932250,-42.36564652387378,-63.96510398760233,-72.76582993692016,8.800725949317822,,,0,1
2020-03-11,1750.3334088838758,1678.473438110231,1701.1444091796875,2219090,-47.22249832844219,-59.52415382388813,-70.11749471431375,10.593340890425623,,,0,1
2020-03-12,1655.9077757432992,1600.1886100304978,1617.2205810546875,3635550,-79.33248875174009,-62.06121729164602,-68.5062392297802,6.4450219381341896,,,0,1
2020-03-13,1775.409428811017,1456.6508305859845,1693.33984375,2794020,-29.383920756188882,-57.269502844347244,-66.25889195269362,8.989389108346373,,,0,1
