Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,757.7885585446029,743.1201484958185,753.207763671875,1581541,-7.067594514326096,5.928868410778136,3.81640586560583,2.1124625451723062,,,0,1
2020-01-21,761.2973603094568,744.0948464597966,752.0869750976562,1667878,-13.480678530589255,6.48011722626768,4.349148137738201,2.130969088529479,,,0,1
2020-01-22,778.7434727979968,747.6522517639958,772.7981567382812,3093985,-6.931779453287956,8.49033386812539,5.177385283815639,3.3129485843097513,,,0,1
2020-01-23,791.3652363281946,763.1492016065417,788.392578125,2597472,-3.0212785296606826,11.212533411904474,6.384414909433406,4.828118502471067,,,0,1
2020-01-24,803.4996239046715,775.770879163399,801.1604614257812,1933519,-2.116407915513443,14.236053278894587,7.954742583325643,6.281310695568944,,,0,1
2020-01-27,815.6826455371893,789.4646299341108,792.4860229492188,2820058,-18.90389787531534,15.750695652008517,9.513933197062219,6.236762454946298,,,0,1
2020-01-28,802.9635186315672,777.0379112920797,788.392578125,1790691,-22.239817258484457,16.431343557763967,10.897415269202568,5.533928288561398,,,0,1
2020-01-29,801.9888645129801,779.7181465604908,781.9598388671875,1840396,-27.482125509483097,16.264209941333547,11.970774203628764,4.293435737704783,,,0,1
2020-01-30,788.4899856179512,767.2914382365615,771.1900024414062,1330496,-36.258915628592945,15.088785427927291,12.59437644848847,2.4944089794388216,,,0,1
2020-01-31,777.7201099313528,755.8880078700698,759.153076171875,1304458,-46.06831025356396,13.035706173097537,12.682642393410285,0.3530637796872522,,,0,1
2020-02-03,763.1490924488376,731.22937850536,760.614990234375,1541064,-44.87693534391142,11.395233164491856,12.4251605476266,-1.0299273831347442,,,0,1
2020-02-04,776.1607796412801,760.2739922780403,773.5779418945312,1075827,-34.31288389991701,11.014183695716497,12.14296517724458,-1.1287814815280832,,,0,1
2020-02-05,781.7648872281178,768.0710594445092,779.62060546875,1062607,-29.388464637211182,11.072158742388865,11.928803890273437,-0.8566451478845725,,,0,1
2020-02-06,786.1995704861611,773.1879728861888,780.6928100585938,1222421,-41.431002859141444,11.076934330368886,11.758429978292527,-0.6814956479236418,,,0,1
2020-02-07,783.2267914167701,765.6344004476633,767.68115234375,1086833,-56.83793520426889,9.916476020845835,11.39003918680319,-1.473563165957355,,,0,1
2020-02-10,769.679380878852,732.9351303865243,738.3444213867188,4260702,-91.57517153400691,6.554024721703058,10.422836293783163,-3.868811572080105,,,0,1
2020-02-11,749.504108885031,734.981843664165,740.050048828125,3394755,-89.55556056885216,3.980997263607037,9.134468487747938,-5.153471224140901,,,0,1
2020-02-12,754.8159032328585,735.3716983666556,736.2001342773438,1852945,-94.11419362840007,1.6126093791264111,7.630096666023634,-6.0174872868972225,,,0,1
2020-02-13,745.556752947906,726.4048993703032,733.1787109375,1884479,-92.41265392773848,-0.5023677127945803,6.003603790259991,-6.505971503054571,,,0,1
2020-02-14,751.3072261905705,718.4128647962751,724.2120361328125,3412990,-93.14118688208565,-2.8689663565505725,4.229089760897879,-7.0980561174484516,,,0,1
2020-02-17,730.9857724483952,714.9040465142807,718.7052001953125,1522461,-95.63511325121152,-5.129736065543966,2.3573245956095104,-7.4870606611534765,,,0,1
2020-02-18,722.4089128241615,697.4091519843893,705.5474853515625,1757880,-91.06471357089734,-7.892154132028509,0.30742885008190646,-8.199582982110416,,,0,1
2020-02-19,740.4885702383202,707.8866223496718,737.9544677734375,2076090,-54.335933456334416,-7.381330325597105,-1.230322985053896,-6.1510073405432095,,,0,1
2020-02-20,748.3344734743234,726.9896626782082,732.2528076171875,2137038,-60.75741479684215,-7.351827807944687,-2.4546239496320545,-4.897203858312633,,,0,1
2020-02-24,729.0365500199285,703.8906427437466,706.5221557617188,2367336,-89.73650092982992,-9.297519398733698,-3.823203039452383,-5.474316359281315,,,0,1
