Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-01-28,2162.5346287240836,2103.104723799767,2127.971435546875,904634,2156.6443939002606,2000.0391510216148,2078.3417724609376,,,,,0,1
2020-01-29,2163.4401856228687,2128.9630511906316,2143.0556640625,787135,2163.8438630297737,1997.4768400952266,2080.6603515625,,,,,0,1
2020-01-30,2173.782961221248,2123.7911246824565,2139.564453125,797868,2170.0619844443763,1995.8140165321865,2082.9380004882814,,,,,0,1
2020-01-31,2173.6970224216675,2147.9685874245706,2156.41552734375,574957,2178.942081800492,1992.9243488635702,2085.933215332031,,,,,0,1
2020-02-03,2128.1014332082227,2032.427371204937,2048.0712890625,1507692,2178.637095497836,1993.9189591896645,2086.27802734375,,,,,0,1
2020-02-04,2141.5471207951164,2069.3174877609517,2122.110595703125,1187298,2179.9515073072566,2002.4305117357121,2091.1910095214844,,,,,0,1
2020-02-05,2136.6338001028653,2021.6957971641968,2045.5711669921875,2176980,2173.8830954891378,2013.2998512882064,2093.591473388672,,,,,0,1
2020-02-06,2091.899661779231,2029.8408337412807,2078.367431640625,1632634,2170.89904641187,2021.17536765063,2096.03720703125,,,,,0,1
2020-02-07,2151.3729864730235,2087.030124555879,2106.07861328125,2709754,2169.0895144701326,2029.8802975415867,2099.4849060058596,,,,,0,1
2020-02-10,2118.1458513837283,2047.209103756033,2056.302490234375,949025,2167.3004396221086,2033.3027464130473,2100.301593017578,,,,,0,1
2020-02-11,2105.992431464954,2060.0084760793734,2065.56787109375,680119,2167.779198866517,2031.5353885358265,2099.657293701172,,,,,0,1
2020-02-12,2094.4857207888954,2068.627872384094,2088.495361328125,467714,2163.6242183938593,2031.1005740866092,2097.3623962402344,,,,,0,1
2020-02-13,2104.225504415085,2069.489753431088,2076.342041015625,514501,2163.181647831126,2029.340922969655,2096.2612854003905,,,,,0,1
2020-02-14,2101.2092247265377,2026.4800699407474,2031.1343994140625,798770,2164.3204542322856,2019.7983690099018,2092.0594116210937,6.206047899167233,,,,0,1
2020-02-17,2069.6912180161203,2011.6778607741444,2023.909912109375,818134,2167.5273182416504,2010.7750987505372,2089.1512084960937,7.545753527491278,,,,0,1
2020-02-18,2023.777118816484,1972.1899902176842,1996.6982421875,839607,2173.8768205850656,1997.3447126180588,2085.6107666015623,12.15729489367092,8.636365440109811,,,0,1
2020-02-19,2019.1679800411036,1974.0070889125225,1995.7677001953125,729471,2178.8016245355448,1985.2157704839867,2082.0086975097656,11.700688417544072,10.467912279568758,,,0,1
2020-02-20,2017.3953963267911,1981.452741745646,1985.7073974609375,886179,2182.247772268997,1970.9133117153783,2076.5805419921876,7.5439118251994755,10.467298378804823,,,0,1
2020-02-24,1967.7581156751767,1927.871126843923,1936.0257568359375,808263,2186.9303573329375,1947.0533951084683,2066.991876220703,3.6485736653587364,7.631057969367428,,,0,1
2020-02-25,1962.440025561468,1918.1655072893234,1935.9815673828125,861921,2188.858323703059,1927.0555678985036,2057.9569458007813,7.639574920946342,6.2773534705015175,,,0,1
2020-02-26,1945.5983607351282,1893.3020950023842,1899.10791015625,972076,2190.9576196216653,1902.0699194408348,2046.51376953125,2.249697794579161,4.512615460294746,,,0,1
2020-02-27,1913.3787345427245,1862.2791574073901,1870.4781494140625,1093297,2189.8678964075516,1875.9018911901048,2032.8848937988282,2.8361006643316973,4.241791126619066,,,0,1
2020-02-28,1870.2567394354667,1802.847679551487,1818.625244140625,1879071,2192.4175569507993,1841.2583097484196,2016.8379333496093,5.004013977452614,3.3632708121211574,,,0,1
2020-03-02,1870.2566507605627,1738.1863943798405,1750.9945068359375,1207967,2196.254260385422,1796.8795042630154,1996.5668823242188,3.482300768525199,3.77413847010317,,,0,1
2020-03-03,1829.3504450514276,1751.4820885134327,1821.373046875,1689926,2197.9225306967205,1772.5414097329672,1985.2319702148438,22.7261651049118,10.404159950296538,,,0,1
2020-03-04,1837.7708006938565,1773.1981159110528,1813.8385009765625,976550,2185.4034606197774,1754.233270337254,1969.8183654785157,20.66776596343426,15.625410612290418,,,0,1
2020-03-05,1855.2768049252277,1819.1125601691374,1829.3944091796875,899516,2180.2068502889706,1737.8122048868108,1959.0095275878907,25.12459470186509,22.83950859007038,,,0,1
2020-03-06,1820.1317792302307,1747.0499998383016,1806.7032470703125,606826,2169.113146583414,1721.739490135336,1945.426318359375,20.668433098170315,22.153597921156557,,,0,1
