Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,2113.4477516742745,2083.3234059461647,2094.01123046875,546945,2189.066463801522,,2189.066463801522,,,0,1
2020-01-03,2110.8620056236605,2081.55644899189,2096.510986328125,544720,2185.879628834984,,2185.879628834984,,,0,1
2020-01-06,2093.58082285594,2034.1940437360458,2041.175537109375,624665,2181.457047781068,,2181.457047781068,,,0,1
2020-01-07,2068.54143759577,2014.3262370819039,2023.8505859375,620687,2169.813389851046,,2169.813389851046,,,0,1
2020-01-08,2021.2649169004742,1991.5283918024645,1997.5618896484375,595883,2128.2192525221303,,2128.2192525221303,,,0,1
2020-01-09,2038.4604780035995,2004.9315505084899,2029.453369140625,732115,2128.2192525221303,,2128.2192525221303,,,0,1
2020-01-10,2058.0261508321173,2026.3934244466639,2037.1243896484375,578287,2128.2192525221303,,2128.2192525221303,,,0,1
2020-01-13,2053.888807503666,2027.5570669813872,2039.96875,434063,2128.2192525221303,,2128.2192525221303,,,0,1
2020-01-14,2084.8322532205093,2035.0558929621175,2078.453857421875,787340,2128.2192525221303,,2128.2192525221303,,,0,1
2020-01-15,2138.0562616383945,2080.694891858118,2134.39306640625,1051367,1983.7789707945117,1983.7789707945117,,2134.39306640625,,1,1
2020-01-16,2133.2294605256448,2091.9000395318276,2098.364501953125,590255,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-17,2133.1863370421174,2087.245725456689,2115.172119140625,457663,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-20,2120.041745854068,2077.333369212206,2082.073974609375,320280,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-21,2079.5309360841693,2047.079424330094,2067.507080078125,568473,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-22,2077.247154610045,2050.5273779324884,2067.80908203125,346888,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-23,2098.6664267788333,2051.3895703647495,2094.2705078125,315469,1986.7169820539993,1986.7169820539993,,,,0,1
2020-01-24,2133.1000572174917,2091.986122125168,2127.799072265625,519690,1990.288969002851,1990.288969002851,,,,0,1
2020-01-27,2153.527854698078,2090.2192632332603,2116.680419921875,897656,1992.264952596099,1992.264952596099,,,,0,1
2020-01-28,2162.5346287240836,2103.104723799767,2127.971435546875,904634,1998.012829231835,1998.012829231835,,,,0,1
2020-01-29,2163.439939160003,2128.9628086554617,2143.055419921875,787135,2014.3798788474533,2014.3798788474533,,,,0,1
2020-01-30,2173.7832092664657,2123.791367023224,2139.564697265625,797868,2015.0842916997653,2015.0842916997653,,,,0,1
2020-01-31,2173.696776324502,2147.968344240274,2156.415283203125,574957,2030.333435327553,2030.333435327553,,,,0,1
2020-02-03,2128.1009258469635,2032.4268866533575,2048.07080078125,1507692,2030.333435327553,2030.333435327553,,,,0,1
2020-02-04,2141.5471207951164,2069.3174877609517,2122.110595703125,1187298,2030.333435327553,2030.333435327553,,,,0,1
2020-02-05,2136.6338001028653,2021.6957971641968,2045.5711669921875,2176980,2030.333435327553,2030.333435327553,,,,0,1
2020-02-06,2091.899907509453,2029.8410721816076,2078.36767578125,1632634,2030.333435327553,2030.333435327553,,,,0,1
2020-02-07,2151.3729864730235,2087.030124555879,2106.07861328125,2709754,2030.333435327553,2030.333435327553,,,,0,1
2020-02-10,2118.1458513837283,2047.209103756033,2056.302490234375,949025,2030.333435327553,2030.333435327553,,,,0,1
2020-02-11,2105.9921825463316,2060.0082325958433,2065.567626953125,680119,2030.333435327553,2030.333435327553,,,,0,1
2020-02-12,2094.4854759480104,2068.627630565936,2088.4951171875,467714,2030.333435327553,2030.333435327553,,,,0,1
2020-02-13,2104.225504415085,2069.489753431088,2076.342041015625,514501,2030.333435327553,2030.333435327553,,,,0,1
2020-02-14,2101.209477290097,2026.4803135219258,2031.1346435546875,798770,2030.333435327553,2030.333435327553,,,,0,1
2020-02-17,2069.6914676792617,2011.6781034392388,2023.91015625,818134,2183.486264849521,,2183.486264849521,,2023.91015625,-1,0
2020-02-18,2023.7772425422932,1972.190110789658,1996.6983642578125,839607,2171.3497341652883,,2171.3497341652883,,,0,0
2020-02-19,2019.1678565395225,1974.0069681731889,1995.767578125,729471,2166.394391820685,,2166.394391820685,,,0,0
2020-02-20,2017.3951482901603,1981.4524981281265,1985.7071533203125,886179,2163.4256247944077,,2163.4256247944077,,,0,0
2020-02-24,1967.7578675329737,1927.8708837316296,1936.0255126953125,808263,2112.7041915389177,,2112.7041915389177,,,0,0
2020-02-25,1962.4396543456396,1918.1651444484778,1935.981201171875,861921,2102.2044832781403,,2102.2044832781403,,,0,0
2020-02-26,1945.5984857937403,1893.3022166995122,1899.1080322265625,972076,2080.886385373845,,2080.886385373845,,,0,0
2020-02-27,1913.378609672653,1862.2790358721568,1870.47802734375,1093297,2048.5099376643166,,2048.5099376643166,,,0,0
2020-02-28,1870.256488363592,1802.847437528915,1818.625,1879071,2001.1417841067246,,2001.1417841067246,,,0,0
2020-03-02,1870.2563899912539,1738.1861520250468,1750.9942626953125,1207967,1990.2229795729163,,1990.2229795729163,,,0,0
2020-03-03,1829.3503224464616,1751.4819711272849,1821.3729248046875,1689926,1980.9467903575992,,1980.9467903575992,,,0,0
2020-03-04,1837.7708006938565,1773.1981159110528,1813.8385009765625,976550,1980.9467903575992,,1980.9467903575992,,,0,0
2020-03-05,1855.2768049252277,1819.1125601691374,1829.3944091796875,899516,1980.9467903575992,,1980.9467903575992,,,0,0
2020-03-06,1820.1316562526163,1747.0498817984742,1806.703125,606826,1974.024039709847,,1974.024039709847,,,0,0
2020-03-09,1782.9482938426838,1697.6788238900892,1733.7987060546875,844134,1943.2979847037707,,1943.2979847037707,,,0,0
2020-03-11,1816.8969210069624,1727.4613959213598,1804.709228515625,1848085,1943.2979847037707,,1943.2979847037707,,,0,0
