Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,206.2051828592784,200.8856306924866,201.99790954589844,12767569,-13985817,-0.42670402116590367,0.02771024674080319,-0.45441426790670686,86.44804524636216,,201.99790954589844,-1,0
2020-01-08,201.80446339544488,197.79062531313994,200.59547424316406,12470053,-26455870,-0.8728949881806614,-0.1524108002434897,-0.7204841879371716,84.70428304509673,,,0,0
2020-01-09,204.99618257916825,202.04624631369217,203.83555603027344,8676205,-17779665,-0.9540592216201844,-0.31274048451882863,-0.6413187371013558,85.43524229618917,,,0,0
2020-01-10,207.1723878603675,203.3036223923563,204.56097412109375,7800086,-9979579,-0.9489088534333519,-0.43997415830173325,-0.5089346951316186,85.60115063287905,,,0,0
2020-01-13,206.01172961627685,202.6265603502817,204.27078247070312,6614653,-16594232,-0.9572090800596413,-0.5434211426533149,-0.41378793740632647,85.18312805138999,,,0,0
2020-01-14,207.70433925194857,203.88393642921582,204.99620056152344,7981507,-8612725,-0.8949356312249392,-0.6137240403676398,-0.2812115908572994,85.37538967106268,,,0,0
2020-01-15,207.9461408653737,203.11018410106269,206.6404266357422,9564560,951835,-0.704783861901376,-0.6319360046743872,-0.07284785722698883,85.82437897537275,,,0,0
2020-01-16,207.70431817556553,202.14296856201722,202.77163696289062,6986058,-6034223,-0.856394228933425,-0.6768276495261947,-0.1795665794072303,79.62961742927396,,,0,0
2020-01-17,205.0445589323773,201.32086646359275,203.15853881835938,8678002,2643779,-0.934553835956109,-0.7283728868121776,-0.20618094914393137,79.78674792915513,,,0,0
2020-01-20,203.88393366569125,199.96680585925714,200.49876403808594,3977566,-1333787,-1.1973155750873445,-0.8221614244672111,-0.37515415062013346,75.47650429702678,,,0,0
2020-01-21,201.65939313678018,197.93570059765375,198.41929626464844,4479791,-5813578,-1.55542188168846,-0.9688135159114609,-0.586608365776999,72.19285124609098,,,0,0
2020-01-22,200.98235118626818,196.33983008484518,196.92015075683594,6268889,-12082467,-1.93785385037026,-1.162621582803221,-0.7752322675670391,69.83406237913397,,,0,0
2020-01-23,198.612722515046,196.0980194450365,197.8873291015625,5560681,-6521786,-2.1382424040274373,-1.3577457470480643,-0.780496656979373,70.50365481879578,,,0,0
2020-01-24,200.8856299768639,195.6144403456361,198.6610870361328,5749852,-771934,-2.2091502686189983,-1.5280266513622514,-0.681123617256747,71.05715549906046,,,0,0
2020-01-27,196.8717831123907,190.92354803303115,191.74566650390625,7942736,-8714670,-2.791186840102057,-1.7806586891102127,-1.0105281509918442,60.186680828932595,,,0,0
2020-01-28,192.85793293327833,187.82854129138107,189.56948852539062,6308211,-15022881,-3.388988245218485,-2.102324600331867,-1.2866636448866178,57.22014145569149,,,0,0
2020-01-29,193.82513607484577,190.63341650150142,191.2620849609375,8978837,-6044044,-3.6837082829131873,-2.4186013368481314,-1.265106946065056,58.91628695609379,,,0,0
2020-01-30,191.26209045097946,186.3777711566026,187.10316467285156,8588693,-14632737,-4.204400434767308,-2.775761156431967,-1.428639278335341,53.32203136772452,,,0,0
2020-01-31,188.74736210680186,182.07374854161117,183.13766479492188,6008376,-20641113,-4.880772903721237,-3.1967635058898214,-1.6840093978314155,48.58495120409662,,,0,0
2020-02-03,179.51071821928383,174.3846011767294,175.83538818359375,7678833,-28319946,-5.937590802480912,-3.7449289652080395,-2.1926618372728726,41.3075188041988,,,0,0
2020-02-04,184.10487092930032,176.99600892967717,183.04095458984375,9235507,-19084439,-6.123114163090548,-4.2205660047845415,-1.9025481583060069,49.36696015397812,,,0,0
2020-02-05,191.06865410423976,182.12213411860773,189.8596649169922,7411014,-11673425,-5.654745440455599,-4.507401891918754,-1.1473435485368455,55.582707476984574,,,0,0
2020-02-06,190.87519788872163,186.32938723581526,187.63510131835938,7348886,-19022311,-5.400806409900866,-4.686082795515176,-0.7147236143856901,53.28450872506393,,,0,0
2020-02-07,191.89072941424527,186.52283002616065,190.9235382080078,6977770,-12044541,-4.8779782277005665,-4.724461881952254,-0.1535163457483124,56.16955719156905,,,0,0
2020-02-10,190.48829719933167,183.37945098386012,184.58843994140625,5385023,-17429564,-4.918129476842893,-4.763195400930382,-0.15493407591251085,49.79010010811714,,,0,0
2020-02-11,190.48831925206818,185.70072537756147,187.2965850830078,7530810,-9898754,-4.677505578386814,-4.746057436421669,0.06855185803485497,52.284933331887636,,,0,0
2020-02-12,189.95636109753016,184.9269694035214,187.2965850830078,10581151,-9898754,-4.435677674144728,-4.683981483966281,0.24830380982155287,52.284933331887636,,,0,0
2020-02-13,190.5366857238066,186.08759984932362,188.84410095214844,6711481,-3187273,-4.072213774717142,-4.561627942116453,0.4894141673993113,53.80607468436903,,,0,0
2020-02-14,190.5366750500866,187.10314318257596,187.63510131835938,3798528,-6985801,-3.8374860319953257,-4.416799560092228,0.5793135280969022,52.40059050797917,,,0,0
