Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,1810.7049893066849,1789.7473486924641,1797.21240234375,663275,1862.1718293062152,,1862.1718293062152,,,0,1
2020-01-03,1799.0207306422492,1779.3149623298018,1787.3826904296875,1598825,1850.0795762800226,,1850.0795762800226,,,0,1
2020-01-06,1789.1910862222544,1772.3600187995105,1776.2547607421875,683129,1838.6993357121635,,1838.6993357121635,,,0,1
2020-01-07,1790.6749612663332,1778.6196663432559,1781.1234130859375,808935,1838.6993357121635,,1838.6993357121635,,,0,1
2020-01-08,1795.357956611079,1767.908887886962,1789.144775390625,1889685,1838.6993357121635,,1838.6993357121635,,,0,1
2020-01-09,1805.7903381652718,1790.674808998021,1794.4305419921875,1544334,1838.6993357121635,,1838.6993357121635,,,0,1
2020-01-10,1815.2489517508657,1791.2774875949738,1812.0032958984375,1003336,1838.6993357121635,,1838.6993357121635,,,0,1
2020-01-13,1852.66675643373,1814.7853375614245,1849.884765625,2040089,1763.4076508825908,1763.4076508825908,,1849.884765625,,1,1
2020-01-14,1868.5240353797033,1838.3395037681616,1862.821044921875,1610737,1780.1195685442608,1780.1195685442608,,,,0,1
2020-01-15,1879.698621495811,1852.2032539484846,1874.7374267578125,1559491,1791.3546978589713,1791.3546978589713,,,,0,1
2020-01-16,1905.3854476263339,1869.5905220858772,1900.33154296875,2468958,1808.5170592184559,1808.5170592184559,,,,0,1
2020-01-17,1913.9168664360807,1891.800175188725,1910.57861328125,994719,1825.502817809795,1825.502817809795,,,,0,1
2020-01-20,1925.0450840994272,1901.027317332735,1912.943603515625,829399,1836.3348442052156,1836.3348442052156,,,,0,1
2020-01-21,1924.2103097452664,1903.020722521728,1906.0345458984375,750000,1838.483788571704,1838.483788571704,,,,0,1
2020-01-22,1913.5460583550487,1879.8839234613465,1902.603515625,983169,1838.483788571704,1838.483788571704,,,,0,1
2020-01-23,1911.0884281765661,1887.1168532647,1907.42529296875,708017,1838.483788571704,1838.483788571704,,,,0,1
2020-01-24,1927.9194117525863,1901.073248773487,1923.0045166015625,914993,1838.483788571704,1838.483788571704,,,,0,1
2020-01-27,1918.41452169415,1907.2865583054709,1911.5523681640625,429312,1838.483788571704,1838.483788571704,,,,0,1
2020-01-28,1914.9367294186004,1894.2572221213584,1910.8565673828125,777052,1838.483788571704,1838.483788571704,,,,0,1
2020-01-29,1934.2255053857805,1912.2014116675348,1923.4683837890625,873433,1850.408028111568,1850.408028111568,,,,0,1
2020-01-30,1926.9922333130644,1900.5169097555545,1908.5384521484375,952768,1850.408028111568,1850.408028111568,,,,0,1
2020-01-31,1917.9507364153758,1873.2534648837511,1886.4215087890625,1930834,1850.408028111568,1850.408028111568,,,,0,1
2020-02-03,2035.9998508675724,1924.1173272236908,2020.6060791015625,4012542,1863.0250547137357,1863.0250547137357,,,,0,1
2020-02-04,2044.0213629503537,1984.4868041069444,1998.9532470703125,1932121,1891.0541274963389,1891.0541274963389,,,,0,1
