Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,1456.2817218908192,1392.738347615009,1411.5213623046875,3572603,-6980613,0.860612565176325,1.8667965971440437,-1.0061840319677187,88.81770882893615,,1411.5213623046875,-1,0
2020-01-08,1430.7871212625225,1389.6964839657278,1408.575927734375,3363919,-10344532,-1.464092082416073,1.2006188612320203,-2.6647109436480934,88.30356183078828,,,0,0
2020-01-09,1463.9589984212605,1432.332190978684,1455.9437255859375,3496433,-6848099,0.5098706813607805,1.0624692252577723,-0.5525985438969918,89.36933920859329,,,0,0
2020-01-10,1469.463753173727,1433.2980617859937,1440.1063232421875,3189536,-10037635,0.7872296890193411,1.0074213180100862,-0.22019162899074507,86.53033084968061,,,0,0
2020-01-13,1493.944214902734,1436.3399428327953,1486.8463134765625,3732412,-6305223,4.724108705863955,1.7507587955808601,2.973349910283095,87.76557043307291,,,0,0
2020-01-14,1530.6408100166118,1419.8262781873336,1430.8353271484375,15123110,-21428333,3.2866092119074892,2.057928878846186,1.2286803330613032,78.4778209256132,,,0,0
2020-01-15,1413.211441007896,1343.632411603511,1352.4686279296875,13995235,-35423568,-4.128565647951746,0.8206299734865997,-4.949195621438346,67.68528305723149,,,0,0
2020-01-16,1366.471289593282,1329.871080945437,1338.900390625,10544088,-45967656,-10.97349290835291,-1.5381946028813025,-9.435298305471607,65.99308331461117,,,0,0
2020-01-17,1329.7744660591723,1271.8805558849867,1305.873291015625,10020063,-55987719,-18.845914030972153,-4.999738488499473,-13.84617554247268,61.93408571046891,,,0,0
2020-01-20,1320.9867898053465,1277.6266479424055,1286.2696533203125,6047237,-62034956,-26.362820036855737,-9.272354798170726,-17.090465238685013,59.59118797256987,,,0,0
2020-01-21,1303.7004382510188,1274.729317400996,1290.5185546875,4501887,-57533069,-31.612759162751445,-13.740435671086871,-17.872323491664574,59.94486468983882,,,0,0
2020-01-22,1301.7690906828645,1277.6264888526928,1281.8756103515625,3038713,-60571782,-36.055165613966665,-18.20338165966283,-17.851783954303833,58.817137574453106,,,0,0
2020-01-23,1293.8503885892494,1274.8259472616535,1286.124755859375,4358219,-56213563,-38.78583523621592,-22.31987237497345,-16.465962861242467,59.22328975990037,,,0,0
2020-01-24,1298.8720066640133,1262.802982323375,1270.963134765625,4563516,-60777079,-41.69271898493025,-26.19444169696481,-15.498277287965443,57.06087301222155,,,0,0
2020-01-27,1267.0038025019037,1221.6157089671558,1227.60302734375,6019701,-66796780,-46.95398725492828,-30.346350808557503,-16.607636446370776,51.292777074049006,,,0,0
2020-01-28,1240.8331639227413,1197.7144542875744,1211.7171630859375,6103759,-72900539,-51.808223791818364,-34.63872540520968,-17.169498386608687,49.32547730539473,,,0,0
2020-01-29,1232.9143612277264,1208.0958133351132,1215.09716796875,3977924,-68922615,-54.75136343785471,-38.66125301173869,-16.09011042611602,49.766941124760585,,,0,0
2020-01-30,1210.9928672874162,1179.6558183137595,1189.2645263671875,5301706,-74224321,-58.494018462790336,-42.62780610194902,-15.866212360841317,46.43722017907312,,,0,0
2020-01-31,1227.9892402476546,1199.5009709154588,1215.676513671875,8391172,-65833149,-58.65276038152183,-45.83279695786358,-12.819963423658251,50.112383074556455,,,0,0
2020-02-03,1224.947254808392,1174.344456906193,1219.78076171875,7697534,-58135615,-57.78131890235545,-48.22250134676196,-9.558817555593492,50.67870729998555,,,0,0
2020-02-04,1239.9641365648947,1213.1658462302562,1229.00341796875,4632688,-53502927,-55.704378567938875,-49.71887679099734,-5.985501776941533,51.99740190588564,,,0,0
2020-02-05,1244.4544557752754,1221.8086267436374,1229.1480712890625,4360609,-49142318,-53.43079908302411,-50.461261249402696,-2.969537833621416,52.019070737863665,,,0,0
2020-02-06,1293.4639999116318,1219.104789684825,1288.4906005859375,7628363,-41513955,-46.306729638590696,-49.6303549272403,3.323625288649602,59.996930602014274,,,0,0
