Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,1238.365614954697,1204.3748673632106,1235.88525390625,4335359,1297.1671854490532,,1297.1671854490532,,,0,1
2020-01-03,1235.5633578649695,1221.9671291093157,1226.4686279296875,2059871,1292.1176229500065,,1292.1176229500065,,,0,1
2020-01-06,1223.6668032531563,1207.2226098200413,1209.6571044921875,2646905,1277.1869444883114,,1277.1869444883114,,,0,1
2020-01-07,1230.5570042013264,1206.9012797831226,1213.102294921875,2077893,1277.1869444883114,,1277.1869444883114,,,0,1
2020-01-08,1202.2619175040122,1178.9736838417903,1186.5068359375,4147568,1262.594244918753,,1262.594244918753,,,0,1
2020-01-09,1212.5508425945636,1198.9545009436492,1209.1058349609375,2067779,1262.594244918753,,1262.594244918753,,,0,1
2020-01-10,1227.2955206435813,1211.7241295670503,1216.86865234375,2360798,1262.594244918753,,1262.594244918753,,,0,1
2020-01-13,1230.465027492522,1220.6352039326189,1226.147216796875,1825244,1262.594244918753,,1262.594244918753,,,0,1
2020-01-14,1222.7482037639927,1208.1413470456616,1218.2467041015625,2046500,1262.594244918753,,1262.594244918753,,,0,1
2020-01-15,1227.47941222166,1212.6428877948224,1215.9500732421875,2127677,1262.594244918753,,1262.594244918753,,,0,1
2020-01-16,1224.493628731199,1210.25426276399,1211.999755859375,1773135,1262.594244918753,,1262.594244918753,,,0,1
2020-01-17,1218.1087299697253,1196.106659243733,1198.127685546875,2941837,1262.594244918753,,1262.594244918753,,,0,1
2020-01-20,1212.5510794561374,1200.2408940121882,1203.0887451171875,2542477,1262.594244918753,,1262.594244918753,,,0,1
2020-01-21,1207.0390147154244,1194.6828514971915,1196.4283447265625,1361576,1255.9253464738472,,1255.9253464738472,,,0,1
2020-01-22,1205.2933884897745,1186.9200136652353,1188.9410400390625,2449753,1251.1775879044212,,1251.1775879044212,,,0,1
2020-01-23,1230.878264376225,1199.7813505742333,1223.9423828125,10056067,1251.1775879044212,,1251.1775879044212,,,0,1
2020-01-24,1256.601048264395,1223.6667954548027,1248.654541015625,5837319,1251.1775879044212,,1251.1775879044212,,,0,1
2020-01-27,1253.8910946676153,1231.0162186244397,1238.916748046875,2510013,1251.1775879044212,,1251.1775879044212,,,0,1
2020-01-28,1244.7961054617138,1229.17873734891,1237.125244140625,2352852,1251.1775879044212,,1251.1775879044212,,,0,1
2020-01-29,1263.1235403448482,1242.1319820453602,1254.6258544921875,3678474,1186.2228322758906,1186.2228322758906,,1254.6258544921875,,1,1
2020-01-30,1264.8231912134988,1242.95882991031,1258.7598876953125,2743506,1187.5702220439916,1187.5702220439916,,,,0,1
2020-01-31,1265.0069324131837,1249.8029189786487,1257.9332275390625,3939306,1193.2034292910437,1193.2034292910437,,,,0,1
2020-02-03,1197.8522860255466,1168.5467285033533,1182.0052490234375,5767353,1268.0378035448628,,1268.0378035448628,,1182.0052490234375,-1,0
2020-02-04,1200.9757744721016,1182.8320655606806,1186.6904296875,3604309,1268.0378035448628,,1268.0378035448628,,,0,0
2020-02-05,1217.2361285435145,1189.6760652557368,1203.5020751953125,4220104,1268.0378035448628,,1268.0378035448628,,,0,0
2020-02-06,1217.236159828731,1202.5834373276678,1210.43798828125,2354458,1268.0378035448628,,1268.0378035448628,,,0,0
2020-02-07,1207.4984762420715,1190.5949453305427,1193.3509521484375,3053804,1268.0378035448628,,1268.0378035448628,,,0,0
2020-02-10,1196.5199706372182,1169.5570674602538,1180.764892578125,3039992,1260.62809313559,,1260.62809313559,,,0,0
2020-02-11,1193.304754681367,1179.5707014181462,1182.23486328125,2200796,1260.5182570870622,,1260.5182570870622,,,0,0
2020-02-12,1194.131722932315,1175.8961680669042,1191.7891845703125,2568696,1257.2364114922427,,1257.2364114922427,,,0,0
2020-02-13,1194.1316408630519,1180.4894313417428,1187.1497802734375,1545536,1256.54647683971,,1256.54647683971,,,0,0
2020-02-14,1198.816852147224,1185.6339767849356,1189.81396484375,1780119,1256.54647683971,,1256.54647683971,,,0,0
2020-02-17,1192.2942380973868,1173.1400167133927,1176.0797119140625,2155085,1248.2857241321044,,1248.2857241321044,,,0,0
2020-02-18,1184.8990889723389,1163.4480823101485,1181.7296142578125,2347917,1239.6275980100165,,1239.6275980100165,,,0,0
2020-02-19,1193.350676068894,1172.7724741609022,1177.18212890625,1820353,1239.6275980100165,,1239.6275980100165,,,0,0
2020-02-20,1184.0721388079821,1171.5782666109528,1176.4471435546875,3034681,1239.6275980100165,,1239.6275980100165,,,0,0
2020-02-24,1168.4547739745917,1150.7704010150326,1157.2469482421875,3414064,1223.485499802144,,1223.485499802144,,,0,0
