Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,512.6774034353348,505.57004571673036,511.58758544921875,2776519,531.7319080319995,,531.7319080319995,,511.58758544921875,-1,0
2020-01-03,510.78211211084147,502.6323649978789,504.85931396484375,1930883,530.8717810002497,,530.8717810002497,,,0,0
2020-01-06,502.25332254677073,493.25066865206446,497.041259765625,2059404,524.9741365668431,,524.9741365668431,,,0,0
2020-01-07,504.14859710123295,495.66713827000416,499.0787048339844,2111349,524.9741365668431,,524.9741365668431,,,0,0
2020-01-08,498.8891037664698,491.8291173920114,497.183349609375,1612378,521.1014261016353,,521.1014261016353,,,0,0
2020-01-09,514.0514954242365,498.1783967891687,512.914306640625,2897598,521.1014261016353,,521.1014261016353,,,0,0
2020-01-10,518.9318395619855,511.0190046746723,517.9841918945312,2355888,521.1014261016353,,521.1014261016353,,,0,0
2020-01-13,527.8398221748268,517.9842619641759,525.8971557617188,3442869,493.6100738254479,493.6100738254479,,525.8971557617188,,1,1
2020-01-14,534.2364396158854,525.8971506630182,533.0518798828125,2793249,501.39866123330034,501.39866123330034,,,,0,1
2020-01-15,541.1068619263177,527.555510752521,539.9223022460938,2564513,503.98542530234363,503.98542530234363,,,,0,1
2020-01-16,539.9696859323624,534.5207112734876,537.7427368164062,2243200,508.7671791427044,508.7671791427044,,,,0,1
2020-01-17,543.9497440393695,535.5630855816598,539.4957885742188,2646260,511.70304021245363,511.70304021245363,,,,0,1
2020-01-20,543.9498530346211,534.8050283624787,537.505859375,1847978,511.70304021245363,511.70304021245363,,,,0,1
2020-01-21,535.3261906237773,521.3009588698507,523.859619140625,3101684,511.70304021245363,511.70304021245363,,,,0,1
2020-01-22,527.3659382468841,520.2585805885703,524.6177368164062,1862669,511.70304021245363,511.70304021245363,,,,0,1
2020-01-23,537.6953744010676,520.7798267960719,536.8424682617188,2113303,511.70304021245363,511.70304021245363,,,,0,1
2020-01-24,542.0545417251486,534.5681009674876,538.0270385742188,2284717,511.70304021245363,511.70304021245363,,,,0,1
2020-01-27,552.0047901463947,533.5256598324811,548.024658203125,3654906,511.70304021245363,511.70304021245363,,,,0,1
2020-01-28,558.8752435009552,538.7377294282205,542.5283203125,3689004,512.477507246845,512.477507246845,,,,0,1
2020-01-29,550.2991127374754,542.1967352663527,547.5035400390625,1934080,512.477507246845,512.477507246845,,,,0,1
2020-01-30,556.7904378457805,534.3311740420801,538.1217651367188,2901951,512.477507246845,512.477507246845,,,,0,1
2020-01-31,546.7927420953476,535.7052520481524,537.4584350585938,2352196,512.477507246845,512.477507246845,,,,0,1
2020-02-03,536.1316488799497,507.1810252322137,529.4507446289062,3818209,512.477507246845,512.477507246845,,,,0,1
2020-02-04,548.4985552644157,529.545598566683,546.6980590820312,2793702,512.477507246845,512.477507246845,,,,0,1
2020-02-05,558.9699971481928,547.1718290392171,553.7579345703125,3320830,512.477507246845,512.477507246845,,,,0,1
2020-02-06,558.3066612651686,545.8924417874588,549.77783203125,2207104,512.477507246845,512.477507246845,,,,0,1
2020-02-07,551.0571912093927,531.9146942374201,539.3063354492188,4083215,512.477507246845,512.477507246845,,,,0,1
2020-02-10,537.3163035937507,498.51011454401356,500.73712158203125,9648880,570.0586591337094,,570.0586591337094,,500.73712158203125,-1,0
2020-02-11,509.5502224511036,495.3355057629,496.61480712890625,5404802,553.6720498432421,,553.6720498432421,,,0,0
2020-02-12,506.3281842776436,496.4726823227456,503.2009582519531,3426829,550.5520456622472,,550.5520456622472,,,0,0
2020-02-13,509.83440644337287,500.64221319789846,505.66473388671875,3392352,550.5520456622472,,550.5520456622472,,,0,0
2020-02-14,508.8394793945028,493.39283238052894,495.6197814941406,3507540,548.1373733053395,,548.1373733053395,,,0,0
