Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2020-01-22,7081.2382421271805,6824.871682275742,6851.42041015625,1048435,26.32122356580994,53.52457715680992,12.071393832377908,13.249442475370001,-1.1780486429920938,,,0,1
2020-01-23,6932.459020850964,6839.4660384178105,6862.46240234375,589326,28.272193658806565,36.41820267081518,-2.473466410086985,10.104860698278603,-12.578327108365588,,,0,1
2020-01-24,6922.857208125506,6828.039989082178,6844.55517578125,645723,25.108229866883057,26.56721569716652,-15.269321238542034,5.0300243109144755,-20.29934554945651,,,0,1
2020-01-27,6937.259711632102,6779.791117485713,6864.09423828125,573149,28.560516912136123,27.31364681260858,-23.561882614242677,-0.6883570741169551,-22.873525540125723,,,0,1
2020-01-28,6932.410931312923,6685.693946486095,6718.3876953125,1614448,5.610450168848055,19.75973231595575,-41.41370612132414,-8.833426883558392,-32.58027923776575,6718.3876953125,,1,1
2020-01-29,6832.841015911717,6697.216383064707,6731.1103515625,1001252,7.793736927580326,13.988234669521503,-53.91331371380966,-17.849404249608646,-36.06390946420101,,,0,1
2020-01-30,6768.2692364563845,6702.977378309267,6740.8564453125,579174,9.466227091239219,7.6234713958892,-62.314590659901114,-26.74244153166714,-35.572149128233974,,,0,1
2020-01-31,6782.671770471722,6620.93020981536,6638.16552734375,868935,2.6618528600742537,6.640605626297933,-76.3785180122104,-36.669656827775796,-39.70886118443461,,,0,1
2020-02-03,6764.284934243576,6509.982642416936,6732.07080078125,1010531,29.282200270669854,13.80342674066111,-79.03583508795418,-45.14289247981147,-33.89294260814271,,,0,1
2020-02-04,6927.658173763313,6722.180855788906,6912.87158203125,973311,53.12068281133453,28.35491198069288,-65.79423104373109,-49.2731601925954,-16.52107085113569,,,0,1
2020-02-05,6943.597642547831,6745.801705957195,6760.4921875,718489,33.02954431637708,38.477475799460485,-66.82558435011015,-52.78364502409835,-14.0419393260118,,,0,1
2020-02-06,6836.777668243026,6698.944356147665,6741.96044921875,875714,32.23477691871291,39.461668015474835,-68.35039487355425,-55.89699499398954,-12.453399879564714,,,0,1
2020-02-07,6769.229348016101,6658.809294821512,6694.095703125,645814,29.29041920236991,31.518246812486634,-72.5843954578213,-59.23447508675589,-13.349920371065409,,,0,1
2020-02-10,6710.75519810865,6578.251126854962,6618.38623046875,593773,18.97637206651438,26.8338560625324,-81.11396187724222,-63.61037244485317,-17.50358943238905,,,0,1
2020-02-11,6806.676098706571,6637.013100248343,6753.62646484375,743160,56.18897463262695,34.81858863383708,-76.08390021152172,-66.10507799818689,-9.978822213334837,,,0,1
2020-02-12,6826.840208842097,6728.854595629002,6762.79638671875,599364,58.30373585450164,44.48969418454766,-70.5444119738595,-66.99294479332141,-3.551467180538083,,,0,1
2020-02-13,6774.990899840531,6649.208047249954,6726.06982421875,723169,49.83388068599654,54.77553039104171,-68.33018643752803,-67.26039312216274,-1.0697933153652883,,,0,1
2020-02-14,6806.628034722029,6626.163081054916,6638.453125,614859,29.62777637864989,45.921797639716026,-72.80606908676964,-68.36952831508412,-4.4365407716855145,,,0,1
2020-02-17,6702.017345463677,6605.9999049842545,6631.6845703125,463548,28.066816844164972,35.84282463627047,-76.02305764359062,-69.90023418078542,-6.122823462805201,,,0,1
2020-02-18,6654.008944466154,6467.542878574892,6511.0390625,830678,9.13680257332341,22.27713193204609,-87.30127371567414,-73.38044208776317,-13.920831627910971,,,0,1
2020-02-19,6581.947402019861,6360.771144917317,6487.51416015625,1033939,21.74626853003562,19.649962649174668,-97.01922696520523,-78.10819906325159,-18.911027901953645,,,0,1
2020-02-20,6536.435039281231,6452.371958222675,6488.474609375,682513,21.911060148579853,17.598043750646294,-103.45075875333896,-83.17671100126907,-20.27404775206989,,,0,1
2020-02-24,6442.770284511521,6183.330971660764,6212.71240234375,1091346,3.864621692373351,15.840650123662945,-129.30890691173954,-92.40315018336317,-36.905756728376375,,,0,1
2020-02-25,6250.73476299532,6122.599313691425,6159.0859375,964897,4.444177597705767,10.073286479552992,-152.37242865401367,-104.39700587749327,-47.9754227765204,,,0,1
2020-02-26,6115.206826747828,5939.686664967701,5986.54345703125,1580738,5.223192729887179,4.510664006655434,-182.46977400339983,-120.0115595026746,-62.458214500725234,,,0,1
2020-02-27,6085.633593819974,5921.203716325022,6039.30517578125,1492657,13.040713402347981,7.569361243313644,-199.76197557054365,-135.9616427162484,-63.80033285429525,,,0,1
2020-02-28,6113.766766246666,5860.136783681239,6032.8720703125,1468843,17.86848811490642,12.044131415713862,-211.5466891939268,-151.0786520117841,-60.468037182142695,,,0,1
2020-03-02,6183.090672610535,6001.0898084343935,6034.83984375,1219764,18.072043143913643,16.32708155372268,-218.21196507257173,-164.50531462394164,-53.706650448630086,,,0,1
2020-03-03,6166.383579045035,6030.3749767750905,6131.72119140625,849199,28.093870431856587,21.344800563558888,-213.21887467930264,-174.24802663501384,-38.9708480442888,,,0,1
2020-03-04,6168.16017561253,5961.722685301712,6130.08935546875,904360,28.521401702410166,24.895771759393465,-207.0072394923618,-180.79986920648344,-26.20737028587837,,,0,1
2020-03-05,6206.56727495972,6078.0961287392,6112.42236328125,645853,26.65482425987461,27.756698798047122,-201.19084959740758,-184.87806528466828,-16.312784312739296,,,0,1
2020-03-06,6221.930078736149,5857.207741079006,6189.236328125,1140899,39.30217948786598,31.49280181671692,-188.2134660215488,-185.54514543204442,-2.6683205895043898,,,0,1
2020-03-09,6120.151257026361,5837.283802054446,5954.13720703125,1082030,14.307555737998657,26.754853161913086,-194.65546329555855,-187.36720900474728,-7.288254290811267,,,0,1
2020-03-11,6059.613117390879,5861.8650023809105,5901.52001953125,937029,8.626206179513463,20.7453138017927,-201.68169875758304,-190.23010695531445,-11.451591802268581,,,0,1
2020-03-12,5702.763764820709,5334.2968298761625,5418.408203125,1345964,6.996813893010166,9.97685860350743,-243.42705151086466,-200.8694958664245,-42.55755564444016,,,0,1
2020-03-13,5822.017849746096,4611.765761706955,5606.07470703125,1480205,54.30401361331991,23.309011228614512,-258.38887969244206,-212.37337263162803,-46.01550706081403,,,0,1
2020-03-16,5461.4718313774465,5184.941612067196,5261.99560546875,933412,39.67310200807095,33.657976504800345,-294.6144126694053,-228.82158063918348,-65.7928320302218,,,0,1
2020-03-17,5518.074470828579,5282.879563366034,5380.76953125,1238640,47.759334957930385,47.24548352644042,-310.1639682138839,-245.0900581541236,-65.0739100597603,,,0,1
2020-03-18,5462.239559115969,5100.973966253315,5139.47705078125,973395,32.77375380221687,40.06873025607274,-338.0604393107533,-263.68413438544957,-74.37630492530371,,,0,1
2020-03-19,4893.624484153751,4467.258800319381,4627.60791015625,2554559,9.138413092482537,29.890500617543267,-396.8969741594601,-290.3267023402517,-106.57027181920841,,,0,1
2020-03-20,5016.911710135989,4620.935844236027,4876.91845703125,1614552,23.346803572319413,21.752990155672943,-418.5829111231542,-315.97794409683223,-102.60496702632196,,,0,1
2020-03-23,4599.235205582327,3976.0820430723206,4052.27197265625,1531965,3.3924792939700894,11.959231986257349,-496.5869070861827,-352.09973669470236,-144.48717039148033,,,0,1
2020-03-24,4387.996793731124,3869.5026430495473,4307.7744140625,1746431,18.630618074093093,15.123300313460868,-531.6600777474741,-388.0118049052567,-143.6482728422174,,,0,1
2020-03-25,4953.923433215415,4138.447547666126,4806.5849609375,1728819,39.8346960111204,20.619264459727862,-513.2890985690274,-413.0672636380109,-100.22183493101647,,,0,1
2020-03-26,4916.092660926609,4560.828152226834,4683.73046875,1338787,34.61223982293866,31.02585130271739,-502.8467911983762,-431.02316915008396,-71.82362204829224,,,0,1
2020-03-27,4931.936381508222,4373.594902710008,4461.06689453125,1339426,26.28416749767216,33.577034443910414,-506.69738489183055,-446.15801229843333,-60.53937259339722,,,0,1
2020-03-30,4455.160684139319,4099.94403398842,4156.06640625,1528082,13.084443298990925,24.66028353986725,-528.2704259117936,-462.58049502110543,-65.68993089068817,,,0,1
2020-03-31,4290.107479340424,4042.334637602907,4117.51611328125,2140261,12.70225550003862,17.356955432233903,-542.2274423789386,-478.5098844926721,-63.71755788626649,,,0,1
