Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-01-28,1491.7882288199207,1459.198736848084,1463.932373046875,531070,1515.689217250323,1336.3239419293645,1426.0065795898438,,,,,0,1
2020-01-29,1509.8252795627288,1466.1494148118616,1506.6727294921875,642510,1527.0503089553981,1335.2914024703832,1431.1708557128907,,,,,0,1
2020-01-30,1501.3648041676115,1469.1171442618231,1473.822265625,472520,1531.3338814048077,1338.523271915505,1434.9285766601563,,,,,0,1
2020-01-31,1484.8799345473733,1453.8335098475684,1458.5006103515625,596490,1532.6215807951883,1344.5079113923118,1438.56474609375,,,,,0,1
2020-02-03,1566.8048422847196,1474.695709132224,1547.908203125,2037520,1547.547312264713,1347.4755515048184,1447.5114318847657,,,,,0,1
2020-02-04,1567.5550230570127,1531.390240280431,1562.5887451171875,1164160,1560.8740232235198,1354.7057985538238,1457.7899108886718,,,,,0,1
2020-02-05,1565.0861031954826,1543.63990478322,1555.8704833984375,575110,1569.8331704296843,1364.6774741015656,1467.255322265625,,,,,0,1
2020-02-06,1571.5004654387017,1534.310294599423,1546.3841552734375,740840,1576.757933702021,1373.3400277237602,1475.0489807128906,,,,,0,1
2020-02-07,1555.8846873001512,1537.8046719062297,1550.453125,414070,1582.449802678197,1383.239760310084,1482.8447814941405,,,,,0,1
2020-02-10,1554.7548551218183,1529.9612516935354,1535.677734375,612700,1582.502443888465,1397.5632665607538,1490.0328552246094,,,,,0,1
2020-02-11,1547.817825766019,1514.5778231977208,1519.0550537109375,733500,1580.9571017092735,1409.8250516110388,1495.3910766601562,,,,,0,1
2020-02-12,1564.2028469291597,1516.3298049308735,1547.5947265625,1290110,1580.9759695497323,1423.4563546690179,1502.216162109375,,,,,0,1
2020-02-13,1563.149125736956,1545.6625954790563,1558.4676513671875,1512280,1586.9408118431004,1427.5314171608059,1507.2361145019531,,,,,0,1
2020-02-14,1593.6208586171324,1543.0653007447308,1553.173583984375,1657080,1591.3457649831328,1431.8340934153046,1511.5899291992187,71.06513930711016,,,,0,1
2020-02-17,1577.7248944350015,1554.7451379450956,1575.2037353515625,1397880,1598.4262116340492,1435.8751311393885,1517.1506713867188,86.82489980124734,,,,0,1
2020-02-18,1573.4424185618243,1555.8894700044655,1557.6746826171875,900130,1599.3675999494014,1445.5984645037236,1522.4830322265625,74.28510067874505,77.39171326236752,,,0,1
2020-02-19,1598.2833700857946,1564.5067917018237,1593.87255859375,950000,1608.3117787821816,1448.3944101826623,1528.353094482422,96.94647576344465,86.01882541447901,,,0,1
2020-02-20,1589.5946400506953,1569.2167195716347,1570.5555419921875,657320,1611.2156319000612,1454.8975394866577,1533.0565856933595,77.56424235262138,82.93193959827035,,,0,1
2020-02-24,1574.0926959339847,1549.4272999471295,1551.3502197265625,665160,1612.3677937401742,1459.2695231543569,1535.8186584472655,43.93065680343935,72.81379163983513,,,0,1
2020-02-25,1570.6838080800799,1548.701154450635,1555.4573974609375,909160,1612.7181932171393,1465.703364400048,1539.2107788085937,48.83735401415931,56.77741772340668,,,0,1
2020-02-26,1571.0778964878878,1533.574291863826,1542.1300048828125,1168390,1607.5236758536569,1478.7176449471242,1543.1206604003905,32.91559843929206,41.894536418963575,,,0,1
2020-02-27,1551.6923086025504,1524.7860326118284,1544.37109375,901990,1607.08169230096,1482.9294649256024,1545.0055786132812,35.59294653688487,39.11529966344541,,,0,1
2020-02-28,1531.5803156121399,1488.9394547469085,1498.3260498046875,1406730,1603.1439076796698,1489.3176279648612,1546.2307678222655,8.584469495799043,25.697671490658653,1498.3260498046875,,1,1
