Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,92.87017277078446,89.8571386925313,90.20039367675781,10655638,-79.41175943539689,-0.11289536201236672,-0.05800012103414324,-0.05489524097822348,,,0,1
2020-01-21,91.19202730525609,89.20875820000161,89.36132049560547,5150830,-92.35295258459206,-0.33630577410444573,-0.11366125164820375,-0.222644522456242,,,0,1
2020-01-22,88.29339737648154,85.05152317475327,85.5473403930664,19388739,-95.18517557914107,-0.8117590023095715,-0.25328080178047735,-0.5584782005290942,,,0,1
2020-01-23,87.30176218976636,85.66175991047218,86.57711029052734,22793170,-85.18519762954725,-1.0928673915353926,-0.4211981197314604,-0.6716692718039322,,,0,1
2020-01-24,88.7129421267204,86.61525868349719,87.53060913085938,9898052,-75.92587921113787,-1.2245920922239009,-0.5818769142299485,-0.6427151779939524,,,0,1
2020-01-27,87.95015856019471,85.89061108030606,86.31015014648438,5597365,-87.77761712096218,-1.411198291320602,-0.7477411896480792,-0.6634571016725228,,,0,1
2020-01-28,86.76780130728531,84.59383997692395,85.47105407714844,12128081,-91.84396951982647,-1.608254136128906,-0.9198437789442446,-0.6884103571846614,,,0,1
2020-01-29,87.6450352030286,85.24223284481394,86.34828186035156,18501507,-83.68781182009415,-1.674336651365607,-1.0707423534285172,-0.6035942979370899,,,0,1
2020-01-30,87.56875788669717,85.47107428228259,86.69154357910156,18545239,-80.49628418723319,-1.6796472409941714,-1.192523330941648,-0.4871239100525233,,,0,1
2020-01-31,87.91202111351302,85.05154320309502,86.08131408691406,64518347,-86.16998498263577,-1.7133459559945408,-1.2966878559522268,-0.41665810004231396,,,0,1
2020-02-03,85.16595047374959,81.77151371344983,84.09803771972656,14889516,-82.86514895745913,-1.8784328536651174,-1.413036855494805,-0.4653959981703124,,,0,1
2020-02-04,85.66176287604529,84.09803295135498,85.43292236328125,9743806,-70.3704147482576,-1.8798812736799846,-1.506405739131841,-0.37347553454814353,,,0,1
2020-02-05,85.89059021433141,84.28872422111907,84.82267761230469,10671590,-72.50871584492481,-1.908273420223324,-1.5867792753501377,-0.3214941448731863,,,0,1
2020-02-06,85.81431933811731,84.28873143877301,85.43292236328125,11852617,-67.01035115218043,-1.8600907808819613,-1.6414415764565025,-0.21864920442545888,,,0,1
2020-02-07,88.67479518936308,85.66176146562988,88.1789779663086,18446803,-31.983917963540513,-1.5820846674142501,-1.629570194648052,0.04748552723380195,,,0,1
2020-02-10,88.40781687029344,85.47106142965605,86.57711029052734,31637511,-30.769341827537904,-1.47402847097149,-1.5984618499127399,0.12443337894124995,,,0,1
2020-02-11,89.66644376796597,87.03480077835516,89.13248443603516,20937033,-6.763319348540341,-1.1687235023679108,-1.5125141804037743,0.3437906780358635,,,0,1
2020-02-12,90.69621139293726,88.78922631663352,89.09434509277344,13679292,-17.948689778540725,-0.919248121273526,-1.3938609685777248,0.47461284730419884,,,0,1
2020-02-13,89.32317749952469,87.49247070969848,87.83573150634766,20903696,-32.05128049507094,-0.8137166629654757,-1.277832107455275,0.46411544448979924,,,0,1
2020-02-14,88.10269849051714,85.35664151967894,85.96687316894531,23827224,-52.99157902975116,-0.8708449129959348,-1.196434668563407,0.32558975556747227,85.96687316894531,,1,1
2020-02-17,86.7678217947794,83.29710659512556,84.13618469238281,22137354,-73.50418956635416,-1.0517171820846585,-1.1674911712676574,0.11577398918299897,,,0,1
2020-02-18,84.59386084474559,79.17802428339488,83.60222625732422,34458578,-61.58942434383569,-1.2240358187020348,-1.178800100754533,-0.04523571794750181,,,0,1
2020-02-19,86.76780130728531,84.21244304810071,85.47105407714844,17935374,-45.36440731597401,-1.1960138894709615,-1.1822428584978186,-0.013771030973142917,,85.47105407714844,-1,0
2020-02-20,85.73803922895773,84.63198453436806,84.93710327148438,19663654,-50.00012646679164,-1.2030239648617425,-1.1863990797706034,-0.01662488509113902,,,0,0
2020-02-24,84.47944102408316,83.03013116538199,83.67850494384766,11370193,-60.927178750861735,-1.295207520550747,-1.2081607679266322,-0.08704675262411476,,,0,0
2020-02-25,85.7761688725659,83.64034951543788,83.98360443115234,10775289,-58.27832885457968,-1.3283324837636883,-1.2321951110940434,-0.09613737266964484,,,0,0
2020-02-26,85.08968180937165,82.5724590217242,83.22083282470703,14998071,-64.9006523087054,-1.399995275584132,-1.2657551439920613,-0.1342401315920707,,,0,0
2020-02-27,84.13617832711024,81.35197913600534,83.18268585205078,22610691,-65.23184134299925,-1.4432300387825876,-1.3012501229501667,-0.14197991583242087,,,0,0
2020-02-28,84.05990477898068,80.3603546773205,81.27571105957031,25696761,-81.78804740515474,-1.6127797080529547,-1.3635560399707245,-0.24922366808223018,,,0,0
2020-03-02,83.90733744341563,78.33893908521739,79.2542953491211,15614944,-92.59257026057554,-1.8884910473968688,-1.4685430414559533,-0.4199480059409155,,,0,0
