Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,91.27957436359583,86.41853194186587,88.5069808959961,16106541,-78.3582121964795,-0.6240990644883055,-0.47211922878444446,-0.1519798357038611,,,0,1
2020-01-21,89.65923428972481,88.14691095479077,88.39896392822266,6497799,-79.47755020620644,-0.706627989807842,-0.519020980989124,-0.18760700881871806,,,0,1
2020-01-22,87.85885305688008,83.53792585736139,83.82598876953125,23639592,-97.70113939530364,-1.1280304027622492,-0.6408228653437491,-0.4872075374185001,,,0,1
2020-01-23,85.66237123559794,83.82598065027825,84.83419799804688,21105999,-86.95657498215255,-1.3649069940812524,-0.7856396910912498,-0.5792673029900026,,,0,1
2020-01-24,86.27450526370929,84.47411913962806,85.23027801513672,11172364,-79.91463773622843,-1.503343444673547,-0.9291804418077093,-0.5741630028658377,,,0,1
2020-01-27,85.33831113640433,84.11405064273319,84.43811798095703,12078165,-88.3720873807341,-1.6578651856741686,-1.0749173905810012,-0.5829477950931674,,,0,1
2020-01-28,84.76216995503823,83.24984682688176,83.97000122070312,11611352,-91.03139688702235,-1.79737882476131,-1.219409677417063,-0.577969147344247,,,0,1
2020-01-29,85.08625829305035,83.86199230300308,84.72618103027344,15562740,-81.61414323659828,-1.8258793967896452,-1.3407036212915795,-0.4851757754980657,,,0,1
2020-01-30,84.65415178653818,82.81775587164745,83.24984741210938,21142714,-94.8936326054137,-1.9451713655338807,-1.4615971701400399,-0.48357419539384083,,,0,1
2020-01-31,83.53791399532811,76.87648550863169,78.46082305908203,83360147,-89.0000154383253,-2.398496971879453,-1.6489771304879226,-0.7495198413915305,,,0,1
2020-02-03,75.5801933279055,73.13167304698814,74.49996185302734,18445537,-92.46034688987955,-3.042299443751361,-1.9276415931406103,-1.1146578506107505,,,0,1
2020-02-04,76.98451281726615,74.75203509174706,76.44439697265625,16896688,-81.74596683178711,-3.3569213771991286,-2.213497549952314,-1.1434238272468145,,,0,1
2020-02-05,77.34458237870642,75.68822508838466,76.91249084472656,11348275,-79.16663898608219,-3.527823707032084,-2.4763627813682683,-1.0514609256638159,,,0,1
2020-02-06,77.6326517808199,76.5524201075859,77.23656463623047,10750236,-77.38090196971801,-3.595666384279454,-2.7002235019505054,-0.8954428823289486,,,0,1
2020-02-07,79.03694947196908,76.73245747097889,78.67687225341797,21415595,-66.4487753214845,-3.4929468897628055,-2.858768179512966,-0.6341787102498397,,,0,1
2020-02-10,78.60486684235455,76.15634037905305,76.48040771484375,32081049,-77.26153502838741,-3.547879535144446,-2.996590450639262,-0.5512890845051839,,,0,1
2020-02-11,77.52462097572653,76.55241365068635,76.91249084472656,20946852,-71.23285350224418,-3.516018087003843,-3.100475977912178,-0.4155421090916649,,,0,1
2020-02-12,77.63264356570222,76.69644068356517,76.84046936035156,13053367,-71.780844096565,-3.456732135368,-3.1717272094033424,-0.28500492596465765,,,0,1
2020-02-13,77.92071781144558,75.07610962067751,75.86827850341797,17702073,-77.5810060363581,-3.448443755746382,-3.2270705186719506,-0.22137323707443146,,,0,1
2020-02-14,76.55241573779205,74.17590399459723,74.39195251464844,26644685,-89.45777338385346,-3.520421101235314,-3.2857406351846232,-0.23468046605069093,,,0,1
2020-02-17,74.10390566968142,71.15127305873149,71.97944641113281,36666416,-94.05687671371399,-3.7291454787366263,-3.374421603895024,-0.35472387484160217,,,0,1
2020-02-18,72.19547409040794,69.53090517458342,71.5113296508789,35575369,-86.90476636987471,-3.887521237098497,-3.4770415305357187,-0.4104797065627781,,,0,1
2020-02-19,73.59977751755547,71.151256951855,73.23970031738281,21806183,-73.52186187455968,-3.829426849460347,-3.5475185943206444,-0.28190825513970275,,,0,1
2020-02-20,74.9680730475634,73.23970136318646,74.03187561035156,28378025,-52.65148893734914,-3.6770776409091894,-3.5734304036383535,-0.10364723727083591,,,0,1
2020-02-24,73.81582210322287,69.99900178697806,70.61113739013672,20167769,-88.6363645933106,-3.788691108860206,-3.6164825446827242,-0.17220856417748198,,,0,1
2020-02-25,72.19548291367624,70.03501958458867,70.25106811523438,18255196,-92.42415753470652,-3.861685065978037,-3.665523048941787,-0.1961620170362499,,,0,1
2020-02-26,70.93521377992845,68.77475041607276,68.99079895019531,16192058,-97.89471503187794,-3.975400549068013,-3.7274985489670325,-0.2479020001009804,,,0,1
2020-02-27,69.27884878518837,66.29021251975605,67.22640991210938,29616674,-92.65539568390652,-4.159939149409553,-3.8139866690555366,-0.34595248035401616,,,0,1
2020-02-28,66.75830883928842,64.45381702064459,66.21819305419922,30416954,-87.53183646595751,-4.337541515557049,-3.918697638355839,-0.4188438772012102,,,0,1
2020-03-02,68.41467643788616,63.55363363835213,64.16576385498047,24442896,-95.73935664847897,-4.59098454178627,-4.053155019041926,-0.5378295227443441,,,0,1
2020-03-03,67.69451135545698,64.56184091819516,67.22640991210938,24098468,-74.43617487370481,-4.493078001747179,-4.1411396155829765,-0.3519383861642025,,,0,1
2020-03-04,68.34265302205948,65.3180012736376,66.83032989501953,22998427,-77.19303223124447,-4.3967635571909796,-4.192264403904577,-0.20449915328640245,,,0,1
2020-03-05,67.98258241639246,66.25421060606148,66.6863021850586,16357817,-75.90029186779398,-4.282687344647371,-4.210348992053136,-0.07233835259423493,,,0,1
2020-03-06,65.89412081443658,63.12152775881764,63.73365783691406,17823038,-94.83283891483583,-4.380044421342419,-4.244288077910993,-0.13575634343142529,,,0,1
2020-03-09,59.41274081202954,53.291428122305284,53.68751525878906,86655504,-98.1727470378857,-5.2078079842862195,-4.436992059186039,-0.7708159251001803,,,0,1
2020-03-11,55.73996261351951,51.16698237365386,51.63507843017578,63562895,-98.0332999737905,-5.960719605578433,-4.741737568464519,-1.2189820371139142,,,0,1
2020-03-12,49.25856335472781,44.649573974609375,45.00965118408203,76137223,-98.81235146698319,-7.011203310204266,-5.1956307168124685,-1.8155725933917974,,,0,1
2020-03-13,48.2503443936397,36.007719696746044,47.45817565917969,73051747,-69.71428018436575,-7.559008211140323,-5.668306215678039,-1.8907019954622841,,,0,1
2020-03-16,46.95406793510582,43.20926699341361,43.317291259765625,49829392,-79.8009854347675,-8.232384502013396,-6.181121872945111,-2.051262629068285,,,0,1
2020-03-17,45.36972999572754,42.95721370593431,43.209266662597656,46722476,-79.38143816243846,-8.674759518260537,-6.679849402008196,-1.9949101162523402,,,0,1
2020-03-18,62.50941163111657,41.408882977181115,49.078529357910156,178094829,-60.71425882055615,-8.454288680443362,-7.03473725769523,-1.4195514227481318,,,0,1
2020-03-19,46.089891514507315,41.84097854164503,43.96543502807617,61258526,-75.44442264389505,-8.593092116665169,-7.346408229489218,-1.2466838871759505,,,0,1
2020-03-20,53.579495015335795,45.18969412981613,52.10317611694336,128780492,-50.33332951080719,-7.954749740614041,-7.468076531714183,-0.486673208899858,,,0,1
2020-03-23,50.67197876931554,46.41707978868599,46.72652816772461,36058875,-66.85068633623149,-7.792877917826601,-7.533036808936666,-0.25984110888993506,,,0,1
2020-03-24,50.05308495599963,46.49444314328302,48.35112762451172,38808651,-61.82640055700185,-7.447649861621784,-7.51595941947369,0.06830955785190618,,,0,1
2020-03-25,48.73794256609079,46.417088158181706,47.61619567871094,28639475,-63.694993521169174,-7.1509255869198185,-7.442952652962916,0.29202706604309725,,,0,1
2020-03-26,50.7493404882302,46.1463156703349,50.091766357421875,46474588,-52.87473187148278,-6.639475852177291,-7.282257292805792,0.6427814406285002,,,0,1
2020-03-27,51.05878658883777,48.583208467034076,49.859676361083984,33298637,-47.73180256324282,-6.181618129768616,-7.062129460198356,0.8805113304297407,,,0,1
2020-03-30,50.788021212215014,46.49443909235138,49.008697509765625,32929981,-50.942838497951236,-5.820336254143136,-6.8137708189873125,0.9934345648441765,49.008697509765625,,1,1
2020-03-31,53.88249499929764,49.16342341821756,52.838111877441406,45891607,-36.49314080635085,-5.165471686882441,-6.484110992566338,1.318639305683897,,,0,1
2020-04-01,52.025814041891934,50.362534048209255,50.865386962890625,21883386,-43.93691050768196,-4.750903752019774,-6.1374695444570255,1.3865657924372519,,,0,1
2020-04-03,54.92688194557538,51.4456006955037,54.0372200012207,39757833,-40.15156098146252,-4.1189347429925505,-5.733762584164131,1.6148278411715804,,,0,1
2020-04-07,57.557190042703944,54.30799035591124,56.39676284790039,30982061,-28.96917363288958,-3.388637261050988,-5.264737519541503,1.8761002584905153,,,0,1
2020-04-08,59.06573104162799,54.92687606767975,57.595855712890625,30555738,-23.286411439314904,-2.682195788692418,-4.748229173371686,2.066033384679268,,,0,1
2020-04-09,60.07144339306655,58.79497241672955,59.80067825317383,19209747,-1.4852344254491734,-1.9222663893154746,-4.183036616560444,2.2607702272449695,,,0,1
2020-04-13,60.96110332771855,56.2033512469416,58.060035705566406,22311833,-18.394473098434226,-1.4438286142359473,-3.635195016095545,2.1913664018595975,,,0,1
2020-04-15,59.14309017396585,56.86091957242964,57.51849365234375,22311032,-23.2376579063488,-1.0957302520889982,-3.1273020632942354,2.031571811205237,,,0,1
2020-04-16,59.18178145510003,56.78356665501404,58.36948013305664,24473640,-17.493488631747272,-0.7426316992151314,-2.6503679904784145,1.9077362912632831,,,0,1
2020-04-17,60.187484684798335,58.13739573881949,59.02705764770508,14561017,-13.05483227125126,-0.4050681685959532,-2.201308026101922,1.7962398575059688,,,0,1
2020-04-20,58.52420109666835,57.093009020737526,57.24773025512695,15698459,-25.065314187887527,-0.2779198022071441,-1.8166303813229665,1.5387105791158224,,,0,1
2020-04-21,54.73347613099588,51.98712973808636,53.65040969848633,27607022,-50.53475708214411,-0.46210070140995185,-1.5457244453403638,1.083623743930412,,,0,1
2020-04-22,51.329552902738115,47.03597361109776,50.55593490600586,73840707,-71.92513942692332,-0.8479885608532172,-1.4061772684429346,0.5581887075897174,,,0,1
2020-04-23,53.41833038442638,51.48428519892561,52.10317611694336,38207377,-63.61109297389541,-1.0172320172555942,-1.3283882182054665,0.3111562009498723,,,0,1
2020-04-24,53.76645288560976,51.52295942648221,52.29657745361328,31588097,-62.2222273718818,-1.1228097523407072,-1.2872725250325148,0.16446277269180753,,,0,1
2020-04-27,53.766456309370234,52.33526404848918,52.95415496826172,16723889,-57.49999118428231,-1.140275472366028,-1.2578731144992175,0.11759764213318946,,,0,1
2020-04-28,53.921179474265436,51.90977358482177,53.53437042236328,20422626,-53.333312195223925,-1.0946798552795798,-1.22523446265529,0.13055460737571023,,,0,1
2020-04-29,54.88819148383972,53.147551087072245,54.54006576538086,18023637,-46.111150797206946,-0.9662554002243553,-1.1734386501691032,0.2071832499447479,,,0,1
2020-04-30,62.70175388698897,55.313698138380026,61.81209182739258,54290691,-5.679015305516135,-0.27452184900665344,-0.9936552899366133,0.7191334409299599,,,0,1
2020-05-04,60.22616658031382,57.28642140629486,59.22046661376953,28640967,-22.222239887897253,0.06382375782938965,-0.7821594803834128,0.8459832382128024,,,0,1
2020-05-05,63.35931219795477,60.45824484367329,60.69032669067383,61865481,-16.350732989328044,0.4454358062678807,-0.5366404230531541,0.9820762293210348,,,0,1
2020-05-06,62.93382753805685,59.91671594578188,61.30923080444336,38948167,-12.559204004762034,0.7887146817124986,-0.27156940210002356,1.060284083812522,,,0,1
2020-05-07,60.57430339581858,58.0987217789744,58.485530853271484,20794229,-29.85774827097863,0.8234247483438679,-0.052570572011245265,0.8759953203551132,,,0,1
2020-05-08,59.723314634826046,57.82795266101235,58.79497528076172,18523649,-27.96203051787518,0.8659205127312646,0.13112764493725673,0.7347928677940079,,,0,1
2020-05-11,60.45824790703624,57.63454102534702,59.607269287109375,15701754,-22.985756809985013,0.954145257270703,0.295731167403946,0.658414089866757,,,0,1
2020-05-12,59.839353032328084,57.63454284229832,59.02705764770508,14186736,-26.540248045445036,0.9661090687121359,0.429806747665584,0.5363023210465518,,,0,1
2020-05-13,61.1545015208807,58.98836889245968,60.49692153930664,20493531,-24.104287585048397,1.081726734912671,0.5601907451150014,0.5215359897976695,,,0,1
2020-05-14,59.839353838166176,58.17607388215287,58.911014556884766,13344652,-37.581658192809954,1.0334719080114922,0.6548469776942997,0.3786249303171926,,,0,1
2020-05-15,60.72901575903256,58.71761004809803,58.911014556884766,16835999,-38.85132660252057,0.9838879620574446,0.7206551745669287,0.2632327874905158,,,0,1
2020-05-18,59.52991273252724,56.00995378296587,56.39676284790039,13014456,-60.81074168410687,0.7332606548290812,0.7231762706193592,0.01008438420972202,,,0,1
2020-05-19,60.883731844454196,57.32509036486844,59.684627532958984,42315983,-35.98482793609154,0.7908237860955296,0.7367057737145933,0.054118012380936276,,,0,1
2020-05-20,60.72901789347331,59.027060517226346,60.34220886230469,12969847,-37.49997592861861,0.8793674988464488,0.7652381187409645,0.11412938010548435,,,0,1
2020-05-21,61.11582822923537,59.10442240467007,59.5685920715332,17999828,-51.578925837804505,0.8770050511812428,0.7875915052290202,0.08941354595222262,,,0,1
2020-05-22,59.52990544365997,58.330801030524576,58.911014556884766,12443419,-60.52633971419566,0.8127034451333444,0.7926138932098851,0.020089551923459292,,,0,1
2020-05-26,60.49693140525949,59.259143659545266,59.5685920715332,11837966,-48.603362590908915,0.8055194421887606,0.7951950030056603,0.010324439183100331,,,0,1
2020-05-27,60.49692852784787,58.7176105724625,60.303524017333984,11655865,-16.541347206773736,0.8493382909178351,0.8060236605880953,0.04331463032973981,,,0,1
2020-05-28,62.624371467543334,59.878031252357154,60.99977493286133,18645811,-24.561444592016077,0.9295316124893205,0.8307252509683404,0.0988063615209801,,,0,1
2020-05-29,64.79049768963219,59.87802531391027,64.36500549316406,40559441,-4.845852386719318,1.250219625796099,0.9146241259338922,0.3355954998622067,,,0,1
2020-06-01,66.91797255489938,64.71316192284458,64.94524383544922,25047349,-18.085123987190233,1.533510220497412,1.038401344846596,0.49510887565081596,,,0,1
2020-06-02,65.68017306355028,63.900849202877566,65.21600341796875,15367928,-15.60291719803252,1.759584696199461,1.1826380151171692,0.5769466810822919,,,0,1
2020-06-03,67.6528852631671,65.98961144417022,66.76322937011719,23936651,-7.641167471978714,2.040081758004078,1.354126763694551,0.6859549943095269,,,0,1
2020-06-04,66.56982228292367,64.98390323591462,65.68016052246094,15120972,-16.94353989852787,2.1501969637872165,1.5133408037130842,0.6368561600741323,,,0,1
2020-06-05,68.69728078598412,65.75753002401571,67.26608276367188,18202925,-11.280532313636831,2.3384782073459647,1.6783682844396606,0.6601099229063041,,,0,1
2020-06-08,72.0238296934443,69.00671851935384,70.36054992675781,32511374,-11.315798787266736,2.7061947592424644,1.8839335794002214,0.822261179842243,,,0,1
2020-06-09,71.48231014040843,69.12277268938487,69.62562561035156,16702413,-17.514051435435864,2.904825505325654,2.088111964585308,0.8167135407403459,,,0,1
2020-06-10,70.78604808947858,67.84629728333766,68.27178955078125,17382514,-27.401097558668315,2.919346142031074,2.2543588000744617,0.6649873419566124,,,0,1
2020-06-11,69.27750622673302,66.91796855829116,67.2274169921875,14275999,-35.02813599043525,2.814142036291031,2.366315447317776,0.4478265889732551,,,0,1
2020-06-12,65.13862939133537,63.08854653422429,64.90654754638672,20601082,-53.48838826676733,2.514506589834909,2.3959536758212026,0.11855291401370627,,,0,1
2020-06-15,66.45379420068537,64.21030058998535,65.061279296875,17274210,-52.32553540013826,2.263437401455704,2.369450420948103,-0.10601301949239916,,,0,1
2020-06-16,66.33773958139814,63.70743735632395,64.90654754638672,13467530,-58.59868910000207,2.028593340419306,2.301279004842344,-0.272685664423038,,,0,1
2020-06-17,65.5641259921158,64.36501572222066,65.13863372802734,15440371,-56.68785491900953,1.839994830274719,2.209022169928819,-0.36902733965409995,,,0,1
2020-06-18,64.94522647485877,63.2819525546366,64.6744613647461,18460298,-82.25109599481074,1.634235867930741,2.0940649095292034,-0.4598290415984625,,,0,1
2020-06-19,66.7632379412947,65.216001890764,66.3377456665039,21920473,-63.63630481114772,1.5870885811298905,1.992669643849341,-0.4055810627194505,,,0,1
2020-06-22,66.68587025707735,65.06127361272497,65.64148712158203,19227535,-71.42854298105317,1.4765213519203115,1.889439985463535,-0.41291863354322356,,,0,1
2020-06-23,66.917965437819,65.29336861341775,66.26039123535156,23440997,-64.50202366721469,1.4224394195705372,1.7960398722849356,-0.37360045271439835,,,0,1
2020-06-24,67.0340051262492,63.86217230579894,64.28765869140625,33080229,-86.58003181528012,1.2064884215507732,1.6781295821381033,-0.4716411605873301,,,0,1
2020-06-25,64.98392394914671,61.88945138013973,63.12723922729492,121277435,-87.78624786948991,0.9309778143235548,1.5286992285751937,-0.5977214142516389,,,0,1
2020-06-26,65.60281324194357,63.82348935951075,65.09996032714844,23684852,-66.53230254670424,0.8618805566344321,1.3953354941870415,-0.5334549375526094,,,0,1
2020-06-29,65.06128807794835,63.12724261842409,63.74613952636719,14299071,-79.13035504600911,0.6899254269679886,1.254253480743231,-0.5643280537752424,,,0,1
2020-06-30,64.63579359570998,62.39229996067284,62.93383026123047,25762293,-85.86395333039101,0.4825407495036842,1.0999109344953217,-0.6173701849916375,,,0,1
2020-07-01,62.62437691505139,60.57429386560877,62.23756790161133,35344784,-74.25157303644473,0.2590185404722405,0.9317324556907055,-0.672713915218465,,,0,1
2020-07-02,65.09996848404057,62.740430766330626,63.32064437866211,35154027,-57.48493388880884,0.16734178751465123,0.7788543220554947,-0.6115125345408434,,,0,1
2020-07-03,64.48107444009108,63.12724261842409,63.74613952636719,16786174,-50.89802728359173,0.12755087561250633,0.6485936327668971,-0.5210427571543907,,,0,1
2020-07-06,65.68016629420957,64.05556975099493,64.7905044555664,17510294,-34.730664888268834,0.17823325094594367,0.5545215564027065,-0.37628830545676284,,64.7905044555664,-1,0
2020-07-07,64.8292008694625,63.28196462820791,63.39800262451172,20123433,-56.28738429675572,0.10482774936012618,0.4645827949941905,-0.3597550456340643,,,0,0
2020-07-08,64.13294080857227,62.663065257878216,62.8951530456543,18626174,-64.0717814403452,0.006008341549460283,0.37286790430524447,-0.3668595627557842,,,0,0
2020-07-09,63.63008204976535,61.81208088593375,62.04416275024414,17348038,-77.24559465077945,-0.1393680082671125,0.2704207217907731,-0.4097887300578856,,,0,0
2020-07-10,62.00549567980492,60.11012767778304,60.76770782470703,17773167,-90.50271828439621,-0.35350408257345123,0.14563576091792824,-0.49913984349137946,,,0,0
2020-07-13,61.541308798952734,60.651646997465015,61.038455963134766,9360631,-86.59236400035681,-0.49564783251070565,0.017379042232201464,-0.5130268747429071,,,0,0
2020-07-14,61.07713928466158,59.6846304135655,59.839351654052734,9303879,-97.41939263533166,-0.6970206546104194,-0.12550089713632273,-0.5715197574740967,,,0,0
2020-07-15,60.49692163732834,58.6789206260132,58.98836898803711,14377090,-95.58009564741317,-0.9147327859705783,-0.28334727490317385,-0.6313855110674045,,,0,0
2020-07-16,59.33650093487324,58.02135263601837,58.911014556884766,10604062,-88.38381555458147,-1.0810513872595422,-0.44288809737444756,-0.6381632898850946,,,0,0
2020-07-17,62.392289775712925,59.02705282361958,62.16020202636719,24934060,-45.95965413099894,-0.939843867772133,-0.5422792514539847,-0.3975646163181483,,,0,0
2020-07-20,62.856455655167345,61.27053656697322,62.12152099609375,15570346,-46.46470663651417,-0.8215863906140939,-0.5981406792860066,-0.22344571132808733,,,0,0
2020-07-21,64.13294079413458,62.160212305194875,63.78480911254883,20976092,-24.74739909141977,-0.5868877608657854,-0.5958900956019624,0.009002334736176953,,,0,0
2020-07-22,64.59710965555315,63.204594751185134,63.90085220336914,17882873,-23.23224157487407,-0.38706188973411315,-0.5541244544283925,0.16706256469427938,,,0,0
