Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,81.81993795846375,80.84242381980249,81.1543960571289,5673692,86.22469616495042,,86.22469616495042,,,0,1
2020-01-03,81.02960725248927,79.55293531684325,80.28087615966797,7358268,85.15220317785456,,85.15220317785456,,,0,1
2020-01-06,80.67604895236381,78.20106666400487,80.32247924804688,7355290,85.03482775946004,,85.03482775946004,,,0,1
2020-01-07,80.90483510813587,79.5113577740501,79.7401351928711,14023712,85.03482775946004,,85.03482775946004,,,0,1
2020-01-08,79.42817152281758,78.55464790209128,79.26178741455078,9451757,83.89323558861935,,83.89323558861935,,,0,1
2020-01-09,80.44727168037099,79.51135486008695,80.26008605957031,7714854,83.89323558861935,,83.89323558861935,,,0,1
2020-01-10,80.5720628656397,79.44896036137399,79.92732238769531,4118638,83.89323558861935,,83.89323558861935,,,0,1
2020-01-13,81.11282744549138,79.78174326254323,81.02963256835938,27682638,83.89323558861935,,83.89323558861935,,,0,1
2020-01-14,81.67435932576286,80.80084147270718,81.21680450439453,5994314,83.89323558861935,,83.89323558861935,,,0,1
2020-01-15,81.44558273401061,80.23929105836001,80.80084228515625,7114590,83.89323558861935,,83.89323558861935,,,0,1
2020-01-16,82.23592679271732,80.73845845444427,81.71597290039062,8552344,83.89323558861935,,83.89323558861935,,,0,1
2020-01-17,82.29830210647268,80.55126079600797,82.11112213134766,4698386,83.89323558861935,,83.89323558861935,,,0,1
2020-01-20,87.76822812866502,84.54451441729302,85.12686157226562,49337827,80.34159866498855,80.34159866498855,,85.12686157226562,,1,1
2020-01-21,84.98126513484385,82.77666338978644,83.44219970703125,17283910,80.34159866498855,80.34159866498855,,,,0,1
2020-01-22,84.17012968029712,80.3016761024718,83.21341705322266,56787054,80.34159866498855,80.34159866498855,,,,0,1
2020-01-23,86.27075444777049,80.65525350458101,84.00375366210938,226059260,80.34159866498855,80.34159866498855,,,,0,1
2020-01-24,82.42309281096229,80.80083818182524,81.92393493652344,16151679,80.34159866498855,80.34159866498855,,,,0,1
2020-01-27,81.71594502788528,79.98969982253807,80.28087615966797,8213919,88.5965130788579,,88.5965130788579,,80.28087615966797,-1,0
2020-01-28,80.28088578765238,78.65862548888579,79.22017669677734,9174575,86.90624561864038,,86.90624561864038,,,0,0
2020-01-29,80.61365816787847,78.7210229342064,80.03131103515625,17600091,86.90624561864038,,86.90624561864038,,,0,0
2020-01-30,81.2167975191348,79.61533885650412,80.86322784423828,26386034,86.90624561864038,,86.90624561864038,,,0,0
2020-01-31,81.32080233570574,76.99478191638661,77.72271728515625,63986362,86.76778238293468,,86.76778238293468,,,0,0
2020-02-03,78.61702477976895,73.81265433431213,77.9306869506836,16329297,84.51318059086813,,84.51318059086813,,,0,0
2020-02-04,81.23760490289482,78.20107121812161,80.84243774414062,14207381,84.51318059086813,,84.51318059086813,,,0,0
2020-02-05,81.4039696583087,78.20105264088502,78.76260375976562,14550344,84.51318059086813,,84.51318059086813,,,0,0
2020-02-06,80.59285036390442,78.47143802643848,80.2392807006836,9175642,84.51318059086813,,84.51318059086813,,,0,0
2020-02-07,80.19769679382381,78.42985382155568,79.19938659667969,18058457,84.51318059086813,,84.51318059086813,,,0,0
2020-02-10,79.490531240684,76.84916559773475,77.61869812011719,30471811,84.51318059086813,,84.51318059086813,,,0,0
2020-02-11,79.5321362289357,78.2426499392433,78.82499694824219,32456571,84.51318059086813,,84.51318059086813,,,0,0
2020-02-12,79.82331268250869,78.42983565176309,78.76260375976562,16386952,84.51318059086813,,84.51318059086813,,,0,0
2020-02-13,79.51136639788122,78.07629147512657,79.26178741455078,18581113,84.51318059086813,,84.51318059086813,,,0,0
2020-02-14,79.61534514044634,76.28763526864397,76.57881164550781,23830630,84.51318059086813,,84.51318059086813,,,0,0
2020-02-17,77.28594760030953,75.10214179691619,76.3708267211914,17670292,83.55553491784316,,83.55553491784316,,,0,0
2020-02-18,77.51472963142149,75.22693293876742,76.95317840576172,30879880,83.55553491784316,,83.55553491784316,,,0,0
2020-02-19,78.18026574761649,76.12124662203419,77.99308013916016,22313738,83.55553491784316,,83.55553491784316,,,0,0
2020-02-20,79.32416454653203,77.32754437145506,78.72101593017578,25907657,83.55553491784316,,83.55553491784316,,,0,0
2020-02-24,78.70021481800724,76.97396958333411,77.41072845458984,14921452,83.55553491784316,,83.55553491784316,,,0,0
2020-02-25,78.07628189902482,77.09876762529191,77.4315414428711,17807428,83.55553491784316,,83.55553491784316,,,0,0
2020-02-26,78.36746428574227,76.51642635666433,77.30675506591797,17113656,83.55553491784316,,83.55553491784316,,,0,0
2020-02-27,78.07628161868116,75.4141192969056,77.55632781982422,28472046,83.34356542031276,,83.34356542031276,,,0,0
2020-02-28,77.07798530012286,74.51980763668841,75.49732208251953,28010970,82.62979812186447,,82.62979812186447,,,0,0
2020-03-02,77.86828891308073,75.60128841898329,76.3292236328125,19540018,82.62979812186447,,82.62979812186447,,,0,0
2020-03-03,80.98802433231629,75.72609292269439,79.7401351928711,16039306,82.62979812186447,,82.62979812186447,,,0,0
2020-03-04,82.36070517293528,78.42985215547449,81.96553802490234,16939245,82.62979812186447,,82.62979812186447,,,0,0
2020-03-05,83.00544071335732,80.92562561932918,81.50797271728516,9715265,82.62979812186447,,82.62979812186447,,,0,0
2020-03-06,80.1144959275551,78.26346386855067,79.2825698852539,14371982,82.62979812186447,,82.62979812186447,,,0,0
2020-03-09,78.45063204542606,74.02062766473502,75.26851654052734,69609292,82.62979812186447,,82.62979812186447,,,0,0
2020-03-11,76.49561123174276,73.729458419714,75.45570373535156,42604599,82.62979812186447,,82.62979812186447,,,0,0
2020-03-12,73.99983787399562,68.52992522884436,69.09147644042969,58418097,81.09757828876073,,81.09757828876073,,,0,0
2020-03-13,71.79523849861967,62.18649118095548,69.8402099609375,44617540,78.56372355953464,,78.56372355953464,,,0,0
2020-03-16,70.25423727887522,66.84718906196079,68.11943817138672,39669086,78.56372355953464,,78.56372355953464,,,0,0
2020-03-17,73.46721963695425,67.17064591988158,69.86609649658203,35460792,78.56372355953464,,78.56372355953464,,,0,0
2020-03-18,71.11678021547144,52.679893504683776,62.167884826660156,119909061,77.97671684790731,,77.97671684790731,,,0,0
2020-03-19,65.51023486272196,60.42122162219445,63.461692810058594,44039786,77.97671684790731,,77.97671684790731,,,0,0
2020-03-20,69.80139550152256,63.93609483053851,67.81754302978516,131485883,77.97671684790731,,77.97671684790731,,,0,0
2020-03-23,67.21376078516457,61.046567595934384,65.98463439941406,39665620,77.97671684790731,,77.97671684790731,,,0,0
2020-03-24,67.79597011536859,62.70696302957414,63.5263786315918,42302851,77.97671684790731,,77.97671684790731,,,0,0
2020-03-25,67.68815636255886,63.97921588724735,64.79863739013672,23309603,77.97671684790731,,77.97671684790731,,,0,0
2020-03-26,69.73669527809078,63.504818491515884,68.29193878173828,25329120,77.97671684790731,,77.97671684790731,,,0,0
2020-03-27,71.69899806376765,67.55878508667018,69.00354766845703,28883749,77.97671684790731,,77.97671684790731,,,0,0
2020-03-30,68.96041625899119,66.00620158577225,67.12751007080078,22364337,77.97671684790731,,77.97671684790731,,,0,0
2020-03-31,69.77983325288912,67.45096534096868,68.61540222167969,24838523,77.97671684790731,,77.97671684790731,,,0,0
2020-04-01,69.84451175709012,66.04932064260856,66.67466735839844,14182117,77.97671684790731,,77.97671684790731,,,0,0
2020-04-03,69.1976141510596,65.44555084258272,67.36470794677734,21066826,77.97671684790731,,77.97671684790731,,,0,0
2020-04-07,69.82295078333799,67.4509548647089,68.1409912109375,24741992,77.97671684790731,,77.97671684790731,,,0,0
2020-04-08,70.1679672709126,66.95499443409048,68.29193878173828,21481260,77.97671684790731,,77.97671684790731,,,0,0
2020-04-09,71.89304548907616,68.291923960649,70.92268371582031,15607786,77.97671684790731,,77.97671684790731,,,0,0
2020-04-13,71.11677838631671,67.81754832905513,68.98197937011719,14901247,77.97671684790731,,77.97671684790731,,,0,0
2020-04-15,70.68549788975103,68.33506312630357,68.80946350097656,25249654,77.97671684790731,,77.97671684790731,,,0,0
2020-04-16,71.8930572726166,67.92535280962687,70.46985626220703,31150756,77.97671684790731,,77.97671684790731,,,0,0
2020-04-17,74.71788980449807,70.83644189509569,72.34589385986328,18536308,77.97671684790731,,77.97671684790731,,,0,0
2020-04-20,72.9712584087221,69.93078662733684,71.37554931640625,24177042,77.97671684790731,,77.97671684790731,,,0,0
2020-04-21,71.59117825607458,69.93077968422159,70.14641571044922,13915863,77.97671684790731,,77.97671684790731,,,0,0
2020-04-22,70.18953464963157,67.53721305349826,69.95233154296875,19702407,77.97671684790731,,77.97671684790731,,,0,0
2020-04-23,69.82295078333799,67.96848358675551,68.1409912109375,32128585,77.97671684790731,,77.97671684790731,,,0,0
2020-04-24,69.04666600152404,67.17063162936542,68.63695526123047,33134279,77.97671684790731,,77.97671684790731,,,0,0
2020-04-27,69.65044745180802,67.99004903653491,68.8310317993164,9762001,77.97671684790731,,77.97671684790731,,,0,0
2020-04-28,69.17604751791532,67.62346709551183,67.79597473144531,26134701,77.55800441119119,,77.55800441119119,,,0,0
2020-04-29,69.26229894232922,67.27844665767154,68.16255187988281,14509262,77.13696022484896,,77.13696022484896,,,0,0
2020-04-30,70.49142152904578,67.79597156383304,69.88764190673828,18702868,77.13696022484896,,77.13696022484896,,,0,0
2020-05-04,69.65044502581635,67.96848540833865,68.59382629394531,12598146,77.13696022484896,,77.13696022484896,,,0,0
2020-05-05,71.5264910114618,69.08979915395403,70.57769012451172,18305545,77.13696022484896,,77.13696022484896,,,0,0
2020-05-06,71.87148740261175,70.16796084712102,71.3323974609375,12853774,77.13696022484896,,77.13696022484896,,,0,0
2020-05-07,71.15991218128786,69.43482382655377,69.7582778930664,8561359,77.13696022484896,,77.13696022484896,,,0,0
2020-05-08,70.12485379876782,68.1841295806766,68.57227325439453,30898767,76.95774452472104,,76.95774452472104,,,0,0
2020-05-11,70.03858803497857,68.29193880329906,68.48600769042969,9453421,76.7354301222118,,76.7354301222118,,,0,0
2020-05-12,71.15990739495993,68.0116178496279,70.42674255371094,19986028,76.7354301222118,,76.7354301222118,,,0,0
2020-05-13,74.13567620019255,69.88764565715297,71.87149810791016,27175817,76.7354301222118,,76.7354301222118,,,0,0
2020-05-14,70.72862933218305,69.00354123989818,69.34855651855469,26454121,76.7354301222118,,76.7354301222118,,,0,0
2020-05-15,69.75826486010479,68.24881283172391,68.91728210449219,20009870,76.7354301222118,,76.7354301222118,,,0,0
2020-05-18,69.08979307579361,66.1140172459733,66.63154602050781,32898286,75.5915800435994,,75.5915800435994,,,0,0
2020-05-19,68.7016418567191,66.41590269473346,68.16255187988281,12276533,75.44548192569071,,75.44548192569071,,,0,0
2020-05-20,69.28386856255375,67.17063676823767,68.33506774902344,24677051,75.44548192569071,,75.44548192569071,,,0,0
2020-05-21,68.93883971939309,67.70971349567492,68.52912902832031,17176100,75.44548192569071,,75.44548192569071,,,0,0
2020-05-22,68.14100948167732,66.45904945829064,67.21377563476562,25080927,74.57098563247433,,74.57098563247433,,,0,0
2020-05-26,68.44288455246266,67.06281757921626,67.86067199707031,18512685,74.57098563247433,,74.57098563247433,,,0,0
2020-05-27,68.09786041045754,67.17062684528169,67.77440643310547,22655078,74.23828699633776,,74.23828699633776,,,0,0
2020-05-28,68.29194342403775,67.30001426341846,67.81754302978516,25797051,74.07015443715859,,74.07015443715859,,,0,0
2020-05-29,68.42132269653793,67.53721739088132,67.9469223022461,63844851,73.92416177183334,,73.92416177183334,,,0,0
2020-06-01,69.4563786151013,68.01161608282018,68.50758361816406,45314328,73.92416177183334,,73.92416177183334,,,0,0
2020-06-02,72.60466638539265,68.39976401085664,71.18146514892578,43626060,73.92416177183334,,73.92416177183334,,,0,0
2020-06-03,72.23806724137704,70.66392583588004,70.96581268310547,13811685,73.92416177183334,,73.92416177183334,,,0,0
2020-06-04,73.29469056780073,71.20302036115119,72.9927978515625,23992166,73.92416177183334,,73.92416177183334,,,0,0
2020-06-05,75.17073874579376,70.96583044388844,73.94161224365234,22851633,66.15514974325203,66.15514974325203,,73.94161224365234,,1,1
2020-06-08,75.42948361066122,73.68283447939311,74.32974243164062,11723588,67.79513837496398,67.79513837496398,,,,0,1
2020-06-09,75.06292489239614,73.31626949801554,73.553466796875,8412588,67.79513837496398,67.79513837496398,,,,0,1
2020-06-10,73.85535840572423,72.71248860761506,73.33782958984375,10101681,67.79513837496398,67.79513837496398,,,,0,1
2020-06-11,76.89582507811257,72.3890299620471,73.7475357055664,22109491,67.79513837496398,67.79513837496398,,,,0,1
2020-06-12,73.05750271084307,71.41867123681547,71.7205581665039,20331770,67.79513837496398,67.79513837496398,,,,0,1
2020-06-15,71.5911878167975,70.12486381252816,70.40518951416016,13833335,67.79513837496398,67.79513837496398,,,,0,1
2020-06-16,71.69898786649065,69.62887874760912,70.16796875,13972830,67.79513837496398,67.79513837496398,,,,0,1
2020-06-17,69.77982611073942,68.29194119267717,68.78790283203125,28371013,67.79513837496398,67.79513837496398,,,,0,1
2020-06-18,71.72054991472426,68.78790260929946,71.35397338867188,19720997,67.79513837496398,67.79513837496398,,,,0,1
2020-06-19,74.30819346044477,71.18146532472028,73.9200439453125,21577413,67.79513837496398,67.79513837496398,,,,0,1
2020-06-22,77.52116153293244,73.59658506256878,77.02519989013672,33039735,68.06870734544181,68.06870734544181,,,,0,1
2020-06-23,81.51040328169047,77.2192515636373,80.84193420410156,34298071,71.332340573272,71.332340573272,,,,0,1
2020-06-24,81.2516765312145,76.3351704765844,76.9820785522461,32910525,71.332340573272,71.332340573272,,,,0,1
2020-06-25,79.05219032120921,75.19230301193838,77.34866333007812,40909792,71.332340573272,71.332340573272,,,,0,1
