Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,994.179759592509,971.3820183456219,976.2389526367188,570304,1581596,0.7806081972660195,0.050699462099563594,0.7299087351664559,71.53634298475545,,,0,0
2020-01-08,983.5737571930492,966.6241578361266,979.0637817382812,368547,1950143,1.5111435376059035,0.3427882772008316,1.1683552604050718,75.35104885733236,,,0,0
2020-01-09,989.2237091295997,971.1341974145545,979.8072509765625,614382,2564525,2.1255873641441667,0.6993480945894988,1.426239269554668,76.25310326439589,,,0,0
2020-01-10,988.2325054357701,974.6529694399275,980.3028564453125,351231,2915756,2.6223014837066785,1.0839387724129348,1.5383627112937437,76.8610093194865,,,0,0
2020-01-13,989.1741918755862,971.3820293405317,981.1453857421875,332236,3247992,3.0487915043829616,1.4769093188069402,1.5718821855760214,77.89690563439478,,,0,0
2020-01-14,985.2589548455384,975.3468929255631,979.1134643554688,369532,2878460,3.1861014497970928,1.8187477450049707,1.367353704792122,69.78303123161614,,,0,0
2020-01-15,993.1884947066992,972.3731669733253,989.3723754882812,533340,3411800,4.075746295689896,2.270147455141956,1.8055988405479404,80.70870946387221,,,0,0
2020-01-16,994.1797093117585,983.2764423103336,991.1069946289062,465355,3877155,4.86468841356816,2.789055646827197,2.0756327667409633,81.90037566388911,,,0,0
2020-01-17,1000.9199302460287,976.585832042101,987.5881958007812,372188,3504967,5.146665512071763,3.26057761987611,1.8860878921956532,72.16219035941569,,,0,0
2020-01-20,992.1972931110306,966.9215378919184,972.8687744140625,341082,3163885,4.134737424356899,3.4354095807722684,0.6993278435846308,46.991601724236254,,,0,0
2020-01-21,978.3204267585654,961.6681762751248,964.1957397460938,355550,2808335,2.6029307448065993,3.2689138135791347,-0.6659830687725354,38.475626448002906,,,0,0
2020-01-22,983.8711882403385,963.4523659997938,973.0670776367188,1299987,4108322,2.080819351877608,3.0312949212388296,-0.9504755693612217,48.71369977756954,,,0,0
2020-01-23,995.170983183219,971.5802887094368,977.2797241210938,1151390,5259712,1.9840962495972008,2.8218551869105037,-0.837758937313303,52.735808849234644,,,0,0
2020-01-24,1011.0302493974167,968.4083859424276,991.0078735351562,1388247,6647959,2.980828287968052,2.8536498071220135,0.12717848084603833,62.936702022504036,,,0,0
2020-01-27,1005.7768566852262,978.6673331491439,983.4251708984375,740311,5907648,3.12288618988282,2.907497083674175,0.21538910620864504,55.7760811825096,,,0,0
2020-01-28,998.1445856992682,967.1693937398818,979.1629638671875,578382,5329266,2.8585915499741077,2.8977159769341614,-0.03912442696005369,52.182195615023176,,,0,0
2020-01-29,1003.2493441521666,979.311691066901,998.9375610351562,538017,5867283,4.196407300766964,3.157454241700722,1.038953059066242,63.82753479076953,,,0,0
2020-01-30,1008.0565489117675,980.6001293343498,989.471435546875,561770,5305513,4.441598721260107,3.4142831376125993,1.0273155836475074,56.707934156462464,,,0,0
2020-01-31,997.1533481170092,974.5043126697831,985.3579711914062,445170,4860343,4.254944145184368,3.582415339126953,0.6725288060574148,53.89465134294439,,,0,0
2020-02-03,913.7433152612225,849.116726210448,904.624267578125,4046967,813376,-2.380080031947955,2.3899162649119714,-4.769996296859926,26.30830278802982,,,0,0
2020-02-04,914.7841739125316,888.1207044565977,903.58349609375,2004591,-1191215,-7.634361884215991,0.3850606350863788,-8.01942251930237,26.122671433960974,,,0,0
2020-02-05,907.7465567632628,890.5987029082308,902.542724609375,1337410,-2528625,-11.746987705866673,-2.0413490331042317,-9.70563867276244,25.92566829569455,,,0,0
2020-02-06,916.8656349700713,904.0295039808065,911.4140014648438,1185756,-1342869,-14.127581432867487,-4.458595513056883,-9.668985919810604,30.72155711013221,,,0,0
2020-02-07,947.0478359576193,907.4986902218756,938.969482421875,1642253,299384,-13.633562864197529,-6.293588983285012,-7.339973880912517,43.054514012436435,,,0,0
2020-02-10,947.8408769159565,929.7513647552075,944.4212036132812,734151,1033535,-12.656247903512735,-7.566120767330557,-5.090127136182178,45.13550780567199,,,0,0
2020-02-11,952.0039409322048,927.5706855956386,931.4859619140625,584552,448983,-12.77818568634973,-8.608533751134392,-4.169651935215338,41.28085100239041,,,0,0
2020-02-12,940.4563561863994,916.865662589194,924.6466064453125,925589,-476606,-13.273690246633919,-9.541565050234297,-3.732125196399622,39.36650870170431,,,0,0
2020-02-13,928.7600980431703,907.9447703388943,919.3931884765625,551572,-1028178,-13.929715022179835,-10.419195044623406,-3.510519977556429,37.912184518280874,,,0,0
2020-02-14,924.2006205513987,899.0239606298708,906.210205078125,402685,-1430863,-15.336585359338414,-11.402673107566407,-3.933912251772007,34.470735725169746,,,0,0
2020-02-17,911.3644654499091,896.0503190261609,906.35888671875,355839,-1075024,-16.252197653765165,-12.372578016806159,-3.8796196369590064,34.542904205098665,,,0,0
2020-02-18,913.3468607986564,899.1230171537588,907.9943237304688,901858,-173166,-16.653885272067555,-13.228839467858439,-3.425045804209116,35.38585270880316,,,0,0
2020-02-19,934.1622109305179,910.0263058410466,929.9495849609375,786366,613200,-15.027393076887392,-13.58855018966423,-1.4388428872231618,45.527550924028624,,,0,0
2020-02-20,936.6898024136735,913.594711448555,920.5827026367188,784552,-171352,-14.32903917117801,-13.736647985966988,-0.5923911852110226,42.465184069641055,,,0,0
2020-02-24,933.220608601629,901.9976142617976,908.53955078125,493211,-664563,-14.57930917459214,-13.905180223692017,-0.6741289509001227,38.84715595379413,,,0,0
2020-02-25,926.4803682478076,883.9080534878456,893.2749633789062,760359,-1424922,-15.82693157204551,-14.289530493362715,-1.5374010786827945,34.80001818731024,,,0,0
2020-02-26,906.755393498746,873.7482400907485,883.5115966796875,807168,-2232090,-17.402893681987507,-14.912203131087676,-2.4906905508998314,32.46994517850278,,,0,0
2020-02-27,905.8632267643598,867.3052874979421,897.3883666992188,821122,-1410968,-17.332319451102194,-15.39622639509058,-1.9360930560116145,38.74745851832008,,,0,0
2020-02-28,887.1294702047132,867.3053479655017,882.5699462890625,1002851,-2413819,-18.261603155337184,-15.969301747139902,-2.2923014081972823,35.00529711875723,,,0,0
2020-03-02,901.0063121196438,870.2789241375657,886.2869262695312,629219,-1784600,-18.48505377240315,-16.472452152192552,-2.012601620210596,36.657811881445525,,,0,0
2020-03-03,905.9624818101868,884.2054932600271,891.9368896484375,615494,-1169106,-17.998756706859353,-16.777713063125915,-1.221043643733438,39.188805295830235,,,0,0
2020-03-04,903.9799976250697,869.2877828039321,877.3165283203125,769392,-1938498,-18.57893732604896,-17.137957915710526,-1.4409794103384321,35.26230359406935,,,0,0
2020-03-05,893.522807003275,868.8417493654463,876.6723022460938,1014502,-2953000,-18.87316026351641,-17.4849983852717,-1.3881618782447092,35.09544086422014,,,0,0
2020-03-06,873.7481446263369,840.8400912315946,846.4404296875,1436479,-4389479,-21.30025740992687,-18.248050190202736,-3.052207219724135,28.3223187778965,,,0,0
2020-03-09,854.3205369006035,795.9384751120698,818.0423583984375,1424660,-5814139,-25.224464480345546,-19.643333048231298,-5.581131432114248,23.6961232725057,,,0,0
2020-03-11,840.4436710919617,777.2542826152512,801.836181640625,1305970,-7120109,-29.304327829811314,-21.575532004547302,-7.728795825264012,21.534380716049796,,,0,0
2020-03-12,768.8785448005851,693.8442347436268,745.089599609375,2111588,-9231697,-36.693642378696836,-24.599154079377207,-12.094488299319629,16.02249091713567,,,0,0
2020-03-13,788.0088617326038,619.6029185289975,755.24951171875,2077130,-7154567,-41.25435289825873,-27.930193843153514,-13.324159055105216,19.972016568971966,,,0,0
2020-03-16,766.0536217366483,655.7819414489057,725.1168212890625,1588572,-8743139,-46.7611714547196,-31.696389365466736,-15.064782089252866,17.363717930142215,,,0,0
2020-03-17,761.7419185721718,669.0641444843409,680.9586181640625,1398542,-10141681,-54.065331297192074,-36.170177751811806,-17.895153545380268,14.396494106610817,,,0,0
