Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,1043.7372808677796,1026.8326363820022,1040.6881103515625,633676,1113.293568617794,,1113.293568617794,,,0,1
2020-01-03,1046.5622628076294,1032.2134422277543,1040.1949462890625,470752,1104.6157376204242,,1104.6157376204242,,,0,1
2020-01-06,1033.1102559345345,997.4178019030635,1001.8120727539062,1121855,1098.589484041259,,1098.589484041259,,,0,1
2020-01-07,1032.213347911921,998.0454263716359,1008.22412109375,451985,1098.589484041259,,1098.589484041259,,,0,1
2020-01-08,1016.9231581262683,983.1138648558284,1013.6498413085938,497654,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-09,1035.0383171381125,1006.295960195036,1028.7159423828125,885971,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-10,1035.307309488076,1010.1521879583142,1014.1428833007812,647631,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-13,1050.9562652031059,1009.0758222567025,1047.5484619140625,920774,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-14,1088.1735916728687,996.8795876119956,1015.5330200195312,2242890,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-15,1011.5870117140626,968.6304405364434,985.4453125,1912179,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-16,997.6867380850293,980.3786304381105,985.7145385742188,708060,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-17,997.1933940319797,972.7108228791677,975.4909057617188,848065,1090.7617986348594,,1090.7617986348594,,,0,1
2020-01-20,998.8524468821155,957.1961483401509,962.621826171875,1245382,1088.4845055514277,,1088.4845055514277,,,0,1
2020-01-21,989.8846523019619,953.1607919049495,976.970703125,1139490,1081.948432908445,,1081.948432908445,,,0,1
2020-01-22,983.0689830472179,961.0526872186108,964.1017456054688,478702,1077.33009539772,,1077.33009539772,,,0,1
2020-01-23,976.5669995438285,964.5051433994195,972.1727294921875,466608,1068.1131581614889,,1068.1131581614889,,,0,1
2020-01-24,989.1672443374081,969.4825146623309,972.0384521484375,443813,1068.1131581614889,,1068.1131581614889,,,0,1
2020-01-27,982.889571120793,960.7835067188951,968.585693359375,591440,1062.210414970291,,1062.210414970291,,,0,1
2020-01-28,986.3869565907427,947.7349968647935,968.4061889648438,1109855,1060.1665368584645,,1060.1665368584645,,,0,1
2020-01-29,1005.3095840671725,972.8456159168072,992.9786376953125,1346306,1060.1665368584645,,1060.1665368584645,,,0,1
2020-01-30,993.9648492012254,923.7456829789705,935.942138671875,1806575,1060.1665368584645,,1060.1665368584645,,,0,1
2020-01-31,946.0760277001239,911.7286780040222,915.2261962890625,2035469,1035.4501299802619,,1035.4501299802619,,,0,1
2020-02-03,901.281062632239,865.9024150841152,885.9906616210938,1292619,994.3308193369226,,994.3308193369226,,,0,1
2020-02-04,999.8837900722572,924.5976894057516,941.1884155273438,6305777,994.3308193369226,,994.3308193369226,,,0,1
2020-02-05,1022.3485584188085,946.120871204844,1016.0261840820312,4669702,839.488914177158,839.488914177158,,1016.0261840820312,,1,1
2020-02-06,1107.0959973652264,1013.7394018288363,1092.971435546875,6308248,902.3538483578046,902.3538483578046,,,,0,1
2020-02-07,1102.163504988745,1070.3271528463877,1096.872314453125,1544816,934.2920013879036,934.2920013879036,,,,0,1
2020-02-10,1100.2802997062176,1074.8560905032282,1082.3443603515625,966554,942.9578270255784,942.9578270255784,,,,0,1
2020-02-11,1131.578540773642,1080.819777948516,1093.0162353515625,2326368,960.8495230339373,960.8495230339373,,,,0,1
2020-02-12,1117.498648974658,1089.832421704508,1092.881591796875,1788169,964.2957077769704,964.2957077769704,,,,0,1
2020-02-13,1149.693771304535,1087.8596189941602,1132.1165771484375,2482046,975.0044845855691,975.0044845855691,,,,0,1
2020-02-14,1161.8005907336515,1129.1123682994864,1153.6397705078125,1727132,1006.0264608933498,1006.0264608933498,,,,0,1
2020-02-17,1165.8362941669754,1139.4256156076706,1147.182861328125,1061331,1018.8964155398855,1018.8964155398855,,,,0,1
2020-02-18,1149.4697395561673,1116.8263436382535,1142.51953125,1054059,1018.8964155398855,1018.8964155398855,,,,0,1
2020-02-19,1169.468219447269,1134.9415501077858,1157.8099365234375,1299630,1024.3612703993642,1024.3612703993642,,,,0,1
2020-02-20,1219.1058835962651,1145.2098721343746,1202.8739013671875,3406541,1045.5244589341908,1045.5244589341908,,,,0,1
2020-02-24,1225.9214534042044,1178.6154417281377,1197.7171630859375,2330174,1065.1414122226627,1065.1414122226627,,,,0,1
2020-02-25,1209.106588076645,1174.8041787701159,1186.372802734375,1936052,1065.1414122226627,1065.1414122226627,,,,0,1
2020-02-26,1181.9786831307088,1137.1836567266544,1145.1651611328125,1863081,1065.1414122226627,1065.1414122226627,,,,0,1
2020-02-27,1145.165189287411,1112.970195779417,1127.991455078125,2329524,1065.1414122226627,1065.1414122226627,,,,0,1
2020-02-28,1131.7130097895044,1046.472521602098,1072.8382568359375,13652628,1065.1414122226627,1065.1414122226627,,,,0,1
2020-03-02,1217.9847900522423,1098.5762789304943,1151.1285400390625,2682798,1065.1414122226627,1065.1414122226627,,,,0,1
2020-03-03,1170.095826448492,1121.8928963446458,1127.3634033203125,1700316,1065.1414122226627,1065.1414122226627,,,,0,1
2020-03-04,1138.8427101819775,1010.4213686378527,1045.0826416015625,5331403,1218.481550836258,,1218.481550836258,,1045.0826416015625,-1,0
2020-03-05,1075.2598214041657,1011.004212159321,1053.4227294921875,3690286,1218.481550836258,,1218.481550836258,,,0,0
2020-03-06,1012.4838822231192,895.5863593170999,991.2297973632812,3521138,1168.5445237574665,,1168.5445237574665,,,0,0
2020-03-09,949.035471791731,876.2155860814463,885.7216186523438,3637794,1139.125178102264,,1139.125178102264,,,0,0
2020-03-11,910.6525547734608,853.1230162829437,886.1699829101562,2869042,1103.4400728395558,,1103.4400728395558,,,0,0
2020-03-12,859.1316627605065,744.8797179970137,754.5651245117188,3165431,1042.108593647786,,1042.108593647786,,,0,0
2020-03-13,787.7913749247184,642.8689841678654,740.7543334960938,2820797,973.267950208596,,973.267950208596,,,0,0
2020-03-16,765.1024394135894,671.5664726693493,684.839111328125,3162686,973.267950208596,,973.267950208596,,,0,0
2020-03-17,743.7584725993893,684.2560106130384,696.7214965820312,3531287,966.5631883471058,,966.5631883471058,,,0,0
2020-03-18,716.9893214326909,607.221364753143,616.36865234375,3495463,921.6792060073835,,921.6792060073835,,,0,0
2020-03-19,655.7380413509602,525.5230934933243,558.3907470703125,3743987,862.1833346519404,,862.1833346519404,,,0,0
2020-03-20,596.1459197775254,510.99502528957834,520.949462890625,4353217,823.6525238469676,,823.6525238469676,,,0,0
2020-03-23,493.2383117498252,394.5906774883144,405.3970642089844,2266984,723.9486232546133,,723.9486232546133,,,0,0
2020-03-24,465.03406529853214,395.5323049277984,434.8568420410156,3664801,703.7887469372557,,703.7887469372557,,,0,0
2020-03-25,520.1421932339288,406.60774018995573,508.4838562011719,2691546,703.7887469372557,,703.7887469372557,,,0,0
2020-03-26,610.1806211054846,498.6190740545419,584.1735229492188,3814478,703.7887469372557,,703.7887469372557,,,0,0
2020-03-27,730.2170509081254,610.0013712324129,650.3572387695312,4030594,703.7887469372557,,703.7887469372557,,,0,0
2020-03-30,624.036247291824,520.3216425425373,546.5081176757812,3741133,703.7887469372557,,703.7887469372557,,,0,0
2020-03-31,601.1229802600367,542.5620973123664,592.4688720703125,3874378,703.7887469372557,,703.7887469372557,,,0,0
2020-04-01,599.8675238693935,544.4006310623935,557.493896484375,2913245,703.7887469372557,,703.7887469372557,,,0,0
2020-04-03,569.1970650962808,461.8504841688553,466.9173889160156,5358139,703.7887469372557,,703.7887469372557,,,0,0
2020-04-07,506.1522399312678,448.488212227429,482.7010192871094,6952077,703.7887469372557,,703.7887469372557,,,0,0
2020-04-08,546.1494934497883,460.23630313042366,533.9978637695312,5350701,703.7887469372557,,703.7887469372557,,,0,0
2020-04-09,610.4496627944328,545.297372596671,606.1898803710938,3496454,703.7887469372557,,703.7887469372557,,,0,0
2020-04-13,624.9331359940862,556.1935948096242,578.5238647460938,3169718,703.7887469372557,,703.7887469372557,,,0,0
2020-04-15,634.0354270149567,574.4433020131821,594.3521728515625,3399440,703.7887469372557,,703.7887469372557,,,0,0
2020-04-16,627.668202437085,576.5508103365124,610.9429321289062,4530154,703.7887469372557,,703.7887469372557,,,0,0
2020-04-17,733.1315300573705,632.2419019115706,719.2760009765625,4576910,424.34756314328513,424.34756314328513,,719.2760009765625,,1,1
2020-04-20,738.0639643755609,611.6155761968159,614.350830078125,7797780,424.34756314328513,424.34756314328513,,,,0,1
2020-04-21,605.0690884502312,518.6178549544325,527.8548583984375,7594667,424.34756314328513,424.34756314328513,,,,0,1
2020-04-22,558.614867058323,507.58707752981593,543.5037841796875,9414978,424.34756314328513,424.34756314328513,,,,0,1
2020-04-23,591.8860984202016,549.736615365444,577.1785888671875,5037477,424.34756314328513,424.34756314328513,,,,0,1
2020-04-24,626.8611526911102,519.4697139362761,599.2398071289062,13201415,424.34756314328513,424.34756314328513,,,,0,1
2020-04-27,615.1130163641611,571.2596385501486,575.7884521484375,6061062,424.34756314328513,424.34756314328513,,,,0,1
2020-04-28,629.5514824842488,584.0838579386811,623.54296875,4929990,424.34756314328513,424.34756314328513,,,,0,1
2020-04-29,642.4652961224149,611.5706398445268,625.2019653320312,4894649,424.34756314328513,424.34756314328513,,,,0,1
2020-04-30,717.0340497702097,636.7258982356539,700.3984375,6954332,447.984219316314,447.984219316314,,,,0,1
2020-05-04,685.0632865319435,618.969346359999,670.2661743164062,5991491,447.984219316314,447.984219316314,,,,0,1
2020-05-05,706.2723943317276,651.1642551684226,663.27099609375,5232784,454.33140995223465,454.33140995223465,,,,0,1
2020-05-06,712.9534954011208,647.2630948318292,700.6224975585938,5106414,458.2054552469215,458.2054552469215,,,,0,1
2020-05-07,723.715287377017,668.2483880283079,677.6199340820312,4036839,479.1261770159936,479.1261770159936,,,,0,1
2020-05-08,707.572793179204,657.6660163339269,667.5756225585938,3114072,479.1261770159936,479.1261770159936,,,,0,1
2020-05-11,688.6504474469069,651.1194959850994,660.1771240234375,2753232,479.1261770159936,479.1261770159936,,,,0,1
2020-05-12,636.1428714223582,577.5372158619055,600.943603515625,7679147,479.1261770159936,479.1261770159936,,,,0,1
2020-05-13,648.3393635631346,595.1144411180306,602.3336791992188,6173006,479.1261770159936,479.1261770159936,,,,0,1
2020-05-14,645.6938633195047,575.8782108721368,581.3038330078125,10393170,479.1261770159936,479.1261770159936,,,,0,1
2020-05-15,591.7963851198534,561.6191575699248,575.1608276367188,6533933,479.1261770159936,479.1261770159936,,,,0,1
2020-05-18,577.8959446536129,514.4027256594961,516.6895751953125,7223664,479.1261770159936,479.1261770159936,,,,0,1
2020-05-19,556.9108208732879,517.0481982837034,526.5093994140625,9380412,479.1261770159936,479.1261770159936,,,,0,1
2020-05-20,539.8269519502495,511.1742565318509,519.0661010742188,6357376,479.1261770159936,479.1261770159936,,,,0,1
2020-05-21,534.3564990741678,511.35362782733336,515.703125,4691773,479.1261770159936,479.1261770159936,,,,0,1
2020-05-22,523.4155713415436,473.2846431158267,485.3017272949219,8958817,479.1261770159936,479.1261770159936,,,,0,1
2020-05-26,501.1302131858528,477.0960437281876,482.4768371582031,4310735,479.1261770159936,479.1261770159936,,,,0,1
2020-05-27,507.9458131158378,481.3109367570884,497.7222900390625,7137332,479.1261770159936,479.1261770159936,,,,0,1
2020-05-28,522.7429810624883,501.75792858649766,508.9322814941406,7181943,479.1261770159936,479.1261770159936,,,,0,1
2020-05-29,517.7209850516954,490.548040544206,513.2369995117188,10548468,479.1261770159936,479.1261770159936,,,,0,1
2020-06-01,541.9345082745845,516.1067211138771,520.0974731445312,9532043,479.1261770159936,479.1261770159936,,,,0,1
2020-06-02,532.0696424244676,504.94153258437586,525.5230102539062,8776940,479.1261770159936,479.1261770159936,,,,0,1
2020-06-03,574.8468103435436,536.0155358407206,553.189208984375,12980072,479.1261770159936,479.1261770159936,,,,0,1
2020-06-04,571.2148589771015,543.6831731008083,549.736572265625,8689397,479.1261770159936,479.1261770159936,,,,0,1
2020-06-05,561.5743000843953,538.4369399800552,551.4404907226562,6845203,479.1261770159936,479.1261770159936,,,,0,1
2020-06-08,587.4020800416068,560.4981705516208,566.551513671875,8561485,479.1261770159936,479.1261770159936,,,,0,1
2020-06-09,583.7700996235407,549.7366611568227,555.655517578125,6765819,479.1261770159936,479.1261770159936,,,,0,1
2020-06-10,575.4745775967108,548.9293612272779,569.466064453125,5892697,479.1261770159936,479.1261770159936,,,,0,1
2020-06-11,606.234818394878,551.754389058667,572.06689453125,15766980,479.1261770159936,479.1261770159936,,,,0,1
2020-06-12,622.1080087589461,543.4588858314753,613.7677612304688,12573241,479.1261770159936,479.1261770159936,,,,0,1
2020-06-15,634.5286805109508,595.4732020269855,603.364990234375,11653890,486.68004563771956,486.68004563771956,,,,0,1
2020-06-16,626.8611405681853,572.5600879128142,587.8056030273438,9902974,486.68004563771956,486.68004563771956,,,,0,1
2020-06-17,596.8632242298099,574.8468205851776,581.1692504882812,6445608,486.68004563771956,486.68004563771956,,,,0,1
2020-06-18,601.5714812861759,574.8468880025467,597.804931640625,4151262,486.68004563771956,486.68004563771956,,,,0,1
2020-06-19,620.7180387606653,587.8952757736387,590.8546752929688,7005925,486.68004563771956,486.68004563771956,,,,0,1
2020-06-22,616.0548126922286,596.8184870051165,602.8718872070312,4568353,491.0992055707054,491.0992055707054,,,,0,1
2020-06-23,615.2026469651753,600.8987715539458,613.3642578125,3541485,499.2975247868525,499.2975247868525,,,,0,1
2020-06-24,644.4384108719161,608.0284645202547,611.83984375,9429745,517.4369204230634,517.4369204230634,,,,0,1
2020-06-25,622.9600923558958,599.0604660247259,619.1935424804688,4157868,517.4369204230634,517.4369204230634,,,,0,1
2020-06-26,658.2490377689185,626.0539931393022,632.1522216796875,9211964,535.6600373275364,535.6600373275364,,,,0,1
2020-06-29,629.3273299766919,613.5885809995046,619.3280639648438,3881296,535.6600373275364,535.6600373275364,,,,0,1
2020-06-30,635.3358568754221,613.9023994004848,618.4312133789062,2926614,535.6600373275364,535.6600373275364,,,,0,1
2020-07-01,636.7259911089161,614.3508930035363,628.9686889648438,3832165,535.6600373275364,535.6600373275364,,,,0,1
2020-07-02,639.8645577787398,619.9108036475275,625.9193725585938,2651508,537.528447397297,537.528447397297,,,,0,1
2020-07-03,634.9323637540201,617.938059719169,624.1707763671875,2836713,537.837487360039,537.837487360039,,,,0,1
2020-07-06,639.3715247183495,619.686795601695,625.6056518554688,2662023,543.6172282296683,543.6172282296683,,,,0,1
2020-07-07,653.4511576349546,623.1394429975232,649.1465454101562,9612180,551.9267102234942,551.9267102234942,,,,0,1
2020-07-08,703.4027468993252,654.6618601702937,679.6824951171875,13979277,585.7182226404525,585.7182226404525,,,,0,1
2020-07-09,707.7895305843316,657.1673925061285,663.9783935546875,6184973,585.7182226404525,585.7182226404525,,,,0,1
2020-07-10,670.7893499765806,638.3911698132878,643.2693481445312,5021570,585.7182226404525,585.7182226404525,,,,0,1
2020-07-13,656.1089046301549,627.7145097605764,634.29541015625,3960298,585.7182226404525,585.7182226404525,,,,0,1
2020-07-14,642.3028294430932,605.1646129302292,621.2256469726562,4580092,585.7182226404525,585.7182226404525,,,,0,1
2020-07-15,633.2369386581515,598.8599267410066,602.449462890625,4029011,585.7182226404525,585.7182226404525,,,,0,1
2020-07-16,625.5054886235084,593.1993847855474,620.3512573242188,3686184,585.7182226404525,585.7182226404525,,,,0,1
2020-07-17,640.5082045516078,622.6063623901252,633.4671020507812,3169131,585.7182226404525,585.7182226404525,,,,0,1
2020-07-20,650.7246198489547,627.0242535673274,635.8140869140625,3060800,585.7182226404525,585.7182226404525,,,,0,1
2020-07-21,647.8714083689822,623.1585650146337,625.3675537109375,2378527,585.7182226404525,585.7182226404525,,,,0,1
2020-07-22,647.917385818274,622.9284341338919,639.7717895507812,4571645,585.7182226404525,585.7182226404525,,,,0,1
2020-07-23,656.7071735294144,637.7929136841663,647.1810302734375,4035380,585.7182226404525,585.7182226404525,,,,0,1
2020-07-24,654.4062410683679,630.4757737437862,650.5865478515625,3049670,585.7182226404525,585.7182226404525,,,,0,1
2020-07-27,656.2010662754686,625.3215692752188,628.35888671875,2878048,585.7182226404525,585.7182226404525,,,,0,1
2020-07-28,642.9932500380868,617.3140505593004,639.9559326171875,3462194,585.7182226404525,585.7182226404525,,,,0,1
2020-07-29,671.4795755855401,636.550292443019,666.8775634765625,5658094,585.7182226404525,585.7182226404525,,,,0,1
2020-07-30,678.1524928043142,625.8736465078622,629.1870727539062,5019089,585.7182226404525,585.7182226404525,,,,0,1
2020-07-31,639.6337225208117,618.6945658451608,636.2742309570312,3659572,585.7182226404525,585.7182226404525,,,,0,1
2020-08-03,648.423572159382,615.2890816019118,617.590087890625,3199856,585.7182226404525,585.7182226404525,,,,0,1
2020-08-04,623.7567186092424,594.5799512520504,602.5874633789062,4261343,585.7182226404525,585.7182226404525,,,,0,1
2020-08-05,616.2095853514861,585.4681138131457,591.1746215820312,4851443,585.7182226404525,585.7182226404525,,,,0,1
2020-08-06,612.9881194133087,591.8648689278724,608.156005859375,4255397,585.7182226404525,585.7182226404525,,,,0,1
2020-08-07,625.8737546753787,606.5453004868743,622.8824462890625,2895972,585.7182226404525,585.7182226404525,,,,0,1
2020-08-10,631.948269314133,616.7616296193314,620.67333984375,2629959,585.7182226404525,585.7182226404525,,,,0,1
2020-08-11,627.7144485452873,612.5278086611271,621.59375,2081788,585.7182226404525,585.7182226404525,,,,0,1
2020-08-12,618.5105273140252,598.2616707650542,611.9296264648438,4022141,585.7182226404525,585.7182226404525,,,,0,1
2020-08-13,649.3439809540413,611.5154596725579,646.398681640625,5556341,585.7182226404525,585.7182226404525,,,,0,1
2020-08-14,672.4461391394119,622.8364710788113,631.7183227539062,12133419,585.7182226404525,585.7182226404525,,,,0,1
2020-08-17,652.4733657932487,621.7779081912,624.9533081054688,4278840,585.7182226404525,585.7182226404525,,,,0,1
2020-08-18,638.7593289187541,619.5228943811286,636.2742309570312,4431004,585.7182226404525,585.7182226404525,,,,0,1
2020-08-19,651.5530298485834,631.3041724360788,634.1113891601562,3972669,585.7182226404525,585.7182226404525,,,,0,1
2020-08-20,641.0603697871535,624.0789316708333,633.0528564453125,2924989,585.7182226404525,585.7182226404525,,,,0,1
2020-08-21,643.3614167660063,629.6013866741827,631.8563842773438,1820746,585.7182226404525,585.7182226404525,,,,0,1
2020-08-24,635.9981288973687,626.3799115158541,629.8314208984375,2263421,585.7182226404525,585.7182226404525,,,,0,1
2020-08-25,650.5404751716378,633.2369194227924,639.6337280273438,4374881,585.7182226404525,585.7182226404525,,,,0,1
2020-08-26,672.8142570768769,637.977043391199,668.5343627929688,8429611,585.7182226404525,585.7182226404525,,,,0,1
2020-08-27,688.4609431778304,660.0204886961145,663.057861328125,6888505,598.929933167185,598.929933167185,,,,0,1
2020-08-28,721.3195082851596,667.2918659705091,711.2410888671875,13556600,609.951797737898,609.951797737898,,,,0,1
2020-08-31,729.78729777264,642.4410621272626,646.536865234375,9445234,609.951797737898,609.951797737898,,,,0,1
2020-09-01,662.6898486772274,623.4807217679239,650.080322265625,6624872,609.951797737898,609.951797737898,,,,0,1
2020-09-02,656.3849702003748,628.3126980195528,637.28662109375,3730834,609.951797737898,609.951797737898,,,,0,1
2020-09-03,655.6487816224812,637.83901345774,642.1649169921875,3608652,609.951797737898,609.951797737898,,,,0,1
2020-09-04,642.486956966585,615.7952843387545,632.730712890625,3957400,609.951797737898,609.951797737898,,,,0,1
2020-09-07,638.483251986965,621.7319145562836,632.82275390625,2712180,609.951797737898,609.951797737898,,,,0,1
2020-09-08,635.0778365158686,605.6249513441181,609.9048461914062,3519686,710.9184318536119,,710.9184318536119,,609.9048461914062,-1,0
2020-09-09,603.7840716818456,579.9456232102269,587.9991455078125,5674353,682.3692154580483,,682.3692154580483,,,0,0
2020-09-10,601.437161373922,571.2479637569935,579.4395141601562,5915577,676.8526782904462,,676.8526782904462,,,0,0
2020-09-11,595.9605801473643,577.046321232895,592.4170532226562,3716061,673.9438081507442,,673.9438081507442,,,0,0
2020-09-14,598.7217421712788,581.1880882439185,585.7901000976562,3690581,673.9438081507442,,673.9438081507442,,,0,0
2020-09-15,602.8636496919659,584.6856999493456,600.424560546875,3199520,673.9438081507442,,673.9438081507442,,,0,0
2020-09-16,612.758023107975,594.2118884845603,605.947021484375,3990113,673.9438081507442,,673.9438081507442,,,0,0
2020-09-17,608.3860185787161,595.1782659108942,602.2653198242188,2723352,673.9438081507442,,673.9438081507442,,,0,0
