Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-01-28,678.7026428856637,669.1926824231267,677.4232788085938,1506685,681.5154186460211,647.9017749574946,664.7085968017578,,,,,0,1
2020-01-29,688.4685510341204,676.8263156676526,685.8671875,2565136,684.3245189016466,648.6791554147596,666.5018371582031,,,,,0,1
2020-01-30,689.1081562970502,668.680965869519,674.9498291015625,2493688,684.6533847998679,650.5081447411477,667.5807647705078,,,,,0,1
2020-01-31,684.4599215997802,667.8281851870752,679.427734375,3081521,686.0650302877455,650.9302639017076,668.4976470947265,,,,,0,1
2020-02-03,698.2769950524729,674.2249375335226,676.4851684570312,3383074,686.5161098719157,652.4195529698811,669.4678314208984,,,,,0,1
2020-02-04,693.4154096805328,677.4659919369047,691.7948608398438,1779834,690.3437146270687,651.4918383514469,670.9177764892578,,,,,0,1
2020-02-05,695.9740968907347,688.2979119985574,694.3109130859375,1613898,693.6432826253823,651.9663975503989,672.8048400878906,,,,,0,1
2020-02-06,704.4606369253827,690.8993545713461,697.4241333007812,1553656,697.303522641453,652.0632193019063,674.6833709716797,,,,,0,1
2020-02-07,704.0340617281059,694.4814662118279,703.18115234375,1397438,701.8658723452795,651.6118864437831,676.7388793945313,,,,,0,1
2020-02-10,705.4413779348735,692.1360114762443,693.9697875976562,1098971,703.9842384440971,651.8646079914498,677.9244232177734,,,,,0,1
2020-02-11,700.9636976051188,691.7522848140528,699.3432006835938,1143705,706.7036152431332,651.166630118195,678.9351226806641,,,,,0,1
2020-02-12,704.8871350137067,696.6565367178997,700.6652221679688,1394424,709.4708378289764,650.6468379522736,680.058837890625,,,,,0,1
2020-02-13,707.9149255430065,694.566870280564,706.2091064453125,1737974,712.9885846729546,650.9799761180609,681.9842803955078,,,,,0,1
2020-02-14,714.738148467876,703.692960225048,711.4544677734375,2143044,716.792022404535,651.9272463942931,684.3596343994141,93.00003567518785,,,,0,1
2020-02-17,713.8852391830981,705.7399640101241,710.6868286132812,793328,719.646824224765,653.767708245938,686.7072662353515,91.36362603751408,,,,0,1
2020-02-18,716.4439729928889,703.9488281171106,715.4204711914062,1507814,722.8131737554397,655.7102881586227,689.2617309570312,97.8947131216492,94.0861249447837,,,0,1
2020-02-19,720.58055971649,713.0749666377213,717.2116088867188,881874,725.5036438400291,658.3206542556741,691.9121490478516,93.6136508359586,94.29066333170728,,,0,1
2020-02-20,721.4761353215865,705.313490591914,707.5736694335938,1066232,724.1295604415121,664.8676380448161,694.4985992431641,70.57753763121605,87.36196719627462,,,0,1
2020-02-24,719.7703573491606,695.7609337850773,699.4710693359375,2917544,723.5300276020646,668.2647172709824,695.8973724365235,50.000012966765,71.39706714464656,,,0,1
2020-02-25,705.1855035645273,690.0463612410217,701.1768188476562,2479975,723.1061371678882,671.2985137110181,697.2023254394531,38.81734933093762,53.13163330963956,,,0,1
2020-02-26,704.0768132450612,689.321488866561,692.0934448242188,2212784,722.2643516900514,673.6073157904173,697.9358337402343,8.620701090695682,32.47935446279943,,,0,1
