Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2020-01-22,1158.5227712654464,1144.8954372664957,1150.414794921875,902471,70.39325347546598,73.96963983179418,7.3523976672670415,5.103757002482414,2.2486406647846273,,,0,1
2020-01-23,1178.7441262342104,1147.8260641462728,1176.2530517578125,2101116,96.28544184848907,78.27865706126653,9.177590409374716,5.918523683860874,3.2590667255138417,,,0,1
2020-01-24,1201.5539142979596,1178.1578512265683,1199.45361328125,2841654,97.66301521422922,88.1139035127281,12.353753842703554,7.2055697156294105,5.148184127074144,,,0,1
2020-01-27,1211.6646721564696,1180.8931657879557,1185.728759765625,2332864,74.05968209775082,89.33604638682304,13.606557347994112,8.485767242102352,5.120790105891761,,,0,1
2020-01-28,1195.2042878346463,1160.818400975476,1167.3634033203125,1703068,50.62597148473094,74.116222932237,12.967995393846877,9.382212872451257,3.58578252139562,,,0,1
2020-01-29,1179.9651882306796,1154.2733748034811,1158.7669677734375,1380266,41.04519276277555,55.2436154484191,11.634158601030776,9.832602018167162,1.8015565828636149,,,0,1
2020-01-30,1163.9443572098758,1148.9981503290267,1151.9776611328125,1859283,33.47846999208295,41.71654474652981,9.914949659816784,9.849071546497086,0.06587811331969817,,,0,1
2020-01-31,1167.1680088024646,1152.710239456167,1160.281005859375,1809101,36.778599947205294,37.10075423402126,9.117375286228935,9.702732294443457,-0.5853570082145225,,,0,1
2020-02-03,1164.7259781428872,1135.6640000914665,1158.96240234375,3595537,32.0100613469777,34.08904376208865,8.283405621502197,9.418866959855206,-1.135461338353009,,,0,1
2020-02-04,1258.017400704059,1157.5947843695658,1246.294921875,7875930,90.53627831924743,53.10831320447681,14.50230951491858,10.435555470867882,4.066754044050697,,,0,1
2020-02-05,1267.6882608100984,1225.9758242881824,1250.2510986328125,5459816,86.94221083356527,69.82951683326347,19.52499407858977,12.253443192412261,7.2715508861775096,,,0,1
2020-02-06,1264.2692942071221,1223.0941827115764,1230.176513671875,2463971,71.90939211234813,83.12929375505361,21.636247354341776,14.130004024798165,7.5062433295436115,,,0,1
2020-02-07,1249.909234978171,1229.2972347103498,1245.5133056640625,2277867,83.39432264676263,80.74864186422535,24.267244041509002,16.157452028140334,8.109792013368669,,,0,1
2020-02-10,1245.5132677190813,1224.3639401471937,1228.1248779296875,1021943,70.03324793105428,75.11232089672167,24.664905398325345,17.858942702177337,6.805962696148008,,,0,1
2020-02-11,1249.3232988941309,1229.443950902808,1241.3128662109375,1351413,80.02231222080329,77.81662759954007,25.74741515161918,19.436637192065707,6.310777959553473,,,0,1
2020-02-12,1259.1406723889804,1236.5749251580642,1239.652099609375,1195516,78.76438690274232,76.27331568486663,26.169634686392783,20.783236690931123,5.38639799546166,,,0,1
2020-02-13,1277.7500472774445,1240.6288685339102,1268.0789794921875,4458645,93.1935133837607,83.9934041691021,28.4698753417656,22.32056442109802,6.149310920667581,,,0,1
2020-02-14,1280.387560472245,1260.166334432559,1263.5364990234375,1416212,88.35637998092977,86.77142675581094,29.585252053263048,23.773501947531027,5.81175010573202,,,0,1
2020-02-17,1291.0357109311637,1258.554674171588,1285.6141357421875,2347399,96.51057765942355,92.68682367470467,31.883147824128173,25.395431122850457,6.487716701277716,,,0,1
2020-02-18,1288.3978627765912,1271.1560299521998,1280.6805419921875,1761012,93.33522886308431,92.73406216781252,32.92658976342,26.901662850964367,6.02492691245563,,,0,1
2020-02-19,1302.074437577288,1281.7066532444055,1298.8507080078125,1445826,98.0627840307491,95.96953018441899,34.81834139501257,28.484998559774006,6.333342835238561,,,0,1
2020-02-20,1310.035754251019,1289.4725272352405,1292.256591796875,1513648,89.80387475033612,93.73396254805652,35.37766640698351,29.86353212921591,5.5141342777675995,,,0,1
2020-02-24,1287.3235674402001,1244.389918192195,1250.300048828125,1341317,60.81387735242838,82.89351204450453,32.06575902675286,30.3039775087233,1.761781518029558,,,0,1
2020-02-25,1256.9914555138903,1227.734154005357,1230.957763671875,1358874,9.04467313054162,53.22080841110204,27.562563727478164,29.755694752474277,-2.193131024996113,,,0,1
2020-02-26,1237.6983008485204,1216.304754671862,1226.073486328125,1506693,10.422092690917324,26.760214391295776,23.330687009997973,28.470693203979017,-5.140006193981044,,,0,1
2020-02-27,1256.258962720459,1221.0915267500573,1248.3463134765625,4569014,34.18459095556862,17.883785592342523,21.52598705218952,27.08175197362112,-5.555764921431599,,,0,1
2020-02-28,1241.312724864806,1207.0733908269572,1225.4874267578125,2728105,17.884239753719626,20.830307800068525,18.043237010220537,25.274048980941004,-7.230811970720467,,,0,1
2020-03-02,1264.073936843295,1199.6003048250127,1215.3768310546875,2773593,14.28574457900437,22.11819176276421,14.30242251087634,23.079723686928073,-8.777301176051733,,,0,1
2020-03-03,1242.5827188377107,1196.6696781259398,1218.160888671875,2660100,18.9573559220869,17.04244675160363,11.430684436568754,20.74991583685621,-9.319231400287457,,,0,1
2020-03-04,1236.3797629237167,1189.1479609253847,1222.0196533203125,3007393,27.19190374034013,20.145001413810466,9.35830467011715,18.4715936035084,-9.11328893339125,,,0,1
2020-03-05,1235.89102374406,1213.4717145973643,1230.02978515625,1555538,33.817991962796704,26.65575054174124,8.266982838070362,16.430671450420792,-8.16368861235043,,,0,1
2020-03-06,1218.111923168887,1191.492129908414,1213.862548828125,1678642,20.444237770282434,27.151377824473087,6.028053913988742,14.350147943134383,-8.32209402914564,,,0,1
2020-03-09,1213.1298719416911,1147.8259270882804,1175.617919921875,2285787,17.13335950090866,23.798529744662602,1.1543579619849424,11.710989946904496,-10.556631984919553,,,0,1
2020-03-11,1185.2890650444456,1150.3170762784378,1160.1834716796875,2314388,7.618246568384081,15.065281279858391,-3.9084579053378548,8.587100376456025,-12.49555828179388,,,0,1
2020-03-12,1127.2628334201015,1040.0281241859695,1051.8482666015625,3608906,4.377706812487219,9.70977096059332,-16.472635324369094,3.5751532362910012,-20.047788560660095,,,0,1
2020-03-13,1108.4578763796517,924.1707989279254,1059.2723388671875,4337046,37.20239845416341,16.399450611678237,-25.536408046587212,-2.247159020284642,-23.28924902630257,,,0,1
2020-03-16,1025.6679752737723,960.2663618097281,987.960693359375,3443930,18.76708018133456,20.115728482661726,-38.03531955838889,-9.404791127905492,-28.630528430483402,987.960693359375,,1,1
2020-03-17,1013.9944069602274,955.1866269247099,977.85009765625,2985146,15.792528147148168,23.920668927548714,-48.20100635952667,-17.164034174229727,-31.036972185296946,,,0,1
2020-03-18,1004.2257176147428,899.7002781353873,909.2247924804688,5508541,2.6139415178517544,12.391183282111493,-61.090659891711084,-25.949359317726,-35.141300573985085,,,0,1
2020-03-19,903.021655222231,820.3293108451941,882.60498046875,4838552,14.034123677212134,10.813531114070685,-72.6167192025714,-35.28283129469508,-37.333887907876324,,,0,1
2020-03-20,912.3995818933403,845.9722033400778,883.9725952148438,4407646,14.342322281987938,10.330129159017275,-80.71046911933968,-44.368358859623996,-36.34211025971568,,,0,1
2020-03-23,821.5991007470375,753.4133709625983,782.426513671875,4960906,5.931103989918017,11.435849983039363,-94.23249086816315,-54.34118526133183,-39.891305606831324,,,0,1
2020-03-24,838.0106524718619,704.2279151591467,797.2261962890625,5404961,17.475891800540975,12.583106024148975,-102.57219144985129,-63.98738649903572,-38.58480495081557,,,0,1
