Date,High,Low,Close,Volume,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,4154.481736004793,3970.8327054413585,4143.2568359375,1458328,4393.659852371506,,4393.659852371506,,4143.2568359375,-1,0
2020-01-03,4156.140191058315,4085.7162575421594,4118.2685546875,635983,4393.659852371506,,4393.659852371506,,,0,0
2020-01-06,4099.284178468079,4032.178806179328,4057.654541015625,462841,4344.658613831672,,4344.658613831672,,,0,0
2020-01-07,4152.236328073518,4064.437910420986,4140.62109375,524372,4344.658613831672,,4344.658613831672,,,0,0
2020-01-08,4228.370931159351,4083.7159455057235,4215.63330078125,1032268,4344.658613831672,,4344.658613831672,,,0,0
2020-01-09,4294.743209463309,4227.979569436315,4283.0302734375,698429,4344.658613831672,,4344.658613831672,,,0,0
2020-01-10,4357.261288714794,4262.435395813612,4338.27685546875,735887,4344.658613831672,,4344.658613831672,,,0,0
2020-01-13,4384.542230693568,4343.595569310331,4361.7998046875,403937,4092.9855801381177,4092.9855801381177,,4361.7998046875,,1,1
2020-01-14,4395.230606888773,4316.900347635628,4376.05029296875,438651,4092.9855801381177,4092.9855801381177,,,,0,1
2020-01-15,4416.997264503573,4304.504267490361,4398.69580078125,416924,4092.9855801381177,4092.9855801381177,,,,0,1
2020-01-16,4445.937348629381,4327.197561612569,4365.3623046875,467980,4100.051679806578,4100.051679806578,,,,0,1
2020-01-17,4414.21505414776,4305.772692971929,4379.41796875,360682,4100.051679806578,4100.051679806578,,,,0,1
2020-01-20,4401.575249835865,4345.499376540138,4360.77490234375,204026,4100.051679806578,4100.051679806578,,,,0,1
2020-01-21,4411.872668206584,4333.786426291424,4376.29443359375,283173,4101.578627427909,4101.578627427909,,,,0,1
2020-01-22,4431.394065566311,4356.236060489526,4369.8525390625,359444,4127.88327888959,4127.88327888959,,,,0,1
2020-01-23,4431.394875571018,4339.692141195091,4418.1201171875,401079,4127.88327888959,4127.88327888959,,,,0,1
2020-01-24,4567.752799273166,4346.1339843921105,4531.6865234375,2127667,4145.867845246036,4145.867845246036,,,,0,1
2020-01-27,4640.372684503652,4511.432680676949,4565.068359375,1058884,4256.595305490854,4256.595305490854,,,,0,1
2020-01-28,4602.98931501765,4474.830439944174,4498.79296875,711517,4256.595305490854,4256.595305490854,,,,0,1
2020-01-29,4542.17918858652,4450.4278522317045,4458.919921875,595287,4256.595305490854,4256.595305490854,,,,0,1
2020-01-30,4478.734532499548,4357.359120819753,4378.6865234375,422335,4256.595305490854,4256.595305490854,,,,0,1
2020-01-31,4399.47653085767,4299.623934106524,4310.45849609375,451630,4256.595305490854,4256.595305490854,,,,0,1
2020-02-03,4281.908359173104,4134.813197115397,4266.095703125,537373,4256.595305490854,4256.595305490854,,,,0,1
2020-02-04,4391.229391856827,4274.2949405597055,4367.2177734375,387466,4256.595305490854,4256.595305490854,,,,0,1
2020-02-05,4420.2672034323095,4292.400977410427,4364.82568359375,521783,4256.595305490854,4256.595305490854,,,,0,1
2020-02-06,4410.945845969071,4335.739213909711,4358.09130859375,385744,4256.595305490854,4256.595305490854,,,,0,1
2020-02-07,4438.226944438924,4343.205649857501,4364.82568359375,547874,4256.595305490854,4256.595305490854,,,,0,1
2020-02-10,4385.128401372764,4285.71475533113,4308.16455078125,271700,4256.595305490854,4256.595305490854,,,,0,1
2020-02-11,4411.384753899789,4326.954002442253,4359.60400390625,296451,4256.595305490854,4256.595305490854,,,,0,1
2020-02-12,4385.226441933939,4333.738320146208,4347.2080078125,323821,4256.595305490854,4256.595305490854,,,,0,1
2020-02-13,4366.14371848393,4309.3848714988135,4344.03564453125,186493,4256.595305490854,4256.595305490854,,,,0,1
2020-02-14,4430.3693363663615,4287.959177855166,4328.271484375,665316,4256.595305490854,4256.595305490854,,,,0,1
2020-02-17,4358.188855554188,4295.817558294271,4343.4013671875,354909,4256.595305490854,4256.595305490854,,,,0,1
2020-02-18,4380.833788386062,4265.558872894426,4368.6328125,510062,4256.595305490854,4256.595305490854,,,,0,1
2020-02-19,4421.63347108895,4348.427618918603,4366.0947265625,384898,4256.595305490854,4256.595305490854,,,,0,1
2020-02-20,4400.160426096257,4314.265546438654,4322.171875,414088,4256.595305490854,4256.595305490854,,,,0,1
2020-02-24,4348.427967683448,4216.657423208191,4289.86328125,383261,4256.595305490854,4256.595305490854,,,,0,1
2020-02-25,4294.74337807896,4227.14997377624,4240.0830078125,402233,4551.762356563309,,4551.762356563309,,4240.0830078125,-1,0
2020-02-26,4318.071806436088,4183.519345181584,4237.64306640625,642946,4551.762356563309,,4551.762356563309,,,0,0
2020-02-27,4260.629763044958,4173.075838436046,4218.26806640625,369157,4515.5271859890145,,4515.5271859890145,,,0,0
2020-02-28,4201.185893006775,4099.527467902591,4118.65869140625,524557,4454.35995542586,,4454.35995542586,,,0,0
2020-03-02,4213.045146543442,3980.9828477366173,4042.622314453125,378937,4437.272168830625,,4437.272168830625,,,0,0
2020-03-03,4225.441562104859,4058.0928023209754,4197.03759765625,606056,4437.272168830625,,4437.272168830625,,,0,0
2020-03-04,4221.537793471344,4018.513548143705,4072.978515625,750952,4437.272168830625,,4437.272168830625,,,0,0
2020-03-05,4128.80963189684,4052.28521772742,4104.9443359375,450539,4437.272168830625,,4437.272168830625,,,0,0
2020-03-06,4092.988364188556,3914.073427816654,4068.1474609375,585749,4390.713478952057,,4390.713478952057,,,0,0
