Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,2059.115389544378,2030.4321163678878,2050.93359375,2429317,1681117,5.8331318864375135,1.9554985209890425,3.877633365448471,83.89815859368956,,,0,0
2020-01-08,2101.281400257039,2047.4012433794885,2096.864990234375,5197454,6878571,10.94718123257212,3.753835063305658,7.193346169266462,92.14861013517157,,,0,0
2020-01-09,2093.7968853157604,2054.793053522291,2058.837646484375,3734173,3144398,11.795640549542668,5.36219616055306,6.433444388989608,63.25197438504569,,,0,0
2020-01-10,2077.106527721605,2052.9325036747105,2058.0927734375,1915807,1228591,12.26654455141238,6.743065838724924,5.5234787126874565,62.83631256185964,,,0,0
2020-01-13,2063.1135079078394,2031.2688790515078,2036.522216796875,2843893,-1615302,10.774968586657678,7.549446388311475,3.2255221983462032,52.14885087303138,,,0,0
2020-01-14,2073.2017874273915,2040.845736726367,2051.909912109375,2948452,1333150,10.711071732229584,8.181771457095097,2.529300275134487,57.67877326860437,,,0,0
2020-01-15,2074.318253856707,2040.1026496312486,2070.506103515625,2620681,3953831,12.022403462937064,8.94989785826349,3.072505604673573,63.2118835928061,,,0,0
2020-01-16,2091.0534360218644,2059.441245348346,2081.56982421875,3117214,7071045,13.795368681684522,9.918992022947698,3.876376658736824,66.05532701071817,,,0,0
2020-01-17,2095.2842081807,2057.5819716607216,2063.253662109375,3281059,3789986,13.566113471901872,10.648416312738533,2.917697159163339,58.055212297461075,,,0,0
2020-01-20,2084.7312381776287,2004.7709802222341,2017.9273681640625,5817599,-2027613,9.616125246698175,10.441958099530462,-0.8258328528322867,43.889228769145696,,,0,0
2020-01-21,2032.9898124597544,2006.4913521632907,2018.578369140625,1902980,-124633,6.463751356173589,9.646316750859087,-3.182565394685499,44.10020418374937,,,0,0
2020-01-22,2054.7922907358866,2021.0415846339104,2051.909912109375,1773686,1649053,6.579208272999949,9.032895055287259,-2.45368678228731,53.699323851456235,,,0,0
2020-01-23,2066.681022652778,2034.9503993934,2041.70654296875,2069866,-420813,5.78074526188243,8.382465096606294,-2.6017198347238644,50.82226926917748,,,0,0
2020-01-24,2041.7064074690743,2022.1835290386916,2034.670654296875,1319430,-1740243,4.528023917388737,7.611576860762783,-3.0835529433740465,48.87758514731708,,,0,0
2020-01-27,2044.0353728790938,2017.5233904557306,2021.48388671875,1549101,-3289344,2.4430097931926866,6.577863447248764,-4.134853654056077,45.373299849584456,,,0,0
2020-01-28,2038.7709928626937,2005.4095798153978,2034.996826171875,1743024,-1546320,1.859566435246279,5.634204044848267,-3.774637609601988,49.37847149246253,,,0,0
2020-01-29,2037.9786338843196,2003.5456506461805,2007.8323974609375,2306761,-3853081,-0.785701921114196,4.350222851655774,-5.13592477276997,42.614402914262826,,,0,0
2020-01-30,2017.5242567520809,1980.2489818005413,1992.2237548828125,2098567,-5951648,-4.0943856319465795,2.661301154935303,-6.755686786881883,39.28443453628189,,,0,0
2020-01-31,1998.2806319850672,1930.4862377134384,1937.4287109375,3287223,-9238871,-11.011114145963347,-0.07318190524442691,-10.93793224071892,30.325561536034414,,,0,0
2020-02-03,2045.2006961745399,1950.6147047952295,1959.28125,4728073,-4510798,-14.561498165965304,-2.9708451573886028,-11.590653008576702,36.540995254791795,,,0,0
2020-02-04,1991.151389000057,1944.464256882314,1964.1734619140625,3509339,-1001459,-16.786933149563765,-5.7340627558236354,-11.052870393740129,37.87709161558771,,,0,0
2020-02-05,2009.7893192796805,1960.9588067160093,2000.330810546875,2439322,1437863,-15.454856585952484,-7.678221521849405,-7.776635064103079,46.79341671293753,,,0,0
2020-02-06,2026.0973717246152,1971.3959553596685,1983.3707275390625,2640065,-1202202,-15.58802422949043,-9.26018206337761,-6.32784216611282,43.630142597220946,,,0,0
2020-02-07,2004.4769939559899,1974.656787630285,1991.0113525390625,2083442,881240,-14.905208004575798,-10.389187251617248,-4.51602075295855,45.42021056544994,,,0,0
2020-02-10,2019.387444105804,1974.657126931333,2014.681396484375,2383032,3264272,-12.312169473696713,-10.773783696033142,-1.5383857776635708,50.64869793214515,,,0,0
2020-02-11,2026.6563944170314,2001.3092573319393,2006.7139892578125,1335820,1928452,-10.775853600355504,-10.774197676897616,-0.0016559234578874538,48.94892843903858,,,0,0
2020-02-12,2036.1617621290345,2003.5458986624367,2022.8824462890625,1620407,3548859,-8.159594123303577,-10.251276966178809,2.0916828428752314,52.43731312142984,,,0,0
2020-02-13,2047.3437425897116,2023.1148225590641,2042.6376953125,1645948,5194807,-4.440914051113623,-9.089204383165772,4.648290332052149,56.36098815830503,,,0,0
2020-02-14,2061.3221258007197,2023.1149797076682,2035.415771484375,1500115,3694692,-2.0529174446485285,-7.681946995462323,5.629029550813795,54.58810645064314,,,0,0
2020-02-17,2065.981831039728,2041.0073547429834,2053.16845703125,1774724,5469416,1.2575837857473289,-5.894040839220393,7.151624624967722,58.0789408527207,,,0,0
2020-02-18,2069.70902877923,2037.1398124371212,2064.816650390625,2486223,7955639,4.766150501640141,-3.7620025710482867,8.528153072688427,60.238672093147336,,,0,0
2020-02-19,2078.0965024315688,2041.28716976518,2046.73876953125,1760463,6195176,6.018602298795713,-1.8058815970794868,7.8244838958752,55.46289922954248,,,0,0
2020-02-20,2063.558694373709,2004.7104574801062,2009.8824462890625,2317278,3877898,3.991174333671097,-0.6464704109293702,4.637644744600467,47.239961838191434,,,0,0
2020-02-24,2030.5232676644714,1963.1948253522203,1971.2557373046875,3092877,785021,-0.7240827583698319,-0.6619928804174626,-0.06208987795236931,40.46823993051429,,,0,0
2020-02-25,2028.3799394774276,1967.2020050749638,2009.2763671875,2674567,3459588,-1.3771361274839364,-0.8050215298307575,-0.572114597653179,48.32096284499828,,,0,0
2020-02-26,2016.49861834214,1969.0192936139465,1978.9439697265625,2686842,772746,-4.292772198431976,-1.5025716635510014,-2.7902005348809746,43.402204833848685,,,0,0
2020-02-27,1975.5424263484545,1944.0914211714673,1962.0767822265625,2349001,-1576255,-7.873712599335022,-2.7767998507078056,-5.096912748627217,40.90845127049587,,,0,0
2020-02-28,1928.529297454433,1854.444697721344,1863.9033203125,4298076,-5874331,-18.42106500231148,-5.905652881028541,-12.515412121282939,30.07652830589602,,,0,0
2020-03-02,1914.0384582934073,1850.4375294080698,1864.9749755859375,2667076,-3207255,-26.3892453531746,-10.002371375457754,-16.386873977716846,30.29350418593694,,,0,0
2020-03-03,1919.6761425732366,1874.945824688035,1897.497314453125,2757585,-449670,-29.73701494517877,-13.949300089401959,-15.787714855776812,36.71183808994602,,,0,0
2020-03-04,1951.7795674895929,1887.060429376709,1941.2958984375,3237002,2787332,-28.527123852466502,-16.864864842014867,-11.662259010451635,44.16769547888605,,,0,0
2020-03-05,2001.4489575584444,1942.0881376913867,1980.2952880859375,3937056,6724388,-24.143045630067718,-18.320500999625438,-5.82254463044228,49.83478662324617,,,0,0
2020-03-06,1978.9905086905387,1930.486247539924,1972.281005859375,2595027,4129361,-21.072408047913086,-18.870882409282967,-2.2015256386301196,48.739945286757354,,,0,0
2020-03-09,1938.2205048235915,1803.1909480871752,1837.9967041015625,4940975,-811614,-29.13863449217115,-20.924432825860606,-8.214201666310544,34.903309993637606,,,0,0
2020-03-11,1851.9286270321002,1789.2129404406578,1820.6173095703125,6796449,-7608063,-36.512653811479595,-24.042077022984405,-12.47057678849519,33.574834882075024,,,0,0
2020-03-12,1778.403155602849,1638.5742534227466,1649.2908935546875,8728786,-16336849,-55.54098528156919,-30.341858674701363,-25.19912660686783,23.91243540215308,,,0,0
2020-03-13,1696.0246681637957,1403.4604584075764,1683.2579345703125,8029720,-8307129,-67.10665498160051,-37.69481793608119,-29.41183704551932,28.317022561855396,,,0,0
2020-03-16,1716.7590374773267,1561.6939020454963,1580.8441162109375,7844271,-16151400,-83.57309219426315,-46.87047278771759,-36.702619406545566,23.83657929397276,,,0,0
2020-03-17,1613.0871766093844,1512.5837608870788,1545.059814453125,5713248,-21864648,-98.37633525387537,-57.17164528094915,-41.20468997292622,22.497150642985602,,,0,0
2020-03-18,1596.8260288250976,1516.8705286417724,1541.7052001953125,7258778,-29123426,-109.12082442651536,-67.5614811100624,-41.55934331645295,22.370244946501543,,,0,0
2020-03-19,1582.1155506017315,1451.9192493326548,1536.02587890625,5135111,-34258537,-116.74838061131231,-77.39886101031239,-39.349519600999926,22.14251555171552,,,0,0
2020-03-20,1754.4123677817763,1527.2492896634296,1687.2490234375,8547498,-25711039,-109.33053554435742,-83.7851959171214,-25.545339627236018,39.73477572804097,,,0,0
2020-03-23,1642.707927120724,1518.5661423426006,1567.3310546875,7003490,-32714529,-111.83900730905839,-89.3959581955088,-22.44304911354959,33.3076605360565,,,0,0
2020-03-24,1661.481894797274,1532.7404922916417,1598.73046875,6350865,-26363664,-110.0250190250315,-93.52177036141333,-16.503248663618166,36.216857936748035,,,0,0
2020-03-25,1699.0297659622813,1577.0000037660955,1642.989990234375,2765520,-23598144,-103.81928268380602,-95.58127282589187,-8.23800985791415,40.17806503713315,,,0,0
2020-03-26,1719.7278514240118,1616.9412491412945,1681.1475830078125,4556067,-19042077,-94.73020227859706,-95.41105871643292,0.6808564378358568,43.43939416981897,,,0,0
2020-03-27,1736.577106286611,1643.0835725626953,1712.6405029296875,4331250,-14710827,-84.01732570207446,-93.13231211356123,9.114986411486768,46.05344789881971,,,0,0
2020-03-30,1788.2051466930304,1655.427440296692,1669.4608154296875,8513547,-23224374,-78.1111174076243,-90.12807317237386,12.016955764749554,43.11143745390677,,,0,0
2020-03-31,1741.2706305749605,1670.8688530584525,1714.1424560546875,3927593,-19296781,-69.02924365234162,-85.90830726836742,16.879063616025803,46.89216154944856,,,0,0
2020-04-01,1722.2621701869114,1597.6510225688094,1603.9871826171875,4941878,-24238659,-69.91447270914455,-82.70954035652285,12.795067647378303,39.85918313989866,,,0,0
